B10051C_001E,B10051C_001EA,B10051C_001M,B10051C_001MA,B10051C_002E,B10051C_002EA,B10051C_002M,B10051C_002MA,B10051C_003E,B10051C_003EA,B10051C_003M,B10051C_003MA,B10051C_004E,B10051C_004EA,B10051C_004M,B10051C_004MA,B10051C_005E,B10051C_005EA,B10051C_005M,B10051C_005MA,B10051C_006E,B10051C_006EA,B10051C_006M,B10051C_006MA,B10051C_007E,B10051C_007EA,B10051C_007M,B10051C_007MA,GEO_ID,NAME,state
1468,null,958,null,1042,null,893,null,815,null,797,null,227,null,232,null,426,null,308,null,191,null,146,null,235,null,272,null,0400000US16,Idaho,16
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US17,Illinois,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US18,Indiana,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US19,Iowa,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US20,Kansas,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US21,Kentucky,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US24,Maryland,24
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US25,Massachusetts,25
1641,null,592,null,770,null,397,null,571,null,314,null,199,null,176,null,871,null,441,null,544,null,357,null,327,null,291,null,0400000US26,Michigan,26
2086,null,695,null,1181,null,405,null,715,null,344,null,466,null,255,null,905,null,509,null,696,null,472,null,209,null,204,null,0400000US27,Minnesota,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,Mississippi,28
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US29,Missouri,29
3444,null,942,null,2101,null,792,null,1540,null,725,null,561,null,290,null,1343,null,554,null,769,null,428,null,574,null,433,null,0400000US30,Montana,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US31,Nebraska,31
1883,null,861,null,1348,null,735,null,1113,null,722,null,235,null,190,null,535,null,390,null,86,null,105,null,449,null,376,null,0400000US32,Nevada,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,New Hampshire,33
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US34,New Jersey,34
7068,null,1265,null,4107,null,946,null,2566,null,795,null,1541,null,503,null,2961,null,813,null,1772,null,607,null,1189,null,519,null,0400000US35,New Mexico,35
1587,null,582,null,501,null,285,null,336,null,247,null,165,null,122,null,1086,null,499,null,698,null,418,null,388,null,281,null,0400000US36,New York,36
2767,null,868,null,1939,null,799,null,1331,null,711,null,608,null,296,null,828,null,516,null,828,null,516,null,0,null,289,null,0400000US37,North Carolina,37
1117,null,382,null,552,null,307,null,446,null,280,null,106,null,78,null,565,null,275,null,535,null,265,null,30,null,47,null,0400000US38,North Dakota,38
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US39,Ohio,39
8123,null,1485,null,4167,null,827,null,2772,null,652,null,1395,null,469,null,3956,null,1220,null,3191,null,1153,null,765,null,311,null,0400000US40,Oklahoma,40
1416,null,588,null,984,null,474,null,628,null,381,null,356,null,248,null,432,null,281,null,180,null,204,null,252,null,291,null,0400000US41,Oregon,41
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US42,Pennsylvania,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US44,Rhode Island,44
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US45,South Carolina,45
3537,null,878,null,2689,null,810,null,1865,null,721,null,824,null,434,null,848,null,493,null,381,null,349,null,467,null,314,null,0400000US46,South Dakota,46
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US47,Tennessee,47
3658,null,1075,null,2116,null,687,null,1670,null,635,null,446,null,274,null,1542,null,703,null,812,null,416,null,730,null,475,null,0400000US48,Texas,48
1182,null,533,null,961,null,475,null,441,null,272,null,520,null,389,null,221,null,204,null,221,null,204,null,0,null,263,null,0400000US49,Utah,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,Vermont,50
1181,null,622,null,291,null,245,null,259,null,257,null,32,null,44,null,890,null,576,null,251,null,252,null,639,null,508,null,0400000US51,Virginia,51
2815,null,941,null,1582,null,735,null,1238,null,542,null,344,null,263,null,1233,null,584,null,980,null,523,null,253,null,219,null,0400000US53,Washington,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US54,West Virginia,54
1949,null,634,null,1181,null,486,null,972,null,429,null,209,null,164,null,768,null,498,null,701,null,489,null,67,null,69,null,0400000US55,Wisconsin,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US56,Wyoming,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US72,Puerto Rico,72
