B17010D_001E,B17010D_001EA,B17010D_001M,B17010D_001MA,B17010D_002E,B17010D_002EA,B17010D_002M,B17010D_002MA,B17010D_003E,B17010D_003EA,B17010D_003M,B17010D_003MA,B17010D_004E,B17010D_004EA,B17010D_004M,B17010D_004MA,B17010D_005E,B17010D_005EA,B17010D_005M,B17010D_005MA,B17010D_006E,B17010D_006EA,B17010D_006M,B17010D_006MA,B17010D_007E,B17010D_007EA,B17010D_007M,B17010D_007MA,B17010D_008E,B17010D_008EA,B17010D_008M,B17010D_008MA,B17010D_009E,B17010D_009EA,B17010D_009M,B17010D_009MA,B17010D_010E,B17010D_010EA,B17010D_010M,B17010D_010MA,B17010D_011E,B17010D_011EA,B17010D_011M,B17010D_011MA,B17010D_012E,B17010D_012EA,B17010D_012M,B17010D_012MA,B17010D_013E,B17010D_013EA,B17010D_013M,B17010D_013MA,B17010D_014E,B17010D_014EA,B17010D_014M,B17010D_014MA,B17010D_015E,B17010D_015EA,B17010D_015M,B17010D_015MA,B17010D_016E,B17010D_016EA,B17010D_016M,B17010D_016MA,B17010D_017E,B17010D_017EA,B17010D_017M,B17010D_017MA,B17010D_018E,B17010D_018EA,B17010D_018M,B17010D_018MA,B17010D_019E,B17010D_019EA,B17010D_019M,B17010D_019MA,B17010D_020E,B17010D_020EA,B17010D_020M,B17010D_020MA,B17010D_021E,B17010D_021EA,B17010D_021M,B17010D_021MA,B17010D_022E,B17010D_022EA,B17010D_022M,B17010D_022MA,B17010D_023E,B17010D_023EA,B17010D_023M,B17010D_023MA,B17010D_024E,B17010D_024EA,B17010D_024M,B17010D_024MA,B17010D_025E,B17010D_025EA,B17010D_025M,B17010D_025MA,B17010D_026E,B17010D_026EA,B17010D_026M,B17010D_026MA,B17010D_027E,B17010D_027EA,B17010D_027M,B17010D_027MA,B17010D_028E,B17010D_028EA,B17010D_028M,B17010D_028MA,B17010D_029E,B17010D_029EA,B17010D_029M,B17010D_029MA,B17010D_030E,B17010D_030EA,B17010D_030M,B17010D_030MA,B17010D_031E,B17010D_031EA,B17010D_031M,B17010D_031MA,B17010D_032E,B17010D_032EA,B17010D_032M,B17010D_032MA,B17010D_033E,B17010D_033EA,B17010D_033M,B17010D_033MA,B17010D_034E,B17010D_034EA,B17010D_034M,B17010D_034MA,B17010D_035E,B17010D_035EA,B17010D_035M,B17010D_035MA,B17010D_036E,B17010D_036EA,B17010D_036M,B17010D_036MA,B17010D_037E,B17010D_037EA,B17010D_037M,B17010D_037MA,B17010D_038E,B17010D_038EA,B17010D_038M,B17010D_038MA,B17010D_039E,B17010D_039EA,B17010D_039M,B17010D_039MA,B17010D_040E,B17010D_040EA,B17010D_040M,B17010D_040MA,B17010D_041E,B17010D_041EA,B17010D_041M,B17010D_041MA,GEO_ID,NAME,state
64118,null,3097,null,6096,null,1249,null,4061,null,1064,null,3424,null,987,null,409,null,374,null,982,null,577,null,2033,null,730,null,637,null,385,null,2035,null,700,null,161,null,213,null,0,null,298,null,0,null,298,null,0,null,298,null,0,null,298,null,161,null,213,null,1874,null,675,null,1648,null,668,null,319,null,382,null,601,null,439,null,728,null,490,null,226,null,201,null,58022,null,2922,null,48536,null,3163,null,29103,null,2151,null,6665,null,1187,null,5293,null,995,null,17145,null,1816,null,19433,null,2239,null,9486,null,1504,null,3133,null,888,null,1357,null,617,null,330,null,282,null,47,null,75,null,980,null,568,null,1776,null,655,null,6353,null,1210,null,4006,null,1141,null,479,null,470,null,182,null,238,null,3345,null,1029,null,2347,null,788,null,0400000US13,Georgia,13
127521,null,3643,null,5590,null,1088,null,2975,null,823,null,1167,null,496,null,294,null,207,null,439,null,369,null,434,null,292,null,1808,null,678,null,2615,null,889,null,381,null,269,null,201,null,213,null,157,null,198,null,0,null,275,null,44,null,75,null,180,null,163,null,2234,null,882,null,1317,null,657,null,500,null,436,null,170,null,218,null,647,null,308,null,917,null,565,null,121931,null,3733,null,92218,null,3080,null,38636,null,2647,null,7470,null,1144,null,8047,null,1434,null,23119,null,1988,null,53582,null,2436,null,29713,null,2352,null,10045,null,1512,null,3932,null,1141,null,972,null,497,null,675,null,448,null,2285,null,875,null,6113,null,1144,null,19668,null,1991,null,8124,null,1520,null,968,null,447,null,1508,null,662,null,5648,null,1372,null,11544,null,1365,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
133508,null,3977,null,7978,null,1298,null,5567,null,1027,null,2670,null,702,null,416,null,363,null,792,null,428,null,1462,null,552,null,2897,null,882,null,2411,null,762,null,669,null,496,null,669,null,496,null,195,null,255,null,255,null,306,null,219,null,286,null,0,null,267,null,1742,null,739,null,1151,null,644,null,0,null,267,null,69,null,115,null,1082,null,632,null,591,null,357,null,125530,null,3938,null,109101,null,3685,null,62774,null,3141,null,16507,null,2032,null,11958,null,1687,null,34309,null,2472,null,46327,null,2980,null,16429,null,2023,null,4981,null,1249,null,1356,null,643,null,508,null,386,null,348,null,309,null,500,null,441,null,3625,null,1107,null,11448,null,1658,null,5609,null,1194,null,711,null,522,null,288,null,201,null,4610,null,1177,null,5839,null,1273,null,0400000US17,Illinois,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US18,Indiana,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US19,Iowa,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US20,Kansas,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US21,Kentucky,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
72275,null,2112,null,3438,null,1149,null,2167,null,923,null,1329,null,694,null,300,null,314,null,384,null,375,null,645,null,422,null,838,null,645,null,1271,null,747,null,475,null,404,null,475,null,404,null,0,null,281,null,228,null,287,null,247,null,315,null,0,null,281,null,796,null,545,null,599,null,482,null,0,null,281,null,0,null,281,null,599,null,482,null,197,null,194,null,68837,null,2160,null,59757,null,2007,null,33946,null,1937,null,10069,null,1530,null,6122,null,1038,null,17755,null,1437,null,25811,null,1489,null,9080,null,1436,null,3542,null,1010,null,1103,null,441,null,226,null,232,null,321,null,270,null,556,null,316,null,2439,null,916,null,5538,null,1139,null,2638,null,814,null,181,null,188,null,221,null,252,null,2236,null,746,null,2900,null,820,null,0400000US24,Maryland,24
76641,null,2093,null,8376,null,1596,null,5468,null,1272,null,3286,null,945,null,556,null,359,null,895,null,657,null,1835,null,677,null,2182,null,889,null,2908,null,873,null,672,null,445,null,510,null,429,null,113,null,187,null,0,null,281,null,397,null,482,null,162,null,154,null,2236,null,863,null,1647,null,716,null,251,null,231,null,0,null,281,null,1396,null,622,null,589,null,345,null,68265,null,2481,null,58071,null,2570,null,34538,null,2136,null,9802,null,1336,null,6285,null,1125,null,18451,null,1688,null,23533,null,1926,null,10194,null,1982,null,4113,null,1161,null,2108,null,837,null,563,null,428,null,321,null,290,null,1224,null,659,null,2005,null,784,null,6081,null,1540,null,3613,null,1140,null,754,null,564,null,621,null,377,null,2238,null,771,null,2468,null,893,null,0400000US25,Massachusetts,25
56590,null,2192,null,4928,null,1152,null,3835,null,1017,null,2228,null,787,null,398,null,323,null,926,null,454,null,904,null,492,null,1607,null,566,null,1093,null,509,null,159,null,138,null,111,null,119,null,0,null,242,null,0,null,242,null,111,null,119,null,48,null,78,null,934,null,485,null,715,null,468,null,51,null,95,null,97,null,137,null,567,null,431,null,219,null,168,null,51662,null,2064,null,45641,null,2243,null,28337,null,1911,null,6685,null,1075,null,5814,null,1080,null,15838,null,1441,null,17304,null,1741,null,6021,null,1382,null,2187,null,908,null,996,null,418,null,215,null,202,null,101,null,120,null,680,null,322,null,1191,null,809,null,3834,null,1005,null,2540,null,775,null,279,null,243,null,156,null,193,null,2105,null,668,null,1294,null,525,null,0400000US26,Michigan,26
40071,null,1969,null,4934,null,1244,null,3026,null,969,null,2603,null,862,null,574,null,428,null,894,null,500,null,1135,null,527,null,423,null,399,null,1908,null,711,null,290,null,233,null,195,null,185,null,0,null,211,null,86,null,106,null,109,null,151,null,95,null,121,null,1618,null,679,null,1464,null,630,null,132,null,180,null,199,null,209,null,1133,null,525,null,154,null,194,null,35137,null,1874,null,29113,null,1706,null,19877,null,1526,null,4328,null,889,null,8174,null,1257,null,7375,null,1118,null,9236,null,1186,null,6024,null,1195,null,2909,null,870,null,2214,null,822,null,530,null,454,null,681,null,538,null,1003,null,404,null,695,null,316,null,3115,null,696,null,2000,null,571,null,171,null,236,null,516,null,341,null,1313,null,465,null,1115,null,479,null,0400000US27,Minnesota,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,Mississippi,28
19588,null,1293,null,1684,null,699,null,868,null,508,null,523,null,409,null,65,null,107,null,377,null,384,null,81,null,105,null,345,null,252,null,816,null,467,null,45,null,55,null,17,null,34,null,0,null,257,null,17,null,34,null,0,null,257,null,28,null,45,null,771,null,471,null,718,null,454,null,12,null,21,null,318,null,282,null,388,null,318,null,53,null,89,null,17904,null,1353,null,15471,null,1296,null,8736,null,1188,null,2381,null,630,null,1717,null,755,null,4638,null,737,null,6735,null,1152,null,2433,null,741,null,907,null,492,null,697,null,473,null,49,null,69,null,157,null,249,null,491,null,392,null,210,null,183,null,1526,null,563,null,991,null,399,null,41,null,54,null,167,null,132,null,783,null,398,null,535,null,315,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US31,Nebraska,31
37334,null,2234,null,1950,null,768,null,889,null,418,null,348,null,252,null,0,null,300,null,54,null,90,null,294,null,232,null,541,null,345,null,1061,null,626,null,55,null,89,null,55,null,89,null,0,null,300,null,0,null,300,null,55,null,89,null,0,null,300,null,1006,null,621,null,636,null,466,null,312,null,396,null,165,null,209,null,159,null,178,null,370,null,426,null,35384,null,2151,null,27892,null,2110,null,15394,null,1805,null,2821,null,861,null,3682,null,948,null,8891,null,1165,null,12498,null,1319,null,7492,null,1387,null,2638,null,799,null,1524,null,565,null,85,null,96,null,359,null,250,null,1080,null,513,null,1114,null,553,null,4854,null,1091,null,2896,null,840,null,453,null,296,null,350,null,362,null,2093,null,715,null,1958,null,686,null,0400000US32,Nevada,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,New Hampshire,33
175532,null,3406,null,8332,null,1385,null,5563,null,1107,null,3191,null,852,null,235,null,180,null,1253,null,634,null,1703,null,645,null,2372,null,668,null,2769,null,1047,null,398,null,353,null,41,null,72,null,41,null,72,null,0,null,277,null,0,null,277,null,357,null,350,null,2371,null,988,null,1738,null,861,null,632,null,525,null,159,null,213,null,947,null,601,null,633,null,413,null,167200,null,3557,null,149988,null,3250,null,90607,null,3494,null,22795,null,2045,null,15270,null,1952,null,52542,null,3034,null,59381,null,3038,null,17212,null,2060,null,6231,null,1409,null,2303,null,978,null,335,null,291,null,74,null,118,null,1894,null,926,null,3928,null,1010,null,10981,null,1430,null,5808,null,1162,null,613,null,356,null,443,null,279,null,4752,null,1029,null,5173,null,932,null,0400000US34,New Jersey,34
