B06004E_001E,B06004E_001EA,B06004E_001M,B06004E_001MA,B06004E_002E,B06004E_002EA,B06004E_002M,B06004E_002MA,B06004E_003E,B06004E_003EA,B06004E_003M,B06004E_003MA,B06004E_004E,B06004E_004EA,B06004E_004M,B06004E_004MA,B06004E_005E,B06004E_005EA,B06004E_005M,B06004E_005MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US27,Minnesota,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,Mississippi,28
4223,null,1640,null,913,null,738,null,1416,null,584,null,445,null,356,null,1449,null,886,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US31,Nebraska,31
11229,null,1396,null,1051,null,642,null,5448,null,1218,null,3046,null,988,null,1684,null,640,null,0400000US32,Nevada,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,New Hampshire,33
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US34,New Jersey,34
740,null,488,null,150,null,147,null,351,null,345,null,239,null,236,null,0,null,279,null,0400000US35,New Mexico,35
5908,null,2271,null,1770,null,1152,null,2905,null,1639,null,233,null,235,null,1000,null,721,null,0400000US36,New York,36
4196,null,1331,null,668,null,476,null,1442,null,555,null,438,null,369,null,1648,null,1070,null,0400000US37,North Carolina,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,North Dakota,38
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US39,Ohio,39
3382,null,1343,null,1253,null,813,null,1008,null,802,null,431,null,378,null,690,null,305,null,0400000US40,Oklahoma,40
9919,null,1443,null,1687,null,623,null,4328,null,1133,null,1160,null,565,null,2744,null,730,null,0400000US41,Oregon,41
3228,null,1397,null,791,null,584,null,690,null,439,null,374,null,290,null,1373,null,906,null,0400000US42,Pennsylvania,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US44,Rhode Island,44
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US45,South Carolina,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US46,South Dakota,46
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US47,Tennessee,47
18344,null,2519,null,4501,null,1238,null,6826,null,1435,null,3600,null,1495,null,3417,null,912,null,0400000US48,Texas,48
20420,null,2017,null,7622,null,1750,null,5480,null,1549,null,988,null,727,null,6330,null,1352,null,0400000US49,Utah,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,Vermont,50
4148,null,1637,null,1323,null,725,null,803,null,496,null,1150,null,606,null,872,null,722,null,0400000US51,Virginia,51
29072,null,2126,null,5792,null,1553,null,8510,null,1760,null,8143,null,1550,null,6627,null,1637,null,0400000US53,Washington,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US54,West Virginia,54
935,null,594,null,519,null,444,null,93,null,83,null,102,null,148,null,221,null,225,null,0400000US55,Wisconsin,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US56,Wyoming,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US72,Puerto Rico,72
