B16005B_001E,B16005B_001EA,B16005B_001M,B16005B_001MA,B16005B_002E,B16005B_002EA,B16005B_002M,B16005B_002MA,B16005B_003E,B16005B_003EA,B16005B_003M,B16005B_003MA,B16005B_004E,B16005B_004EA,B16005B_004M,B16005B_004MA,B16005B_005E,B16005B_005EA,B16005B_005M,B16005B_005MA,B16005B_006E,B16005B_006EA,B16005B_006M,B16005B_006MA,B16005B_007E,B16005B_007EA,B16005B_007M,B16005B_007MA,B16005B_008E,B16005B_008EA,B16005B_008M,B16005B_008MA,B16005B_009E,B16005B_009EA,B16005B_009M,B16005B_009MA,B16005B_010E,B16005B_010EA,B16005B_010M,B16005B_010MA,B16005B_011E,B16005B_011EA,B16005B_011M,B16005B_011MA,GEO_ID,NAME,state
2673265,null,8626,null,2523805,null,13589,null,2465278,null,14298,null,58527,null,4389,null,45533,null,4226,null,12994,null,2785,null,149460,null,10829,null,71398,null,6387,null,78062,null,8210,null,52123,null,5953,null,25939,null,4776,null,0400000US13,Georgia,13
29117,null,4079,null,26549,null,3775,null,25339,null,3739,null,1210,null,597,null,1059,null,601,null,151,null,154,null,2568,null,1496,null,1266,null,967,null,1302,null,990,null,497,null,365,null,805,null,891,null,0400000US15,Hawaii,15
7038,null,1124,null,4901,null,1334,null,4860,null,1328,null,41,null,84,null,0,null,259,null,41,null,84,null,2137,null,1086,null,404,null,371,null,1733,null,894,null,967,null,678,null,766,null,522,null,0400000US16,Idaho,16
1742603,null,11444,null,1685781,null,12904,null,1649105,null,13676,null,36676,null,4554,null,29721,null,4288,null,6955,null,1647,null,56822,null,6906,null,18343,null,3027,null,38479,null,6584,null,26214,null,5106,null,12265,null,2403,null,0400000US17,Illinois,17
502606,null,4751,null,490926,null,5222,null,482488,null,5384,null,8438,null,1449,null,6352,null,1327,null,2086,null,606,null,11680,null,2321,null,4548,null,1354,null,7132,null,1688,null,3508,null,1029,null,3624,null,1385,null,0400000US18,Indiana,18
68611,null,3115,null,61883,null,3838,null,60466,null,3741,null,1417,null,587,null,1176,null,544,null,241,null,194,null,6728,null,2276,null,1227,null,594,null,5501,null,2079,null,3256,null,1981,null,2245,null,953,null,0400000US19,Iowa,19
145881,null,3776,null,139177,null,3922,null,135647,null,3990,null,3530,null,996,null,2775,null,1015,null,755,null,425,null,6704,null,1611,null,2621,null,1062,null,4083,null,1322,null,2825,null,1018,null,1258,null,695,null,0400000US20,Kansas,20
293564,null,4559,null,287397,null,4272,null,281519,null,4305,null,5878,null,1162,null,4543,null,1126,null,1335,null,601,null,6167,null,2356,null,2679,null,1374,null,3488,null,1681,null,2129,null,1259,null,1359,null,811,null,0400000US21,Kentucky,21
1289689,null,4911,null,1280837,null,5014,null,1247266,null,6215,null,33571,null,3339,null,25890,null,2967,null,7681,null,1481,null,8852,null,2135,null,3095,null,936,null,5757,null,1916,null,3378,null,1405,null,2379,null,1063,null,0400000US22,Louisiana,22
10678,null,1393,null,7462,null,1276,null,6805,null,1173,null,657,null,381,null,377,null,289,null,280,null,273,null,3216,null,1075,null,479,null,370,null,2737,null,1063,null,496,null,529,null,2241,null,800,null,0400000US23,Maine,23
1512458,null,6244,null,1353704,null,10511,null,1308903,null,11384,null,44801,null,4514,null,36265,null,4317,null,8536,null,1811,null,158754,null,8868,null,62022,null,6617,null,96732,null,6472,null,68848,null,5785,null,27884,null,3943,null,0400000US24,Maryland,24
375056,null,7534,null,244031,null,7389,null,204036,null,7470,null,39995,null,4496,null,32210,null,4003,null,7785,null,1900,null,131025,null,6327,null,32894,null,4035,null,98131,null,6479,null,50011,null,4410,null,48120,null,4898,null,0400000US25,Massachusetts,25
1290266,null,6772,null,1266930,null,7481,null,1244523,null,7798,null,22407,null,2613,null,15644,null,1873,null,6763,null,1575,null,23336,null,3737,null,8776,null,1990,null,14560,null,3259,null,10203,null,2766,null,4357,null,1438,null,0400000US26,Michigan,26
207236,null,3500,null,147423,null,5907,null,136643,null,6473,null,10780,null,2487,null,7972,null,2307,null,2808,null,1071,null,59813,null,5125,null,13362,null,2739,null,46451,null,4708,null,25377,null,3394,null,21074,null,2851,null,0400000US27,Minnesota,27
1008164,null,5638,null,1005512,null,5555,null,995705,null,6045,null,9807,null,2023,null,7247,null,1656,null,2560,null,981,null,2652,null,1393,null,1226,null,982,null,1426,null,977,null,1263,null,958,null,163,null,137,null,0400000US28,Mississippi,28
606809,null,4931,null,590263,null,6563,null,580100,null,6935,null,10163,null,1948,null,8330,null,1812,null,1833,null,757,null,16546,null,4178,null,5808,null,2214,null,10738,null,2756,null,5633,null,1342,null,5105,null,2093,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
65596,null,1961,null,58346,null,2841,null,57115,null,2906,null,1231,null,577,null,1156,null,564,null,75,null,99,null,7250,null,2447,null,753,null,490,null,6497,null,2284,null,3348,null,1468,null,3149,null,1455,null,0400000US31,Nebraska,31
178020,null,3340,null,163650,null,4129,null,158704,null,4015,null,4946,null,2010,null,4135,null,1846,null,811,null,538,null,14370,null,2930,null,3970,null,1345,null,10400,null,2821,null,4797,null,1404,null,5603,null,2121,null,0400000US32,Nevada,32
11865,null,1447,null,7949,null,1568,null,6938,null,1484,null,1011,null,782,null,973,null,781,null,38,null,63,null,3916,null,1164,null,834,null,434,null,3082,null,1189,null,1184,null,519,null,1898,null,856,null,0400000US33,New Hampshire,33
1099653,null,8538,null,922761,null,10659,null,867750,null,10795,null,55011,null,4627,null,45163,null,4206,null,9848,null,1796,null,176892,null,10407,null,80139,null,6714,null,96753,null,8021,null,51101,null,4415,null,45652,null,5658,null,0400000US34,New Jersey,34
41442,null,2979,null,37867,null,3104,null,35690,null,2969,null,2177,null,806,null,1999,null,743,null,178,null,174,null,3575,null,1311,null,1549,null,895,null,2026,null,911,null,1284,null,801,null,742,null,463,null,0400000US35,New Mexico,35
2881125,null,15096,null,2027611,null,22923,null,1852358,null,21150,null,175253,null,10422,null,146201,null,8998,null,29052,null,3476,null,853514,null,18810,null,531632,null,16434,null,321882,null,15002,null,166080,null,9921,null,155802,null,10862,null,0400000US36,New York,36
1815968,null,8606,null,1768976,null,9905,null,1738101,null,10266,null,30875,null,4000,null,24749,null,3414,null,6126,null,1298,null,46992,null,5174,null,21070,null,2921,null,25922,null,4045,null,14475,null,3207,null,11447,null,2438,null,0400000US37,North Carolina,37
5702,null,769,null,3536,null,788,null,3053,null,661,null,483,null,357,null,368,null,344,null,115,null,187,null,2166,null,743,null,584,null,406,null,1582,null,540,null,807,null,520,null,775,null,455,null,0400000US38,North Dakota,38
1241841,null,6936,null,1193506,null,8887,null,1168186,null,9884,null,25320,null,3450,null,21108,null,3424,null,4212,null,963,null,48335,null,6008,null,12294,null,2710,null,36041,null,4877,null,20621,null,3040,null,15420,null,3035,null,0400000US39,Ohio,39
240653,null,4872,null,233214,null,4858,null,229963,null,4730,null,3251,null,816,null,2202,null,548,null,1049,null,506,null,7439,null,1950,null,2568,null,894,null,4871,null,1782,null,3493,null,1448,null,1378,null,837,null,0400000US40,Oklahoma,40
60398,null,2993,null,52812,null,2878,null,49929,null,2894,null,2883,null,1322,null,2385,null,1233,null,498,null,429,null,7586,null,1842,null,2270,null,1201,null,5316,null,1688,null,3094,null,1276,null,2222,null,915,null,0400000US41,Oregon,41
1190696,null,7493,null,1122051,null,9132,null,1076357,null,9576,null,45694,null,5687,null,35972,null,4917,null,9722,null,2068,null,68645,null,6018,null,33232,null,4294,null,35413,null,4749,null,23933,null,3585,null,11480,null,2669,null,0400000US42,Pennsylvania,42
52455,null,2801,null,33395,null,2729,null,27241,null,3044,null,6154,null,1925,null,4697,null,1535,null,1457,null,963,null,19060,null,2776,null,5099,null,1478,null,13961,null,2407,null,6524,null,1446,null,7437,null,2017,null,0400000US44,Rhode Island,44
1167165,null,6138,null,1155402,null,6212,null,1138932,null,6817,null,16470,null,2411,null,12729,null,2250,null,3741,null,1119,null,11763,null,2228,null,6603,null,1511,null,5160,null,1605,null,3994,null,1305,null,1166,null,780,null,0400000US45,South Carolina,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US46,South Dakota,46
939361,null,5496,null,918858,null,6335,null,905249,null,6611,null,13609,null,1963,null,9993,null,1616,null,3616,null,973,null,20503,null,4430,null,4890,null,1499,null,15613,null,4314,null,6840,null,2092,null,8773,null,3175,null,0400000US47,Tennessee,47
2557771,null,14131,null,2422294,null,16706,null,2350956,null,16935,null,71338,null,6462,null,61302,null,5931,null,10036,null,1807,null,135477,null,9672,null,48755,null,5021,null,86722,null,8048,null,62028,null,6542,null,24694,null,3603,null,0400000US48,Texas,48
26599,null,2556,null,19138,null,2311,null,17003,null,2355,null,2135,null,873,null,1455,null,696,null,680,null,455,null,7461,null,2182,null,1207,null,649,null,6254,null,2229,null,2986,null,1379,null,3268,null,1598,null,0400000US49,Utah,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,Vermont,50
1411680,null,7303,null,1328563,null,10967,null,1294719,null,11661,null,33844,null,3624,null,26094,null,3318,null,7750,null,1521,null,83117,null,8510,null,25849,null,4315,null,57268,null,8122,null,31641,null,3669,null,25627,null,6862,null,0400000US51,Virginia,51
204011,null,4820,null,165500,null,5601,null,155520,null,6551,null,9980,null,2317,null,8332,null,2006,null,1648,null,1277,null,38511,null,4955,null,7000,null,1944,null,31511,null,4337,null,16879,null,2826,null,14632,null,3097,null,0400000US53,Washington,53
58447,null,3179,null,56565,null,3271,null,55144,null,3349,null,1421,null,619,null,1213,null,567,null,208,null,165,null,1882,null,871,null,1087,null,700,null,795,null,462,null,699,null,434,null,96,null,130,null,0400000US54,West Virginia,54
295466,null,3346,null,286819,null,3956,null,282285,null,4098,null,4534,null,1295,null,3856,null,1208,null,678,null,351,null,8647,null,2294,null,3493,null,1195,null,5154,null,1724,null,2970,null,1227,null,2184,null,1070,null,0400000US55,Wisconsin,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US56,Wyoming,56
270994,null,13262,null,245367,null,12433,null,21237,null,3122,null,224130,null,11827,null,23884,null,2853,null,200246,null,11443,null,25627,null,3792,null,1209,null,656,null,24418,null,3653,null,1414,null,540,null,23004,null,3573,null,0400000US72,Puerto Rico,72
