B16003_001E,B16003_001EA,B16003_001M,B16003_001MA,B16003_002E,B16003_002EA,B16003_002M,B16003_002MA,B16003_003E,B16003_003EA,B16003_003M,B16003_003MA,B16003_004E,B16003_004EA,B16003_004M,B16003_004MA,B16003_005E,B16003_005EA,B16003_005M,B16003_005MA,B16003_006E,B16003_006EA,B16003_006M,B16003_006MA,B16003_007E,B16003_007EA,B16003_007M,B16003_007MA,B16003_008E,B16003_008EA,B16003_008M,B16003_008MA,B16003_009E,B16003_009EA,B16003_009M,B16003_009MA,B16003_010E,B16003_010EA,B16003_010M,B16003_010MA,B16003_011E,B16003_011EA,B16003_011M,B16003_011MA,B16003_012E,B16003_012EA,B16003_012M,B16003_012MA,GEO_ID,NAME,state
51152,null,6957,null,9021,null,1994,null,1141,null,830,null,6212,null,1608,null,649,null,522,null,837,null,530,null,182,null,208,null,42131,null,5696,null,25578,null,4381,null,11451,null,3044,null,4152,null,1413,null,950,null,1000,null,0400000US44,Rhode Island,44
76742,null,5424,null,14797,null,2458,null,192,null,172,null,13359,null,2221,null,321,null,370,null,925,null,588,null,0,null,287,null,61945,null,4365,null,50194,null,3503,null,4562,null,1414,null,6248,null,1732,null,941,null,632,null,0400000US45,South Carolina,45
5908,null,1954,null,1064,null,626,null,84,null,118,null,853,null,609,null,127,null,127,null,0,null,223,null,0,null,223,null,4844,null,1596,null,2028,null,785,null,2188,null,1299,null,264,null,287,null,364,null,364,null,0400000US46,South Dakota,46
97678,null,7436,null,23595,null,3680,null,2224,null,1842,null,13651,null,2372,null,1485,null,712,null,2470,null,1275,null,3765,null,2107,null,74083,null,5410,null,50513,null,4379,null,5989,null,1461,null,11102,null,2145,null,6479,null,2057,null,0400000US47,Tennessee,47
1937334,null,38002,null,463358,null,16455,null,20614,null,3685,null,407727,null,14854,null,6287,null,2012,null,24161,null,3133,null,4569,null,2640,null,1473976,null,26226,null,1307183,null,23909,null,38447,null,4807,null,114962,null,8527,null,13384,null,3197,null,0400000US48,Texas,48
79511,null,8123,null,20619,null,3532,null,891,null,602,null,16115,null,2832,null,450,null,316,null,1913,null,1634,null,1250,null,1257,null,58892,null,5816,null,45921,null,5286,null,3465,null,958,null,7420,null,1830,null,2086,null,1233,null,0400000US49,Utah,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,Vermont,50
214065,null,11570,null,39022,null,3743,null,2605,null,985,null,23423,null,3136,null,2274,null,877,null,9009,null,1701,null,1711,null,994,null,175043,null,9778,null,94613,null,6208,null,20031,null,3599,null,48893,null,4977,null,11506,null,3094,null,0400000US51,Virginia,51
267531,null,13053,null,62513,null,6132,null,4100,null,1257,null,39068,null,4297,null,7197,null,1846,null,10186,null,1940,null,1962,null,1437,null,205018,null,9228,null,100114,null,7199,null,34217,null,4452,null,63935,null,4571,null,6752,null,1956,null,0400000US53,Washington,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US54,West Virginia,54
84380,null,6465,null,17954,null,2329,null,829,null,404,null,12249,null,2024,null,1107,null,366,null,3246,null,1133,null,523,null,416,null,66426,null,5045,null,45103,null,4086,null,9988,null,1933,null,10285,null,2203,null,1050,null,600,null,0400000US55,Wisconsin,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US56,Wyoming,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US72,Puerto Rico,72
