C17010D_001E,C17010D_001EA,C17010D_001M,C17010D_001MA,C17010D_002E,C17010D_002EA,C17010D_002M,C17010D_002MA,C17010D_003E,C17010D_003EA,C17010D_003M,C17010D_003MA,C17010D_004E,C17010D_004EA,C17010D_004M,C17010D_004MA,C17010D_005E,C17010D_005EA,C17010D_005M,C17010D_005MA,C17010D_006E,C17010D_006EA,C17010D_006M,C17010D_006MA,C17010D_007E,C17010D_007EA,C17010D_007M,C17010D_007MA,C17010D_008E,C17010D_008EA,C17010D_008M,C17010D_008MA,C17010D_009E,C17010D_009EA,C17010D_009M,C17010D_009MA,C17010D_010E,C17010D_010EA,C17010D_010M,C17010D_010MA,C17010D_011E,C17010D_011EA,C17010D_011M,C17010D_011MA,C17010D_012E,C17010D_012EA,C17010D_012M,C17010D_012MA,C17010D_013E,C17010D_013EA,C17010D_013M,C17010D_013MA,C17010D_014E,C17010D_014EA,C17010D_014M,C17010D_014MA,C17010D_015E,C17010D_015EA,C17010D_015M,C17010D_015MA,C17010D_016E,C17010D_016EA,C17010D_016M,C17010D_016MA,C17010D_017E,C17010D_017EA,C17010D_017M,C17010D_017MA,GEO_ID,NAME,state
19159,null,1571,null,2263,null,781,null,1453,null,484,null,1082,null,441,null,810,null,555,null,125,null,194,null,0,null,265,null,685,null,514,null,614,null,511,null,16896,null,1493,null,14434,null,1537,null,9157,null,1209,null,2462,null,794,null,751,null,429,null,321,null,248,null,1711,null,700,null,1439,null,679,null,0400000US18,Indiana,18
10492,null,1074,null,1290,null,640,null,571,null,411,null,297,null,351,null,719,null,442,null,75,null,113,null,75,null,113,null,644,null,428,null,399,null,319,null,9202,null,1012,null,7920,null,935,null,4356,null,753,null,1282,null,628,null,448,null,265,null,149,null,141,null,834,null,587,null,615,null,519,null,0400000US19,Iowa,19
13191,null,1160,null,965,null,420,null,475,null,325,null,272,null,289,null,490,null,355,null,169,null,263,null,169,null,263,null,321,null,251,null,260,null,208,null,12226,null,1215,null,10385,null,1179,null,7101,null,1020,null,1841,null,624,null,582,null,360,null,144,null,144,null,1259,null,510,null,329,null,221,null,0400000US20,Kansas,20
8584,null,976,null,1389,null,669,null,769,null,493,null,569,null,453,null,620,null,449,null,232,null,314,null,0,null,271,null,388,null,320,null,388,null,320,null,7195,null,902,null,6858,null,1006,null,3547,null,770,null,337,null,330,null,308,null,325,null,240,null,319,null,29,null,39,null,17,null,30,null,0400000US21,Kentucky,21
13594,null,1197,null,1425,null,627,null,1247,null,614,null,758,null,473,null,178,null,157,null,109,null,164,null,109,null,164,null,69,null,85,null,41,null,71,null,12169,null,1271,null,9849,null,1277,null,5690,null,1015,null,2320,null,766,null,730,null,508,null,320,null,375,null,1590,null,651,null,923,null,583,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
68569,null,2286,null,2709,null,825,null,1751,null,674,null,1122,null,593,null,958,null,528,null,243,null,208,null,243,null,208,null,715,null,530,null,555,null,518,null,65860,null,2405,null,56961,null,2219,null,32711,null,1854,null,8899,null,1441,null,3590,null,992,null,692,null,304,null,5309,null,1109,null,2803,null,750,null,0400000US24,Maryland,24
70777,null,2557,null,7054,null,1541,null,4033,null,996,null,2598,null,858,null,3021,null,999,null,572,null,474,null,468,null,441,null,2449,null,865,null,1947,null,805,null,63723,null,2574,null,52768,null,2920,null,32557,null,2389,null,10955,null,1677,null,3849,null,1131,null,1729,null,670,null,7106,null,1231,null,4237,null,891,null,0400000US25,Massachusetts,25
57633,null,2023,null,5151,null,998,null,3410,null,866,null,2024,null,699,null,1741,null,685,null,163,null,148,null,163,null,148,null,1578,null,677,null,1216,null,594,null,52482,null,1914,null,46587,null,2000,null,28024,null,1970,null,5895,null,1276,null,1682,null,603,null,589,null,336,null,4213,null,1082,null,1985,null,756,null,0400000US26,Michigan,26
39347,null,1774,null,4767,null,986,null,2221,null,607,null,2024,null,646,null,2546,null,761,null,251,null,167,null,118,null,121,null,2295,null,740,null,2112,null,737,null,34580,null,1846,null,28113,null,1887,null,18267,null,1518,null,6467,null,1185,null,1896,null,586,null,1171,null,535,null,4571,null,1011,null,3470,null,895,null,0400000US27,Minnesota,27
4890,null,1001,null,910,null,576,null,652,null,516,null,652,null,516,null,258,null,285,null,0,null,289,null,0,null,289,null,258,null,285,null,258,null,285,null,3980,null,858,null,2976,null,802,null,1816,null,642,null,1004,null,507,null,339,null,328,null,60,null,112,null,665,null,417,null,358,null,266,null,0400000US28,Mississippi,28
19931,null,1693,null,2433,null,901,null,1538,null,628,null,1093,null,581,null,895,null,671,null,239,null,264,null,0,null,255,null,656,null,593,null,633,null,590,null,17498,null,1590,null,14331,null,1167,null,8701,null,1049,null,3167,null,854,null,816,null,523,null,627,null,499,null,2351,null,634,null,1607,null,601,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US31,Nebraska,31
37663,null,1688,null,1761,null,652,null,1419,null,595,null,632,null,413,null,342,null,276,null,0,null,298,null,0,null,298,null,342,null,276,null,291,null,271,null,35902,null,1753,null,25246,null,1648,null,13079,null,1307,null,10656,null,1425,null,3875,null,873,null,1785,null,710,null,6781,null,1255,null,3504,null,917,null,0400000US32,Nevada,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,New Hampshire,33
170971,null,3910,null,9668,null,1940,null,6896,null,1488,null,4394,null,1119,null,2772,null,1151,null,852,null,534,null,618,null,497,null,1920,null,1018,null,1507,null,908,null,161303,null,3954,null,141501,null,3880,null,85945,null,3047,null,19802,null,2439,null,7908,null,1795,null,4174,null,1293,null,11894,null,1693,null,5121,null,1006,null,0400000US34,New Jersey,34
5739,null,908,null,387,null,231,null,153,null,148,null,61,null,100,null,234,null,177,null,67,null,80,null,67,null,80,null,167,null,157,null,167,null,157,null,5352,null,877,null,4264,null,742,null,2071,null,513,null,1088,null,524,null,606,null,324,null,470,null,286,null,482,null,361,null,418,null,338,null,0400000US35,New Mexico,35
303280,null,5117,null,39109,null,3421,null,28912,null,2946,null,17434,null,2294,null,10197,null,1669,null,3302,null,954,null,2147,null,806,null,6895,null,1360,null,5145,null,1239,null,264171,null,5327,null,218785,null,5477,null,124122,null,4380,null,45386,null,3525,null,19351,null,2432,null,6786,null,1568,null,26035,null,2399,null,9778,null,1615,null,0400000US36,New York,36
38946,null,2381,null,3208,null,898,null,1998,null,726,null,1639,null,711,null,1210,null,665,null,200,null,237,null,200,null,237,null,1010,null,610,null,939,null,611,null,35738,null,2365,null,31137,null,2438,null,18751,null,1840,null,4601,null,934,null,2192,null,868,null,1018,null,433,null,2409,null,743,null,1663,null,768,null,0400000US37,North Carolina,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,North Dakota,38
44905,null,2437,null,2760,null,691,null,1773,null,590,null,1206,null,565,null,987,null,535,null,73,null,127,null,73,null,127,null,914,null,507,null,884,null,506,null,42145,null,2395,null,37026,null,2411,null,21649,null,1728,null,5119,null,1186,null,2600,null,1018,null,1792,null,871,null,2519,null,745,null,1685,null,508,null,0400000US39,Ohio,39
12741,null,1253,null,691,null,469,null,610,null,462,null,610,null,462,null,81,null,133,null,0,null,246,null,0,null,246,null,81,null,133,null,81,null,133,null,12050,null,1364,null,9749,null,1194,null,5886,null,1014,null,2301,null,754,null,821,null,468,null,151,null,146,null,1480,null,629,null,723,null,394,null,0400000US40,Oklahoma,40
31453,null,1916,null,3056,null,857,null,1680,null,658,null,810,null,483,null,1376,null,642,null,279,null,330,null,279,null,330,null,1097,null,531,null,906,null,467,null,28397,null,1909,null,24912,null,1746,null,14690,null,1587,null,3485,null,1024,null,1434,null,743,null,796,null,632,null,2051,null,803,null,1084,null,672,null,0400000US41,Oregon,41
67221,null,2502,null,7172,null,1280,null,4631,null,904,null,2784,null,784,null,2541,null,969,null,712,null,482,null,549,null,472,null,1829,null,818,null,1317,null,657,null,60049,null,2425,null,51731,null,2616,null,30681,null,1887,null,8318,null,1132,null,3598,null,855,null,1298,null,549,null,4720,null,878,null,2586,null,679,null,0400000US42,Pennsylvania,42
6371,null,1015,null,819,null,523,null,372,null,436,null,372,null,436,null,447,null,350,null,130,null,168,null,130,null,168,null,317,null,307,null,317,null,307,null,5552,null,1027,null,4485,null,1003,null,2661,null,913,null,1067,null,693,null,428,null,337,null,154,null,136,null,639,null,580,null,352,null,392,null,0400000US44,Rhode Island,44
13030,null,1425,null,1336,null,940,null,721,null,623,null,249,null,241,null,615,null,562,null,354,null,426,null,0,null,287,null,261,null,348,null,45,null,87,null,11694,null,1292,null,9884,null,1225,null,4993,null,906,null,1810,null,688,null,746,null,578,null,607,null,578,null,1064,null,504,null,765,null,430,null,0400000US45,South Carolina,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US46,South Dakota,46
19045,null,1525,null,1880,null,810,null,645,null,380,null,582,null,353,null,1235,null,672,null,125,null,193,null,0,null,281,null,1110,null,640,null,1008,null,628,null,17165,null,1318,null,14360,null,1462,null,8518,null,1263,null,2805,null,995,null,1520,null,715,null,1129,null,647,null,1285,null,578,null,1002,null,550,null,0400000US47,Tennessee,47
192357,null,4056,null,17566,null,2434,null,11489,null,1882,null,7891,null,1656,null,6077,null,1369,null,1843,null,766,null,659,null,403,null,4234,null,1079,null,3284,null,981,null,174791,null,4308,null,150001,null,4426,null,93826,null,3696,null,24790,null,2296,null,10305,null,1553,null,4768,null,1186,null,14485,null,1738,null,8320,null,1251,null,0400000US48,Texas,48
10600,null,1045,null,907,null,577,null,635,null,508,null,51,null,79,null,272,null,294,null,0,null,261,null,0,null,261,null,272,null,294,null,272,null,294,null,9693,null,983,null,7918,null,1017,null,4367,null,688,null,1775,null,643,null,558,null,275,null,239,null,167,null,1217,null,582,null,799,null,533,null,0400000US49,Utah,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,Vermont,50
88485,null,3148,null,4964,null,1463,null,3121,null,1184,null,2501,null,981,null,1843,null,840,null,93,null,159,null,93,null,159,null,1750,null,825,null,1454,null,791,null,83521,null,3372,null,69497,null,3641,null,41303,null,2687,null,14024,null,2037,null,4993,null,1267,null,1400,null,634,null,9031,null,1529,null,4217,null,1083,null,0400000US51,Virginia,51
99044,null,3185,null,9672,null,1560,null,4562,null,1137,null,2128,null,865,null,5110,null,1126,null,1002,null,547,null,529,null,349,null,4108,null,1016,null,2810,null,757,null,89372,null,3516,null,71820,null,3330,null,41130,null,3491,null,17552,null,2053,null,7415,null,1296,null,4049,null,1134,null,10137,null,1746,null,5248,null,1196,null,0400000US53,Washington,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US54,West Virginia,54
21250,null,1671,null,2754,null,839,null,1455,null,445,null,1080,null,408,null,1299,null,664,null,263,null,266,null,263,null,266,null,1036,null,608,null,993,null,605,null,18496,null,1586,null,16138,null,1558,null,10514,null,1337,null,2358,null,689,null,463,null,287,null,274,null,223,null,1895,null,684,null,1245,null,608,null,0400000US55,Wisconsin,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US56,Wyoming,56
2932,null,923,null,1116,null,443,null,382,null,285,null,320,null,239,null,734,null,399,null,35,null,59,null,0,null,283,null,699,null,391,null,397,null,311,null,1816,null,777,null,1177,null,526,null,540,null,386,null,639,null,425,null,137,null,160,null,65,null,109,null,502,null,401,null,210,null,224,null,0400000US72,Puerto Rico,72
