B10051I_001E,B10051I_001EA,B10051I_001M,B10051I_001MA,B10051I_002E,B10051I_002EA,B10051I_002M,B10051I_002MA,B10051I_003E,B10051I_003EA,B10051I_003M,B10051I_003MA,B10051I_004E,B10051I_004EA,B10051I_004M,B10051I_004MA,B10051I_005E,B10051I_005EA,B10051I_005M,B10051I_005MA,B10051I_006E,B10051I_006EA,B10051I_006M,B10051I_006MA,B10051I_007E,B10051I_007EA,B10051I_007M,B10051I_007MA,GEO_ID,NAME,state
3861,null,1384,null,1248,null,749,null,1227,null,748,null,21,null,37,null,2613,null,1177,null,1162,null,633,null,1451,null,964,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
8234,null,1436,null,1679,null,591,null,1151,null,486,null,528,null,378,null,6555,null,1247,null,3615,null,1170,null,2940,null,786,null,0400000US24,Maryland,24
12378,null,2501,null,5331,null,1739,null,3701,null,1378,null,1630,null,822,null,7047,null,1853,null,4057,null,1157,null,2990,null,1284,null,0400000US25,Massachusetts,25
9832,null,1874,null,4242,null,997,null,3161,null,855,null,1081,null,465,null,5590,null,1526,null,3054,null,1285,null,2536,null,822,null,0400000US26,Michigan,26
4732,null,1356,null,1488,null,701,null,1411,null,690,null,77,null,92,null,3244,null,1117,null,1983,null,776,null,1261,null,784,null,0400000US27,Minnesota,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,Mississippi,28
3796,null,1003,null,1308,null,569,null,1042,null,459,null,266,null,273,null,2488,null,990,null,808,null,580,null,1680,null,697,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
2440,null,796,null,952,null,500,null,928,null,506,null,24,null,44,null,1488,null,580,null,889,null,480,null,599,null,312,null,0400000US31,Nebraska,31
17399,null,2650,null,5056,null,1294,null,3616,null,1126,null,1440,null,559,null,12343,null,2328,null,7811,null,2070,null,4532,null,1415,null,0400000US32,Nevada,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,New Hampshire,33
39336,null,4318,null,9290,null,1640,null,6232,null,1391,null,3058,null,1006,null,30046,null,4035,null,14132,null,3067,null,15914,null,2342,null,0400000US34,New Jersey,34
24747,null,3019,null,12449,null,2291,null,9196,null,2007,null,3253,null,969,null,12298,null,2047,null,8128,null,1759,null,4170,null,1252,null,0400000US35,New Mexico,35
99953,null,6889,null,31923,null,4095,null,20892,null,2745,null,11031,null,2318,null,68030,null,5917,null,34276,null,3996,null,33754,null,3687,null,0400000US36,New York,36
15067,null,2484,null,5865,null,2099,null,5080,null,1961,null,785,null,616,null,9202,null,2198,null,7018,null,1827,null,2184,null,912,null,0400000US37,North Carolina,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,North Dakota,38
6567,null,1450,null,3120,null,1137,null,2555,null,1088,null,565,null,417,null,3447,null,903,null,2203,null,726,null,1244,null,502,null,0400000US39,Ohio,39
4613,null,1168,null,2685,null,886,null,2084,null,878,null,601,null,387,null,1928,null,802,null,1263,null,652,null,665,null,344,null,0400000US40,Oklahoma,40
6907,null,1497,null,1666,null,822,null,1459,null,748,null,207,null,223,null,5241,null,1285,null,3382,null,1085,null,1859,null,668,null,0400000US41,Oregon,41
16009,null,2330,null,6799,null,1627,null,5983,null,1497,null,816,null,484,null,9210,null,1644,null,5394,null,1105,null,3816,null,1096,null,0400000US42,Pennsylvania,42
3621,null,1103,null,944,null,501,null,821,null,452,null,123,null,195,null,2677,null,1043,null,1229,null,878,null,1448,null,723,null,0400000US44,Rhode Island,44
2613,null,979,null,951,null,568,null,810,null,537,null,141,null,139,null,1662,null,818,null,1015,null,643,null,647,null,481,null,0400000US45,South Carolina,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US46,South Dakota,46
2314,null,962,null,675,null,460,null,495,null,402,null,180,null,170,null,1639,null,838,null,638,null,496,null,1001,null,648,null,0400000US47,Tennessee,47
311776,null,11466,null,125764,null,6839,null,93584,null,5865,null,32180,null,3308,null,186012,null,9920,null,105569,null,8668,null,80443,null,4847,null,0400000US48,Texas,48
8399,null,1788,null,2922,null,877,null,2319,null,800,null,603,null,394,null,5477,null,1599,null,4283,null,1376,null,1194,null,640,null,0400000US49,Utah,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,Vermont,50
12387,null,2313,null,3182,null,940,null,2133,null,598,null,1049,null,542,null,9205,null,2252,null,4603,null,1729,null,4602,null,1156,null,0400000US51,Virginia,51
12016,null,1725,null,5524,null,1376,null,4349,null,1331,null,1175,null,625,null,6492,null,1158,null,3607,null,1103,null,2885,null,802,null,0400000US53,Washington,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US54,West Virginia,54
6646,null,1614,null,1749,null,789,null,1566,null,759,null,183,null,161,null,4897,null,1512,null,3375,null,1430,null,1522,null,688,null,0400000US55,Wisconsin,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US56,Wyoming,56
120779,null,5566,null,57204,null,3838,null,35350,null,3041,null,21854,null,2043,null,63575,null,3549,null,28704,null,2410,null,34871,null,3099,null,0400000US72,Puerto Rico,72
