GEO_ID,B10051F_001E,B10051F_001M,B10051F_002E,B10051F_002M,B10051F_003E,B10051F_003M,B10051F_004E,B10051F_004M,B10051F_005E,B10051F_005M,B10051F_006E,B10051F_006M,B10051F_007E,B10051F_007M,NAME,B10051F_001EA,B10051F_001MA,B10051F_002MA,B10051F_002EA,B10051F_003EA,B10051F_003MA,B10051F_004EA,B10051F_004MA,B10051F_005EA,B10051F_005MA,B10051F_006EA,B10051F_006MA,B10051F_007EA,B10051F_007MA,state
0400000US32,6935,1828,2800,1179,2165,982,635,548,4135,1280,2596,1060,1539,659,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,14932,2658,3916,906,2723,842,1193,582,11016,2264,5737,1654,5279,1413,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,7503,1591,4238,1170,3288,1206,950,439,3265,1218,1261,569,2004,971,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,55620,4479,16009,2294,10076,1925,5933,1290,39611,3713,21909,2852,17702,2533,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,4856,1578,1531,907,1376,847,155,247,3325,1278,2021,1054,1304,632,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,2425,992,777,430,660,427,117,113,1648,711,1398,645,250,241,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2616,901,1001,375,670,324,331,209,1615,780,1251,744,364,251,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3661,1352,1412,816,1332,830,80,89,2249,1091,1519,882,730,633,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,9796,1698,4351,1242,3387,990,964,546,5445,1196,3353,966,2092,693,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1362,738,778,664,778,664,0,197,584,404,311,302,273,268,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1943,993,397,317,397,317,0,193,1546,918,639,657,907,813,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,60803,4682,22289,3187,16533,2551,5756,1433,38514,3730,22682,3083,15832,2530,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,3802,1462,596,471,567,461,29,54,3206,1313,1926,980,1280,868,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,3601,1137,1380,746,1054,622,326,429,2221,790,789,419,1432,674,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,7813,1992,2900,1222,2310,1100,590,524,4913,1570,2779,1334,2134,932,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,2577,715,939,414,879,404,60,81,1638,621,1175,571,463,331,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,9110,1918,4667,1323,2631,901,2036,807,4443,1281,2497,932,1946,861,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,18534,2798,8287,1892,6174,1603,2113,846,10247,2032,6533,1715,3714,1109,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1508,642,444,336,368,330,76,101,1064,615,627,584,437,299,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
