C19101F_011M,GEO_ID,C19101F_001E,C19101F_001M,C19101F_002E,C19101F_002M,C19101F_003E,C19101F_003M,C19101F_004E,C19101F_004M,C19101F_005E,C19101F_005M,C19101F_006E,C19101F_006M,C19101F_007E,C19101F_007M,C19101F_008E,C19101F_008M,C19101F_009E,C19101F_009M,C19101F_010E,C19101F_010M,C19101F_011E,C19101F_011MA,NAME,C19101F_001MA,C19101F_001EA,C19101F_002MA,C19101F_002EA,C19101F_003EA,C19101F_003MA,C19101F_004EA,C19101F_004MA,C19101F_005EA,C19101F_005MA,C19101F_006MA,C19101F_006EA,C19101F_007MA,C19101F_007EA,C19101F_008EA,C19101F_008MA,C19101F_009EA,C19101F_009MA,C19101F_010EA,C19101F_010MA,C19101F_011EA,state
235,0400000US39,16888,1653,2162,731,1361,588,2545,707,2150,701,2535,716,3430,979,1121,501,1106,553,242,328,236,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
148,0400000US40,19727,1823,1848,638,1223,397,3053,811,3268,836,3952,887,3402,688,1667,666,963,465,203,167,148,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
217,0400000US41,28950,2507,1805,724,2837,1040,6404,1369,4708,1440,4062,1012,4850,1231,2723,996,1046,492,302,248,213,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
341,0400000US42,47676,3057,7766,1465,4182,942,9292,1552,8179,1516,5640,1396,7272,1276,2997,821,1320,598,532,301,496,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
200,0400000US44,12703,1590,1705,849,1258,526,1628,558,1310,627,3125,953,2185,843,975,455,384,289,133,164,0,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
448,0400000US45,14621,2148,1694,879,1183,701,3442,1121,1231,606,1826,650,2174,756,1947,1087,444,456,207,254,473,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
null,0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
176,0400000US47,17889,2449,1587,686,2142,1122,3662,1034,2666,854,2850,884,2699,1029,1137,607,743,403,251,381,152,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
995,0400000US48,346681,10817,25908,2634,22915,2737,54635,4095,50830,3660,65084,3919,63172,4425,30892,2456,24940,2977,5512,1307,2793,null,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
259,0400000US49,23671,2090,1852,907,1894,735,5102,1226,4276,1291,3088,969,3794,994,1918,633,1394,593,188,172,165,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
null,0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
399,0400000US51,39921,3695,2449,948,1649,716,4769,1463,5153,1423,5869,1576,8243,1644,6288,1342,3997,946,1105,530,399,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
482,0400000US53,52002,3255,3107,1001,3968,1226,7590,1419,8051,1774,9466,1298,11193,1593,4048,1037,3325,958,504,313,750,null,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
null,0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
152,0400000US55,18860,2193,1484,556,1112,555,3150,814,3933,1138,3535,934,3465,865,1006,448,992,564,64,75,119,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
null,0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
317,0400000US72,85668,4996,21296,2423,10117,1607,19130,2145,12047,2056,8456,1448,9128,1397,2544,831,1648,631,971,601,331,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
184,0400000US01,10605,1601,952,454,1116,616,2667,1020,1484,721,1441,637,1834,730,631,325,480,310,0,184,0,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
null,0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
318,0400000US04,86601,4907,7735,1454,6399,1316,13337,1938,13267,1861,13710,1889,16718,1991,7343,1425,6870,1346,777,414,445,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
184,0400000US05,12413,1636,733,426,570,422,2563,890,2574,972,2249,906,2306,864,847,540,472,478,99,134,0,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
