GEO_ID,C19001B_001E,C19001B_001M,C19001B_002E,C19001B_002M,C19001B_003E,C19001B_003M,C19001B_004E,C19001B_004M,C19001B_005E,C19001B_005M,C19001B_006E,C19001B_006M,C19001B_007E,C19001B_007M,C19001B_008E,C19001B_008M,C19001B_009E,C19001B_009M,C19001B_010E,C19001B_010M,C19001B_011E,C19001B_011M,NAME,C19001B_001MA,C19001B_001EA,C19001B_002EA,C19001B_002MA,C19001B_003EA,C19001B_003MA,C19001B_004EA,C19001B_004MA,C19001B_005MA,C19001B_005EA,C19001B_006MA,C19001B_006EA,C19001B_007MA,C19001B_007EA,C19001B_008EA,C19001B_008MA,C19001B_009EA,C19001B_009MA,C19001B_010EA,C19001B_010MA,C19001B_011MA,C19001B_011EA,state
0400000US26,512840,5945,106935,4758,47874,3127,82660,4452,64248,3657,65714,3529,70639,4102,38003,3348,25730,2362,6495,1124,4542,982,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,98152,2764,21655,2380,8437,1644,14437,1856,12892,1952,14039,1825,12877,1426,6656,1322,4672,1318,1785,851,702,376,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,379939,5700,75357,3752,43151,3185,74561,3558,50530,3647,52256,3577,46756,3131,18982,1882,13500,1780,3068,867,1778,628,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,264086,4593,44719,3231,30110,3005,42790,3265,36765,2923,37526,3302,35091,3149,20192,2372,12461,1642,3043,825,1389,486,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,30423,1584,4904,818,2935,715,5685,938,4468,934,4733,979,3626,794,1864,640,1791,697,238,174,179,184,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,81628,3346,9981,1639,6886,1435,11788,1615,10609,1784,12179,1697,15015,2269,7599,1212,4868,893,1731,621,972,449,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,4700,864,121,128,199,227,823,489,548,381,875,480,395,272,677,406,499,310,509,421,54,97,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,422205,5383,54046,3941,27177,2352,45046,2649,48563,3816,53260,3533,71665,4137,47125,3281,47672,3277,16949,2142,10702,1606,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,15032,1430,2431,910,1549,653,2067,681,1607,587,2097,780,1942,657,783,387,1115,514,973,571,468,546,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,1059063,9524,153666,5623,78457,4852,127787,5416,107061,4078,142833,5205,176357,6568,109700,5003,105699,5714,34794,2871,22709,2044,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,781013,6579,120153,5602,75735,4327,120457,4189,108715,5567,123159,5747,118084,5655,56383,4203,42227,3042,9581,1549,6519,1345,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,3284,854,386,374,474,466,418,347,494,338,483,326,536,355,245,212,191,165,0,141,57,96,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,547832,6287,117696,4812,55808,3507,91845,4118,68118,3978,70064,4435,71635,3790,35509,3013,25062,1993,7560,1208,4535,941,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,103262,2675,17055,1518,10220,1398,17206,1610,13498,1286,14102,1816,16442,1671,8760,1426,4842,875,517,269,620,309,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,24408,2027,5782,1484,2284,795,3507,950,1699,732,3681,1034,2231,796,2175,917,2435,798,285,208,329,283,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,494004,6199,80173,3521,46948,3481,77876,4392,66973,4183,68721,3908,73338,3637,38192,2779,29068,2517,6687,1228,6028,1298,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,23472,1676,3543,874,2452,912,2880,1016,2923,770,3084,881,3649,937,1886,553,2312,695,172,169,571,357,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,465419,6028,78198,4058,49769,3448,76993,4124,65710,4037,69959,4636,67002,4058,30930,2310,19823,2699,4757,1244,2278,660,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,390511,5803,62348,3860,35349,3050,67561,4067,54100,3683,51759,3067,61629,3458,30331,2801,18914,1974,5549,1148,2971,689,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,1093934,10757,152504,6597,85188,5272,141088,6129,140683,6351,160866,6437,185050,7061,103705,5943,85539,5073,24291,2470,15020,1780,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,9399,1068,809,439,521,334,1111,569,1110,509,1308,498,1509,566,1291,516,1303,564,280,225,157,160,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,567721,7015,61470,3986,40752,2754,74294,3989,63743,3640,82007,4656,98544,4448,58015,3368,58231,3525,18493,2135,12172,1425,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,90730,3130,10960,1803,5569,1306,11170,2034,12895,2252,14103,2069,12924,1859,11070,1908,7694,1241,2737,680,1608,790,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,22252,1811,5581,1230,1958,633,4334,1087,2265,696,2649,699,2608,850,1380,467,1093,626,285,257,99,129,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,124942,3199,21692,2089,15916,1971,23008,2469,16799,2121,17902,1877,14778,1468,6887,1224,5869,1062,1148,438,943,403,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,114453,4103,34195,2340,12111,1380,22532,2253,15671,1782,13967,1595,9920,1575,3157,763,2758,873,108,125,34,57,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,469229,6060,89065,4447,51035,3464,76665,4234,60575,3873,67564,3962,65102,4407,30498,3240,22261,2127,3726,1080,2738,811,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9490,1181,1032,675,774,564,1029,599,1166,752,1064,540,2333,812,274,232,803,524,922,583,93,179,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,100066,3266,13734,1842,7928,1283,11830,1434,12983,2244,13796,2037,16087,2351,9792,1694,8906,1725,3250,1342,1760,713,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,172697,3879,34138,2819,20580,1757,31009,2755,22035,2244,23594,2025,24032,2262,9116,1355,6750,1266,970,506,473,363,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
