B05003G_023E,B05003G_023M,GEO_ID,B05003G_001E,B05003G_001M,B05003G_002E,B05003G_002M,B05003G_003E,B05003G_003M,B05003G_004E,B05003G_004M,B05003G_005E,B05003G_005M,B05003G_006E,B05003G_006M,B05003G_007E,B05003G_007M,B05003G_008E,B05003G_008M,B05003G_009E,B05003G_009M,B05003G_010E,B05003G_010M,B05003G_011E,B05003G_011M,B05003G_012E,B05003G_012M,B05003G_013E,B05003G_013M,B05003G_014E,B05003G_014M,B05003G_015E,B05003G_015M,B05003G_016E,B05003G_016M,B05003G_017E,B05003G_017M,B05003G_018E,B05003G_018M,B05003G_019E,B05003G_019M,B05003G_020E,B05003G_020M,B05003G_021E,B05003G_021M,B05003G_022E,B05003G_022M,B05003G_023EA,B05003G_023MA,NAME,B05003G_001EA,B05003G_001MA,B05003G_002EA,B05003G_002MA,B05003G_003EA,B05003G_003MA,B05003G_004MA,B05003G_004EA,B05003G_005EA,B05003G_005MA,B05003G_006EA,B05003G_006MA,B05003G_007EA,B05003G_007MA,B05003G_008EA,B05003G_008MA,B05003G_009EA,B05003G_009MA,B05003G_010EA,B05003G_010MA,B05003G_011EA,B05003G_011MA,B05003G_012EA,B05003G_012MA,B05003G_013EA,B05003G_013MA,B05003G_014EA,B05003G_014MA,B05003G_015MA,B05003G_015EA,B05003G_016EA,B05003G_016MA,B05003G_017EA,B05003G_017MA,B05003G_018EA,B05003G_018MA,B05003G_019EA,B05003G_019MA,B05003G_020MA,B05003G_020EA,B05003G_021EA,B05003G_021MA,B05003G_022EA,B05003G_022MA,state
3212,1225,0400000US13,190234,12372,95339,8034,54775,6346,53576,6242,1199,723,262,334,937,643,40564,4222,33080,3897,7484,1789,4400,1327,3084,1258,94895,6999,46462,5300,46100,5232,362,303,227,270,135,152,48433,3982,38328,3395,10105,2196,6893,1785,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
1717,1117,0400000US15,331552,13187,167217,7101,65448,3926,64754,3828,694,765,202,230,492,740,101769,5126,98138,5078,3631,1246,2594,946,1037,641,164335,7595,62071,4092,61681,4102,390,344,105,128,285,280,102264,5126,98143,5116,4121,1442,2404,856,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
1232,629,0400000US16,39460,4126,20538,2914,9327,1773,8762,1715,565,761,20,33,545,763,11211,2215,9946,2149,1265,853,455,299,810,810,18922,2399,9308,2012,9229,2001,79,132,0,195,79,132,9614,1425,7793,1147,1821,868,589,390,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
6525,1167,0400000US17,263559,12405,131018,7791,63896,4836,61736,4739,2160,855,1012,533,1148,734,67122,5224,50011,4245,17111,2808,9335,1698,7776,2125,132541,6762,65541,4644,64602,4609,939,464,406,296,533,379,67000,4537,52911,3825,14089,1951,7564,1466,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
2049,702,0400000US18,142369,7286,71389,4683,38424,3924,37939,3843,485,592,0,190,485,592,32965,2708,28943,2310,4022,1172,1561,794,2461,864,70980,4656,37966,3420,37397,3310,569,405,216,233,353,318,33014,2936,28728,2475,4286,1269,2237,994,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
964,639,0400000US19,60888,4827,30172,2944,17743,2066,17482,2100,261,356,0,155,261,356,12429,1789,10468,1672,1961,843,815,437,1146,693,30716,3015,17947,2433,17876,2427,71,102,58,96,13,35,12769,1752,11157,1582,1612,728,648,396,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
877,585,0400000US20,96539,6414,47745,3844,25594,2750,25136,2654,458,566,25,35,433,564,22151,2611,20148,2447,2003,830,1068,613,935,549,48794,3788,24492,2858,23906,2854,586,655,115,109,471,639,24302,2295,22450,2260,1852,767,975,443,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
818,657,0400000US21,80247,6532,37436,3850,21977,2593,21977,2593,0,189,0,189,0,189,15459,2240,13270,1704,2189,1171,667,511,1522,1076,42811,4219,24824,3569,24017,3495,807,675,288,245,519,663,17987,2106,16576,2032,1411,744,593,407,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
809,391,0400000US22,77661,6414,38308,4330,20816,3512,20581,3501,235,225,210,218,25,47,17492,2187,14650,1954,2842,920,990,521,1852,708,39353,3942,16300,2868,16160,2881,140,120,86,92,54,94,23053,2400,20603,2417,2450,696,1641,646,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
3584,990,0400000US24,151945,8308,77186,4820,38027,3537,37469,3542,558,323,61,101,497,306,39159,3510,27414,2632,11745,2242,5215,1199,6530,1634,74759,5213,37826,3733,37346,3752,480,494,240,264,240,306,36933,2995,27880,2485,9053,1570,5469,1290,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
12392,2411,0400000US25,168058,11199,84945,6711,36147,3468,34002,3332,2145,851,534,399,1611,728,48798,4957,27076,2847,21722,3652,6494,1894,15228,3071,83113,6261,31738,3219,30342,3133,1396,728,259,275,1137,697,51375,4322,32202,2937,19173,3009,6781,1449,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
2849,693,0400000US26,252831,9915,125427,5517,63482,4147,62746,4178,736,483,552,457,184,195,61945,3752,54308,3747,7637,1314,5057,955,2580,780,127404,6137,62943,4211,61987,4073,956,524,310,186,646,498,64461,3569,56485,3495,7976,1339,5127,1100,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
2277,986,0400000US27,134971,8828,69082,4951,40523,3892,40054,3904,469,242,170,169,299,177,28559,2730,23473,2142,5086,1479,1891,665,3195,1363,65889,5108,35107,3230,34670,3177,437,400,131,189,306,339,30782,2868,26951,2491,3831,1177,1554,630,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
595,434,0400000US28,34342,4658,16970,2753,9742,2230,9700,2218,42,85,0,206,42,85,7228,1506,6591,1516,637,457,171,176,466,351,17372,2827,10078,2273,10078,2273,0,206,0,206,0,206,7294,1408,6333,1311,961,537,366,287,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
3075,914,0400000US29,145134,7914,71505,4412,36224,3190,34882,3048,1342,774,74,92,1268,767,35281,3092,31424,2809,3857,1136,926,400,2931,1064,73629,5860,34671,3805,34034,3796,637,384,75,120,562,362,38958,3264,33682,2817,5276,1232,2201,923,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
null,null,0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
997,539,0400000US31,40375,3846,18853,2253,11235,1300,11171,1306,64,60,18,29,46,54,7618,1625,6111,1467,1507,655,541,335,966,597,21522,2490,12372,2037,12308,1998,64,102,64,102,0,155,9150,1380,7715,1316,1435,575,438,234,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
2315,855,0400000US32,105845,10551,49475,5328,23697,3856,23319,3850,378,321,83,142,295,294,25778,3119,20417,2496,5361,1980,3108,1167,2253,1106,56370,6957,26036,4488,25603,4509,433,453,100,188,333,397,30334,3748,25119,3450,5215,1408,2900,1017,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
262,266,0400000US33,22642,2360,10951,1781,5614,1402,5614,1402,0,184,0,184,0,184,5337,988,4364,803,973,660,141,167,832,636,11691,1692,5208,1056,5208,1056,0,184,0,184,0,184,6483,1051,5473,960,1010,470,748,402,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
11657,1989,0400000US34,216816,12912,103590,7639,46429,4496,44842,4496,1587,576,401,296,1186,440,57161,4984,34016,3226,23145,2776,11966,1784,11179,2277,113226,7034,47065,3810,44090,3681,2975,845,683,416,2292,784,66161,4683,41480,3962,24681,2599,13024,1599,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
707,513,0400000US35,64215,5875,33279,3273,15588,2667,15436,2678,152,256,152,256,0,198,17691,1940,16224,1934,1467,644,713,465,754,406,30936,4094,12928,3006,12464,2979,464,618,46,75,418,614,18008,2109,16042,2102,1966,991,1259,907,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
28800,4313,0400000US36,526783,16971,257775,9422,106503,5739,103335,5558,3168,1072,799,449,2369,909,151272,6262,95148,5286,56124,4433,28453,2993,27671,3624,269008,10504,108605,6198,104275,6258,4330,1333,1126,430,3204,1288,160403,6965,97199,5756,63204,4838,34404,3026,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
4018,1264,0400000US37,204855,14449,98084,7205,57060,5857,55867,5804,1193,678,288,369,905,584,41024,3590,35215,3265,5809,1650,2633,1031,3176,1199,106771,9054,54683,5484,53915,5469,768,441,192,243,576,371,52088,5550,45924,5460,6164,1424,2146,906,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
null,null,0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
3422,986,0400000US39,266099,11306,135709,6509,80306,5274,79082,5271,1224,606,681,416,543,433,55403,3758,50793,3555,4610,1059,1958,748,2652,772,130390,6520,70190,4182,69671,4181,519,283,151,108,368,273,60200,3983,54951,3752,5249,1243,1827,672,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
1368,568,0400000US40,301647,9225,147673,5428,62478,3384,62186,3404,292,224,38,64,254,220,85195,3436,81319,2993,3876,1612,1350,605,2526,1550,153974,5446,64785,3256,64327,3195,458,525,69,81,389,519,89189,3479,86851,3384,2338,686,970,386,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
2010,1181,0400000US41,134681,7065,66918,4909,26091,2775,25389,2780,702,749,0,203,702,749,40827,3524,37006,3301,3821,1308,1478,492,2343,1161,67763,3572,27079,2606,26712,2664,367,441,0,203,367,441,40684,2953,37309,2724,3375,1421,1365,692,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
4107,1014,0400000US42,247261,11270,124657,6933,70606,5110,69853,5044,753,451,199,118,554,442,54051,3886,44697,3435,9354,1674,4696,1143,4658,1214,122604,6021,66213,4031,65369,4044,844,512,109,80,735,511,56391,3689,48246,3090,8145,1535,4038,1016,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
651,348,0400000US44,28756,4167,14986,2380,6335,1413,6250,1419,85,103,44,74,41,72,8651,1762,6346,1523,2305,831,912,453,1393,713,13770,2277,6076,1277,5989,1267,87,117,0,207,87,117,7694,1453,6174,1291,1520,556,869,419,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
1552,917,0400000US45,84391,7046,39539,3777,23859,3079,23527,3051,332,398,0,217,332,398,15680,2454,13894,2156,1786,985,284,250,1502,949,44852,4689,22959,3358,22493,3338,466,457,109,206,357,433,21893,3013,19493,2734,2400,1085,848,521,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
null,null,0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
1318,618,0400000US47,121474,7801,60376,5269,31351,4061,30611,4042,740,602,539,558,201,214,29025,2854,25098,2692,3927,1139,2289,890,1638,705,61098,4851,30676,3097,29812,3075,864,612,601,500,263,332,30422,3579,27598,3313,2824,1075,1506,797,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
17441,2771,0400000US48,596902,18892,295864,11851,137695,8218,134458,8035,3237,1039,947,487,2290,910,158169,8203,120119,7720,38050,4258,14212,2304,23838,4007,301038,10835,139290,7610,135764,7652,3526,1161,765,596,2761,1169,161748,6396,129454,5579,32294,3326,14853,2282,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
2262,898,0400000US49,69358,6379,34852,3856,19438,2641,19125,2635,313,296,101,171,212,233,15414,2627,13827,2590,1587,598,605,327,982,434,34506,3815,18210,2337,17804,2329,406,442,54,96,352,426,16296,2409,13064,2124,3232,1010,970,502,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
null,null,0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
7873,2045,0400000US51,240746,14173,123950,8697,62411,5698,61282,5705,1129,685,544,422,585,405,61539,5236,44076,4225,17463,3145,9135,2460,8328,2637,116796,7833,51804,4525,50830,4405,974,487,261,202,713,445,64992,5046,47415,4532,17577,3473,9704,2678,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
4921,1536,0400000US53,320819,12964,161330,7345,78249,4731,77828,4708,421,288,64,83,357,277,83081,5227,73528,4926,9553,2164,4943,1468,4610,1444,159489,8117,76283,5816,75568,5756,715,519,250,194,465,473,83206,4953,72756,4828,10450,2167,5529,1467,null,null,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
158,168,0400000US54,38367,2797,19174,2229,9289,1361,9289,1361,0,184,0,184,0,184,9885,1650,8998,1532,887,467,281,222,606,408,19193,1895,8444,1238,8444,1238,0,184,0,184,0,184,10749,1394,10024,1277,725,614,567,587,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
663,348,0400000US55,116797,6125,59488,4255,31465,2856,31244,2852,221,166,128,113,93,114,28023,2686,25685,2577,2338,606,1030,426,1308,556,57309,3712,28936,2582,28850,2585,86,72,17,23,69,72,28373,2492,27003,2447,1370,429,707,399,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
null,null,0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
6275,1414,0400000US72,497663,15956,241089,8560,71124,4908,70859,4947,265,320,163,269,102,166,169965,6715,164630,6506,5335,1286,1490,663,3845,1037,256574,10006,66772,4623,66632,4645,140,234,0,210,140,234,189802,7786,182033,7800,7769,1625,1494,535,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
