GEO_ID,C19101B_001E,C19101B_001M,C19101B_002E,C19101B_002M,C19101B_003E,C19101B_003M,C19101B_004E,C19101B_004M,C19101B_005E,C19101B_005M,C19101B_006E,C19101B_006M,C19101B_007E,C19101B_007M,C19101B_008E,C19101B_008M,C19101B_009E,C19101B_009M,C19101B_010E,C19101B_010M,C19101B_011E,C19101B_011M,NAME,C19101B_001EA,C19101B_001MA,C19101B_002EA,C19101B_002MA,C19101B_003EA,C19101B_003MA,C19101B_004MA,C19101B_004EA,C19101B_005MA,C19101B_005EA,C19101B_006MA,C19101B_006EA,C19101B_007MA,C19101B_007EA,C19101B_008EA,C19101B_008MA,C19101B_009EA,C19101B_009MA,C19101B_010MA,C19101B_010EA,C19101B_011MA,C19101B_011EA,state
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,398151,5668,56411,3728,26804,2334,55943,3891,42727,2656,54696,3521,69412,4255,36591,2955,36947,3189,12016,1857,6604,1536,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,133321,4177,21987,2007,9841,1708,20174,2607,15433,1737,18802,2248,21091,2221,12897,1896,9596,1637,1933,720,1567,550,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,16097,1490,3006,979,1309,629,2046,561,2531,791,2194,727,2494,752,1132,433,1097,465,245,248,43,71,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,37038,2423,4239,994,2568,860,4420,1140,6338,1317,4553,1064,6401,1123,3770,963,3500,1164,820,443,429,328,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,79165,3491,12663,1682,6167,1414,10903,1857,11369,1882,12055,1999,11167,1768,6462,924,5847,1281,1456,586,1076,600,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,325808,5832,48903,3471,28634,2738,56234,3384,44948,3053,45127,3217,45624,3045,28234,2725,20095,2586,4937,1428,3072,958,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,395664,7023,23358,2782,13636,1912,28658,2835,34007,3576,50935,3746,73347,4724,58804,3587,66613,4612,26519,2837,19787,2353,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,100330,3599,9443,1605,5686,1494,11111,1546,12272,1783,15293,2002,17592,2132,12167,1620,11210,1722,4106,1094,1450,628,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,300823,5870,48146,4174,26508,2415,47038,3084,35888,3057,44307,2826,43272,2929,23842,2222,21593,2102,5655,1152,4574,1011,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,56279,2818,8328,1306,3845,996,10195,1733,7068,1318,7484,1250,8076,1355,5364,1116,3801,858,1434,535,684,297,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,253015,5982,36407,2966,22848,2697,48538,4123,34932,3107,40902,3401,37190,3157,18810,2369,9413,1535,2709,998,1266,527,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,154195,3851,21592,2044,9477,1445,22848,2218,19132,2296,23878,2696,26272,2577,16789,1985,9558,1676,2989,818,1660,655,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,17932,1492,2246,743,1578,711,3175,788,3048,839,1880,498,2491,665,1346,518,1503,553,350,328,315,227,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,48966,3399,5510,1426,3265,969,6264,1704,4100,1152,9669,2229,7617,2002,5801,1535,4083,1142,1198,540,1459,1187,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,3521,724,507,380,0,184,98,132,946,579,208,209,453,544,594,379,444,342,166,138,105,136,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,264824,5861,21595,2608,13414,2246,26225,2724,28826,2498,34762,2920,47101,3430,31660,2409,35463,3060,16178,1871,9600,1616,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,8617,1499,1213,597,673,416,647,406,662,368,1864,740,1594,646,1043,570,734,515,129,171,58,110,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,666964,8003,73744,4961,35610,3082,80552,4700,68008,4242,90506,4927,114478,5376,78643,4644,80118,3971,28526,2930,16779,2068,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,490911,9114,52867,4072,36032,3290,74755,5493,71562,4930,77280,5246,89743,5707,45584,4159,31004,3576,7416,1731,4668,1098,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,312263,6356,50477,3162,25250,2681,45634,3762,42321,3881,47921,3738,49058,3091,24248,2609,19360,2090,4938,1080,3056,1152,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,61069,2316,8733,1290,5549,1144,7435,1314,8269,1285,9188,1510,10080,1412,6154,1216,3640,909,1758,717,263,209,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,13066,1465,2205,798,879,401,1864,772,998,394,1941,731,2565,844,695,401,1298,627,491,465,130,168,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,286383,6729,34714,2984,21533,2386,39556,2946,36208,2991,43470,3683,52284,3756,26332,2275,22534,2662,6021,1043,3731,1005,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,14604,1451,2474,888,582,455,2182,915,2216,777,2198,595,1983,747,1643,576,890,477,346,253,90,139,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,308135,5936,39976,3606,23310,2691,51638,3655,45577,4148,47507,3763,51470,3714,23750,2824,17404,2243,5724,1695,1779,763,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,241522,5743,31607,2852,19156,2356,35011,3060,31813,3397,39136,3622,38012,3122,21261,3136,18390,2262,4579,1530,2557,1145,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,684107,10214,70429,4928,37610,3971,93082,6199,85390,5817,100995,6163,120545,6718,75150,5029,72137,5309,16945,2656,11824,2140,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,5554,1098,332,357,330,295,630,530,795,611,577,399,1133,572,682,433,872,621,0,192,203,316,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,362904,7160,31511,2778,16781,2408,37133,3322,39544,3578,54671,4411,69481,3919,43244,3416,45461,4068,14785,2045,10293,1793,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,51265,2929,5365,1395,2327,800,5904,1436,5097,1159,8017,1695,10198,1829,6708,1386,5400,1376,1404,750,845,462,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,11946,1371,1314,485,1594,769,1658,659,1381,558,1511,559,2382,795,828,372,1057,723,221,229,0,184,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,73213,2828,12642,1783,7755,1281,14034,1948,10455,1852,9134,1394,8868,1331,4258,903,4467,1142,961,649,639,443,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,74519,3539,18541,1972,9333,1481,13751,2017,10326,1375,9685,1423,8795,1688,2232,492,1370,660,357,292,129,124,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
