C19037D_037M,C19037D_038E,C19037D_038M,C19037D_039E,C19037D_039M,C19037D_040E,C19037D_040M,C19037D_041E,C19037D_041M,C19037D_042E,C19037D_042M,C19037D_043E,C19037D_043M,C19037D_044E,C19037D_044M,C19037D_045E,C19037D_045M,GEO_ID,C19037D_001E,C19037D_001M,C19037D_002E,C19037D_002M,C19037D_003E,C19037D_003M,C19037D_004E,C19037D_004M,C19037D_005E,C19037D_005M,C19037D_006E,C19037D_006M,C19037D_007E,C19037D_007M,C19037D_008E,C19037D_008M,C19037D_009E,C19037D_009M,C19037D_010E,C19037D_010M,C19037D_011E,C19037D_011M,C19037D_012E,C19037D_012M,C19037D_013E,C19037D_013M,C19037D_014E,C19037D_014M,C19037D_015E,C19037D_015M,C19037D_016E,C19037D_016M,C19037D_017E,C19037D_017M,C19037D_018E,C19037D_018M,C19037D_019E,C19037D_019M,C19037D_020E,C19037D_020M,C19037D_021E,C19037D_021M,C19037D_022E,C19037D_022M,C19037D_023E,C19037D_023M,C19037D_024E,C19037D_024M,C19037D_025E,C19037D_025M,C19037D_026E,C19037D_026M,C19037D_027E,C19037D_027M,C19037D_028E,C19037D_028M,C19037D_029E,C19037D_029M,C19037D_030E,C19037D_030M,C19037D_031E,C19037D_031M,C19037D_032E,C19037D_032M,C19037D_033E,C19037D_033M,C19037D_034E,C19037D_034M,C19037D_035E,C19037D_035M,C19037D_036E,C19037D_036M,C19037D_037E,C19037D_037MA,C19037D_038EA,C19037D_038MA,C19037D_039MA,C19037D_039EA,C19037D_040EA,C19037D_040MA,C19037D_041MA,C19037D_041EA,C19037D_042EA,C19037D_042MA,C19037D_043EA,C19037D_043MA,C19037D_044EA,C19037D_044MA,C19037D_045MA,C19037D_045EA,NAME,C19037D_001MA,C19037D_001EA,C19037D_002MA,C19037D_002EA,C19037D_003MA,C19037D_003EA,C19037D_004EA,C19037D_004MA,C19037D_005EA,C19037D_005MA,C19037D_006MA,C19037D_006EA,C19037D_007EA,C19037D_007MA,C19037D_008MA,C19037D_008EA,C19037D_009EA,C19037D_009MA,C19037D_010MA,C19037D_010EA,C19037D_011MA,C19037D_011EA,C19037D_012MA,C19037D_012EA,C19037D_013MA,C19037D_013EA,C19037D_014MA,C19037D_014EA,C19037D_015MA,C19037D_015EA,C19037D_016EA,C19037D_016MA,C19037D_017MA,C19037D_017EA,C19037D_018EA,C19037D_018MA,C19037D_019MA,C19037D_019EA,C19037D_020MA,C19037D_020EA,C19037D_021MA,C19037D_021EA,C19037D_022EA,C19037D_022MA,C19037D_023MA,C19037D_023EA,C19037D_024EA,C19037D_024MA,C19037D_025MA,C19037D_025EA,C19037D_026MA,C19037D_026EA,C19037D_027EA,C19037D_027MA,C19037D_028MA,C19037D_028EA,C19037D_029EA,C19037D_029MA,C19037D_030MA,C19037D_030EA,C19037D_031EA,C19037D_031MA,C19037D_032EA,C19037D_032MA,C19037D_033EA,C19037D_033MA,C19037D_034MA,C19037D_034EA,C19037D_035EA,C19037D_035MA,C19037D_036MA,C19037D_036EA,C19037D_037EA,state
247,857,509,621,412,770,403,694,406,517,418,602,452,189,254,81,117,0400000US13,94909,3795,5263,1461,1948,878,285,295,189,152,1101,737,562,439,1036,734,32,60,37,66,0,225,73,121,50323,2909,3181,1095,1057,622,4721,1427,4634,1097,7337,1967,10948,1945,5256,1285,6787,2002,3450,1088,2952,1065,33682,2433,1629,865,1351,765,1956,741,3537,1104,4855,1279,7519,1534,3686,1239,4939,1474,1504,603,2706,1030,5641,1163,998,430,312,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
1018,6682,1170,5961,1221,7696,1069,10955,1107,6950,942,8137,1152,3520,739,1892,452,0400000US15,179250,4246,2296,864,415,263,0,187,609,450,21,35,197,281,495,299,345,327,172,159,42,70,0,187,41188,2771,1923,799,304,195,1611,596,2254,819,6197,1376,8321,1319,7258,1411,9428,1579,1851,618,2041,707,75269,2662,2560,862,1606,626,3567,1019,4631,998,8260,1307,13990,1935,11916,1535,17630,2004,6503,1246,4606,769,60497,2309,3807,1048,4897,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
802,3396,1290,1785,703,2743,731,2653,749,1924,589,2519,649,1212,376,1702,463,0400000US17,185807,4715,8963,1637,3756,1047,686,555,1088,711,909,495,1019,616,775,385,569,367,140,197,21,35,0,189,91800,3562,6695,1839,1598,611,4007,988,5719,1428,9008,1716,16685,2093,16070,2219,16574,2389,8340,1707,7104,1146,62771,2662,3226,1016,1810,656,4365,952,4092,1045,7328,1497,9751,1674,9149,1587,11598,1663,4757,836,6695,1160,22273,1622,2094,710,2245,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
252,386,306,113,116,152,140,455,366,98,119,81,144,121,137,141,163,0400000US18,30712,2286,3704,971,2834,871,142,152,176,215,146,194,69,116,134,121,0,190,203,156,0,190,0,190,16768,1932,1219,484,761,428,1845,622,1043,544,2111,717,3732,980,2429,911,1953,877,754,416,921,422,7999,1482,549,351,97,117,490,292,587,398,1747,993,1590,788,760,415,538,318,445,265,1196,550,2241,637,310,209,384,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
28,246,173,7,16,211,195,74,85,172,227,85,86,0,155,13,23,0400000US19,16695,1343,2281,725,729,303,502,472,332,318,36,63,471,367,211,249,0,155,0,155,0,155,0,155,8511,1262,643,396,92,109,943,463,753,374,1065,557,2294,784,1506,564,494,299,519,411,202,210,4783,904,417,348,124,121,183,144,432,386,311,184,1395,639,830,345,426,249,175,168,490,323,1120,388,298,233,14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
47,249,199,295,271,223,245,175,172,253,277,148,166,133,136,87,65,0400000US20,18995,1337,1212,526,484,323,0,168,105,133,392,347,67,87,0,168,0,168,164,191,0,168,0,168,10107,1185,743,358,234,248,907,478,549,293,1662,658,1890,690,872,390,1919,659,564,342,767,397,5885,827,281,257,226,151,556,374,765,417,371,288,1315,540,735,341,854,470,448,249,334,328,1791,586,206,243,22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
288,387,264,265,210,85,100,344,306,633,398,101,94,46,79,88,100,0400000US22,21221,1842,1243,559,133,104,0,198,139,146,140,175,335,385,389,342,107,179,0,198,0,198,0,198,9962,1760,569,388,333,306,1171,701,896,474,1417,542,2638,956,829,675,1046,493,539,368,524,360,6873,1301,720,434,73,132,818,605,416,260,807,421,1126,507,629,337,1179,580,186,172,919,472,3143,673,878,416,316,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
498,1299,493,610,310,1630,715,1522,454,1232,462,1564,464,1562,540,1243,433,0400000US24,101926,2858,3685,1070,1606,721,20,33,594,447,272,246,139,146,376,311,260,183,353,288,65,82,0,204,45034,2626,1893,723,210,179,2382,926,1734,641,4318,1086,9722,1766,5109,1126,10395,1445,4444,909,4827,1004,40243,2343,1121,602,627,333,1355,540,2029,724,3214,1070,6573,1323,4701,1020,7661,1095,7590,1480,5372,915,12964,1212,1463,590,839,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
678,1469,490,620,368,502,282,697,376,271,219,900,480,375,345,451,262,0400000US25,114905,2844,6004,1228,2725,815,217,210,722,395,512,329,443,358,768,449,319,266,279,220,19,37,0,204,60384,2354,3158,813,939,562,3821,1049,3538,1028,6463,1368,8476,1422,8702,1245,12534,1816,6833,1363,5920,1203,36541,2064,2488,932,1372,531,2547,704,2138,658,3920,1077,5802,1138,5128,955,6217,1024,2968,750,3961,928,11976,1123,4050,985,2641,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
324,812,458,402,193,911,354,1197,397,452,270,813,323,434,240,1033,401,0400000US26,74645,2629,5392,1304,2893,782,166,124,381,265,234,242,723,546,594,392,293,271,59,76,49,79,0,167,36616,2028,1961,776,1622,694,1980,546,2628,739,4037,1120,7336,1191,6077,1249,6024,1204,3328,833,1623,575,25574,1499,960,362,569,291,2277,683,1271,455,2350,683,3775,887,3269,955,4979,989,2589,716,3535,858,7063,1005,552,288,457,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
218,407,264,261,188,667,367,964,489,335,248,247,184,82,138,98,122,0400000US27,58829,2525,4855,1111,1519,622,583,498,528,261,278,286,902,487,850,449,87,107,108,177,0,143,0,143,33171,1778,2262,734,651,352,2418,959,2297,678,4956,1269,7206,1229,4013,848,5077,1240,2855,782,1436,495,16358,1255,1504,675,374,242,1149,509,1148,479,2296,659,2286,575,2266,719,2816,689,712,309,1807,578,4445,867,982,468,402,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
340,306,198,124,131,668,410,699,398,250,243,314,224,52,89,186,153,0400000US29,31217,1941,2666,736,1740,570,53,75,127,148,387,309,32,55,253,290,18,34,0,184,56,96,0,184,17285,1631,1206,585,597,376,1682,717,1384,743,2605,1073,2840,945,2393,889,3399,902,683,410,496,372,8079,1052,821,481,367,308,480,316,758,416,701,348,1195,472,892,472,878,434,681,339,1306,537,3187,698,256,230,332,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
