B20005G_007M,B20005G_008E,B20005G_008M,B20005G_009E,B20005G_009M,B20005G_010E,B20005G_010M,B20005G_011E,B20005G_011M,B20005G_012E,B20005G_012M,B20005G_013E,B20005G_013M,B20005G_014E,B20005G_014M,B20005G_015E,B20005G_015M,B20005G_016E,B20005G_016M,B20005G_017E,B20005G_017M,B20005G_018E,B20005G_018M,B20005G_019E,B20005G_019M,B20005G_020E,B20005G_020M,B20005G_021E,B20005G_021M,B20005G_022E,B20005G_022M,B20005G_023E,B20005G_023M,B20005G_024E,B20005G_024M,B20005G_025E,B20005G_025M,B20005G_026E,B20005G_026M,B20005G_027E,B20005G_027M,B20005G_028E,B20005G_028M,B20005G_029E,B20005G_029M,B20005G_030E,B20005G_030M,B20005G_031E,B20005G_031M,B20005G_032E,B20005G_032M,B20005G_033E,B20005G_033M,B20005G_034E,B20005G_034M,B20005G_035E,B20005G_035M,B20005G_036E,B20005G_036M,B20005G_037E,B20005G_037M,B20005G_038E,B20005G_038M,B20005G_039E,B20005G_039M,B20005G_040E,B20005G_040M,B20005G_041E,B20005G_041M,B20005G_042E,B20005G_042M,B20005G_043E,B20005G_043M,B20005G_044E,B20005G_044M,B20005G_045E,B20005G_045M,B20005G_046E,B20005G_046M,B20005G_047E,B20005G_047M,B20005G_048E,B20005G_048M,B20005G_049E,B20005G_049M,B20005G_050E,B20005G_050M,B20005G_051E,B20005G_051M,B20005G_052E,B20005G_052M,B20005G_053E,B20005G_053M,B20005G_054E,B20005G_054M,B20005G_055E,B20005G_055M,B20005G_056E,B20005G_056M,B20005G_057E,B20005G_057M,B20005G_058E,B20005G_058M,B20005G_059E,B20005G_059M,B20005G_060E,B20005G_060M,B20005G_061E,B20005G_061M,B20005G_062E,B20005G_062M,B20005G_063E,B20005G_063M,B20005G_064E,B20005G_064M,B20005G_065E,B20005G_065M,B20005G_066E,B20005G_066M,B20005G_067E,B20005G_067M,B20005G_068E,B20005G_068M,B20005G_069E,B20005G_069M,B20005G_070E,B20005G_070M,B20005G_071E,B20005G_071M,B20005G_072E,B20005G_072M,B20005G_073E,B20005G_073M,B20005G_074E,B20005G_074M,B20005G_075E,B20005G_075M,B20005G_076E,B20005G_076M,B20005G_077E,B20005G_077M,B20005G_078E,B20005G_078M,B20005G_079E,B20005G_079M,B20005G_080E,B20005G_080M,B20005G_081E,B20005G_081M,B20005G_082E,B20005G_082M,B20005G_083E,B20005G_083M,B20005G_084E,B20005G_084M,B20005G_085E,B20005G_085M,B20005G_086E,B20005G_086M,B20005G_087E,B20005G_087M,B20005G_088E,B20005G_088M,B20005G_089E,B20005G_089M,B20005G_090E,B20005G_090M,B20005G_091E,B20005G_091M,B20005G_092E,B20005G_092M,B20005G_093E,B20005G_093M,B20005G_094E,B20005G_094M,B20005G_095E,B20005G_095M,GEO_ID,B20005G_001E,B20005G_001M,B20005G_002E,B20005G_002M,B20005G_003E,B20005G_003M,B20005G_004E,B20005G_004M,B20005G_005E,B20005G_005M,B20005G_006E,B20005G_006M,B20005G_007E,B20005G_007MA,B20005G_008EA,B20005G_008MA,B20005G_009MA,B20005G_009EA,B20005G_010MA,B20005G_010EA,B20005G_011MA,B20005G_011EA,B20005G_012EA,B20005G_012MA,B20005G_013EA,B20005G_013MA,B20005G_014EA,B20005G_014MA,B20005G_015EA,B20005G_015MA,B20005G_016EA,B20005G_016MA,B20005G_017MA,B20005G_017EA,B20005G_018MA,B20005G_018EA,B20005G_019MA,B20005G_019EA,B20005G_020MA,B20005G_020EA,B20005G_021MA,B20005G_021EA,B20005G_022MA,B20005G_022EA,B20005G_023MA,B20005G_023EA,B20005G_024MA,B20005G_024EA,B20005G_025EA,B20005G_025MA,B20005G_026EA,B20005G_026MA,B20005G_027MA,B20005G_027EA,B20005G_028MA,B20005G_028EA,B20005G_029MA,B20005G_029EA,B20005G_030EA,B20005G_030MA,B20005G_031MA,B20005G_031EA,B20005G_032MA,B20005G_032EA,B20005G_033MA,B20005G_033EA,B20005G_034MA,B20005G_034EA,B20005G_035EA,B20005G_035MA,B20005G_036EA,B20005G_036MA,B20005G_037MA,B20005G_037EA,B20005G_038MA,B20005G_038EA,B20005G_039MA,B20005G_039EA,B20005G_040MA,B20005G_040EA,B20005G_041EA,B20005G_041MA,B20005G_042EA,B20005G_042MA,B20005G_043EA,B20005G_043MA,B20005G_044EA,B20005G_044MA,B20005G_045MA,B20005G_045EA,B20005G_046MA,B20005G_046EA,B20005G_047EA,B20005G_047MA,B20005G_048EA,B20005G_048MA,B20005G_049EA,B20005G_049MA,B20005G_050MA,B20005G_050EA,B20005G_051MA,B20005G_051EA,B20005G_052EA,B20005G_052MA,B20005G_053EA,B20005G_053MA,B20005G_054EA,B20005G_054MA,B20005G_055MA,B20005G_055EA,B20005G_056MA,B20005G_056EA,B20005G_057EA,B20005G_057MA,B20005G_058EA,B20005G_058MA,B20005G_059EA,B20005G_059MA,B20005G_060MA,B20005G_060EA,B20005G_061MA,B20005G_061EA,B20005G_062EA,B20005G_062MA,B20005G_063EA,B20005G_063MA,B20005G_064EA,B20005G_064MA,B20005G_065EA,B20005G_065MA,B20005G_066EA,B20005G_066MA,B20005G_067MA,B20005G_067EA,B20005G_068MA,B20005G_068EA,B20005G_069MA,B20005G_069EA,B20005G_070EA,B20005G_070MA,B20005G_071EA,B20005G_071MA,B20005G_072MA,B20005G_072EA,B20005G_073MA,B20005G_073EA,B20005G_074EA,B20005G_074MA,B20005G_075EA,B20005G_075MA,B20005G_076EA,B20005G_076MA,B20005G_077MA,B20005G_077EA,B20005G_078MA,B20005G_078EA,B20005G_079MA,B20005G_079EA,B20005G_080EA,B20005G_080MA,B20005G_081EA,B20005G_081MA,B20005G_082MA,B20005G_082EA,B20005G_083MA,B20005G_083EA,B20005G_084MA,B20005G_084EA,B20005G_085EA,B20005G_085MA,B20005G_086EA,B20005G_086MA,B20005G_087MA,B20005G_087EA,B20005G_088MA,B20005G_088EA,B20005G_089MA,B20005G_089EA,B20005G_090MA,B20005G_090EA,B20005G_091MA,B20005G_091EA,B20005G_092EA,B20005G_092MA,B20005G_093EA,B20005G_093MA,B20005G_094EA,B20005G_094MA,B20005G_095MA,B20005G_095EA,NAME,B20005G_001MA,B20005G_001EA,B20005G_002EA,B20005G_002MA,B20005G_003EA,B20005G_003MA,B20005G_004EA,B20005G_004MA,B20005G_005MA,B20005G_005EA,B20005G_006MA,B20005G_006EA,B20005G_007EA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,23
210,679,643,231,174,156,152,417,328,965,632,1654,1051,2307,1094,1992,769,3805,1068,3122,1260,3250,979,3217,968,1693,950,1730,787,2649,886,2628,1054,2934,795,3196,1090,46664,3971,23748,2713,22916,2945,6803,1814,2878,1111,2316,856,1844,679,1529,667,1046,599,715,413,512,508,1279,621,185,187,1118,657,750,420,593,536,621,421,69,91,62,106,291,221,98,132,0,210,207,175,83752,5907,28637,3266,0,210,28637,3266,0,210,23,45,781,546,606,591,1127,679,550,322,857,529,1097,507,2107,728,1408,717,2525,755,2913,923,2467,1038,2446,701,1637,1013,1520,844,1306,540,1667,711,2051,1157,1549,531,55115,4937,27147,3579,27968,3069,5793,1406,4626,1253,3463,1277,2813,858,2201,819,1267,704,1586,852,933,696,748,329,407,338,1044,504,807,396,500,299,249,223,334,286,243,255,208,254,97,118,363,354,286,264,0400000US37,167362,9922,83610,5940,36946,3534,0,210,36946,3534,321,344,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,37
134,202,266,368,321,437,554,632,452,1582,767,987,572,2212,829,479,404,2841,1158,2572,974,2337,1256,4391,1547,1360,725,1612,785,2532,779,2850,977,3595,979,6327,1630,42581,4094,22685,2626,19896,2772,3450,1240,4727,1657,2562,1038,1011,534,1445,880,520,297,521,362,525,356,1182,624,327,302,572,400,736,470,258,271,408,315,639,517,85,108,277,331,0,226,242,319,409,365,82389,6525,30868,3630,0,226,30868,3630,92,158,0,226,126,180,392,248,1187,689,882,636,1695,959,466,391,2502,1129,800,538,2032,676,2317,884,3698,1460,1480,681,1023,417,1415,678,3101,1134,2820,1083,2754,1184,2086,711,51521,5093,25754,3498,25767,3123,4863,1318,2938,977,3600,1154,3087,997,2520,914,1170,679,1442,626,496,414,1649,832,767,662,923,655,397,282,427,445,50,81,364,360,103,135,609,443,218,275,0,226,144,161,0400000US13,162395,9658,80006,6126,37425,4224,0,226,37425,4224,0,226,109,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,13
157,131,219,65,101,228,216,0,157,27,42,0,157,151,128,234,247,250,211,724,867,826,497,387,280,491,343,851,516,684,358,1056,652,1217,498,1135,663,10463,1886,3980,1073,6483,1466,1230,629,1023,582,318,212,549,372,601,488,138,140,116,129,162,169,418,315,0,157,344,274,238,206,121,138,149,138,20,36,112,104,383,278,195,203,114,95,252,261,16927,2072,6944,1540,0,157,6944,1540,0,157,0,157,43,52,9,16,259,282,52,88,96,96,291,407,365,273,0,157,108,116,344,234,1030,536,302,318,689,433,1090,615,448,307,299,213,1070,502,449,256,9983,1707,4466,1109,5517,1087,676,360,681,336,924,462,206,208,569,319,43,47,355,281,45,54,289,295,318,285,564,449,429,353,82,102,8,14,83,111,53,84,13,21,114,138,65,116,0,157,0400000US02,35956,3522,19029,2157,8566,1582,0,157,8566,1582,109,186,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,02
201,0,201,9,16,766,495,119,194,165,252,132,108,540,297,195,197,1251,914,1362,718,758,454,901,509,245,286,194,219,763,461,336,286,802,456,1585,777,18504,2453,11400,1864,7104,1652,1898,744,1477,827,505,356,534,334,247,200,223,261,626,489,224,184,291,232,101,222,354,275,92,116,121,141,0,201,127,134,153,234,0,201,0,201,0,201,131,181,33405,3668,8444,1798,0,201,8444,1798,0,201,0,201,168,199,53,70,305,281,129,145,768,471,746,715,632,425,87,91,894,594,1051,603,293,202,345,490,383,349,411,326,471,323,345,417,559,446,804,714,24961,2892,16399,2635,8562,1620,2012,679,1326,671,996,571,719,358,1093,722,388,329,733,715,85,141,518,505,0,201,139,182,365,261,0,201,0,201,0,201,53,85,75,91,0,201,0,201,60,107,0400000US01,62100,5256,28695,3077,10191,1674,0,201,10191,1674,68,114,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,50
211,0,211,127,147,156,184,77,91,401,279,531,416,677,360,434,400,2367,1430,3498,1010,1312,454,1234,559,1202,657,1580,556,1495,465,512,278,1767,736,2023,609,22647,2962,11012,1881,11635,1830,1518,830,1251,601,1507,645,597,387,735,352,636,445,1210,689,424,295,372,226,224,192,774,359,551,369,42,74,357,328,179,171,409,458,118,141,261,254,136,148,334,269,47466,3715,18136,2450,0,211,18136,2450,0,211,0,211,206,222,0,211,627,417,76,125,343,262,1140,782,1318,666,375,240,1673,687,2258,922,2149,842,1447,796,1124,508,996,433,804,360,860,405,1872,763,868,437,29330,2956,15162,2094,14168,2041,1665,538,1806,613,968,431,819,414,1842,841,387,410,968,486,322,261,1597,801,144,180,845,439,1335,738,359,309,343,274,116,150,206,197,225,164,0,211,160,176,61,104,0400000US32,89619,6013,42153,3718,19506,2461,0,211,19506,2461,113,187,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,54
105,411,223,537,349,802,368,622,418,1352,579,888,417,1945,653,1540,511,2839,687,4469,908,2887,657,2955,643,2330,682,2571,587,3153,883,3282,671,4507,884,4151,700,51362,3149,29575,2238,21787,2047,5400,1003,2796,636,2625,604,1543,489,2277,671,1066,498,1293,580,332,172,790,384,387,268,632,275,687,555,348,217,369,245,115,98,216,138,151,129,205,154,302,188,253,196,96626,4013,33917,2702,9,15,33908,2699,164,176,61,76,285,150,256,226,753,341,798,401,1521,478,1032,308,2370,686,1894,544,3881,869,3873,870,4017,940,2770,784,2839,935,1775,496,2164,782,1110,389,946,410,1399,476,62709,3095,35658,2288,27051,2341,6962,1199,4303,853,3418,953,1887,544,1885,618,1535,545,1471,525,859,377,1240,426,488,288,929,438,644,259,406,209,511,319,231,222,104,127,78,93,28,47,54,86,18,23,0400000US40,189611,6160,92985,4020,41623,2255,0,161,41623,2255,286,175,96,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,40
96,0,151,0,151,207,237,203,207,440,393,157,226,693,394,700,494,1158,480,2144,843,1007,423,745,332,676,298,1270,641,1316,505,1166,426,2144,831,2178,714,24830,2598,11410,1734,13420,1857,2932,696,1795,609,1040,471,1257,579,1029,494,447,342,532,322,920,577,774,562,131,145,198,156,89,148,378,279,352,265,230,230,190,196,251,254,127,130,53,87,695,497,39700,3474,13352,2022,0,151,13352,2022,106,162,0,151,108,122,170,212,325,261,169,213,688,501,290,274,926,481,391,263,1663,747,1567,581,658,334,1255,497,828,483,944,537,1147,508,972,576,466,231,679,317,26348,2559,11884,1904,14464,1823,3684,1026,2082,848,987,416,871,428,1043,557,1137,556,869,535,913,486,772,322,368,342,433,266,285,182,241,292,43,55,181,222,15,32,202,182,180,259,125,140,33,40,0400000US55,80894,5537,41194,3163,16364,1793,0,151,16364,1793,77,99,83,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,55
262,62,95,183,236,1280,628,1262,667,2221,887,1685,799,1269,499,1441,693,897,435,1995,840,1294,663,696,432,793,531,309,264,504,429,71,116,541,362,473,372,41893,3314,30040,3015,11853,1985,1389,490,2006,639,3073,1191,1504,668,973,651,462,308,579,515,294,296,257,262,186,234,387,492,75,102,203,210,163,213,29,50,63,104,48,80,44,75,118,191,0,228,65826,5178,14194,1949,0,228,14194,1949,0,228,0,228,480,433,104,170,1121,725,1040,512,1210,516,964,640,829,465,1357,762,1273,602,2684,903,734,491,298,260,621,382,356,281,167,147,196,308,574,430,186,196,51632,4625,40522,3808,11110,2128,1780,784,1345,594,1522,709,2022,865,1274,650,781,737,318,276,356,322,199,190,553,741,226,221,349,439,0,228,0,228,0,228,266,371,0,228,0,228,35,64,84,139,0400000US72,125063,7766,59237,3698,17344,2221,0,228,17344,2221,97,159,271,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,72
136,149,192,342,329,1116,600,1255,871,1247,529,701,595,2081,834,1248,592,2573,867,3185,1023,3256,1255,3577,1276,1625,685,3103,995,3010,680,2572,845,7338,1428,9940,1552,43989,4143,18293,2274,25696,3266,4563,1254,3029,894,3002,946,1300,635,1894,801,296,256,1164,667,2242,933,1496,783,831,635,1676,704,589,319,668,526,597,382,335,448,397,332,338,267,46,76,215,185,1018,501,106785,6108,43161,4462,0,206,43161,4462,137,208,166,245,121,150,802,805,773,414,1066,641,1291,611,682,481,3532,1644,1526,813,4036,1130,4207,975,2807,929,2331,804,1693,652,2298,789,3595,946,3166,1105,3779,897,5153,1122,63624,4538,30059,3311,33565,3365,7535,1450,4491,1088,3626,1217,1989,695,3617,1229,1583,1061,2035,758,1103,676,1006,562,307,297,1137,533,585,326,921,623,748,447,752,511,422,371,251,233,465,548,610,570,382,287,0400000US51,199264,9833,92479,6023,48490,4066,0,206,48490,4066,53,87,119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,51
