GEO_ID,B28009E_001E,B28009E_001M,B28009E_002E,B28009E_002M,B28009E_003E,B28009E_003M,B28009E_004E,B28009E_004M,B28009E_005E,B28009E_005M,B28009E_006E,B28009E_006M,NAME,B28009E_001MA,B28009E_001EA,B28009E_002EA,B28009E_002MA,B28009E_003EA,B28009E_003MA,B28009E_004MA,B28009E_004EA,B28009E_005MA,B28009E_005EA,B28009E_006MA,B28009E_006EA,state
0400000US13,13978,5323,11066,4630,0,226,10817,4598,249,287,2912,2069,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,19437,1702,18987,1724,126,206,16771,2485,2090,1647,450,337,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,3764,1202,3584,1187,0,161,2897,1193,687,323,180,152,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,1934,525,1662,512,71,115,1373,446,218,201,272,209,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,18157,1919,17947,1932,0,207,13892,2741,4055,2295,210,297,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,151433,5839,144912,6160,471,501,134191,6390,10250,3313,6521,1777,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,20819,3059,20249,3012,64,119,18570,2985,1615,1008,570,363,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,12617,2308,12221,2251,0,229,11580,2244,641,387,396,348,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US49,29086,2147,27461,2264,0,193,25747,2408,1714,1707,1625,1199,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US36,9170,2827,8459,2751,39,72,7591,2627,829,772,711,539,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US34,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US39,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US29,7153,1440,7015,1435,0,190,6298,1488,717,377,138,186,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US42,4753,1666,3948,1577,63,111,3609,1523,276,301,805,562,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US26,3878,865,3431,841,63,110,3041,726,327,397,447,305,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US31,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US35,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US15,138147,5637,124979,6468,186,184,110313,6007,14480,3897,13168,3514,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US53,52230,2707,50820,2759,0,204,49743,2912,1077,583,1410,997,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US44,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US04,14692,2011,14171,2086,0,211,12600,2212,1571,1379,521,460,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US47,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US20,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
