GEO_ID,B10051D_001E,B10051D_001M,B10051D_002E,B10051D_002M,B10051D_003E,B10051D_003M,B10051D_004E,B10051D_004M,B10051D_005E,B10051D_005M,B10051D_006E,B10051D_006M,B10051D_007E,B10051D_007M,NAME,B10051D_001EA,B10051D_001MA,B10051D_002MA,B10051D_002EA,B10051D_003MA,B10051D_003EA,B10051D_004MA,B10051D_004EA,B10051D_005MA,B10051D_005EA,B10051D_006MA,B10051D_006EA,B10051D_007MA,B10051D_007EA,state
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,10715,2291,1098,664,291,451,807,511,9617,2219,2040,1149,7577,1459,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,13858,2795,1695,870,831,620,864,508,12163,2668,2711,1250,9452,2199,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,1200,620,66,62,24,52,42,42,1134,623,365,312,769,547,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,8709,1609,977,469,328,319,649,365,7732,1552,1322,859,6410,1517,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,1507,506,419,290,193,180,226,232,1088,447,189,218,899,428,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,3405,841,304,285,52,91,252,243,3101,797,634,361,2467,689,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,19674,2288,2442,724,739,382,1703,646,17232,2295,2611,1142,14621,2050,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,2124,820,541,382,239,197,302,323,1583,783,668,593,915,578,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,6436,1750,1206,717,705,662,501,343,5230,1550,1424,777,3806,1172,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,205933,8561,25282,3222,5519,1079,19763,2896,180651,7587,27629,3961,153022,6384,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,3854,986,577,409,297,252,280,277,3277,856,651,392,2626,747,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,49550,5574,6519,1660,1691,706,4828,1384,43031,4820,7249,1813,35782,4106,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,11239,1778,2384,1145,846,706,1538,830,8855,1497,1858,1065,6997,1354,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,22002,3573,3619,1405,481,395,3138,1306,18383,3055,3524,1275,14859,2614,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,16838,2614,3432,1201,954,571,2478,1013,13406,2413,2540,1016,10866,2166,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US49,1924,693,294,235,160,154,134,135,1630,672,276,261,1354,578,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US36,59919,4980,12155,2181,4245,1311,7910,1727,47764,4364,9703,1795,38061,3639,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US34,30626,3474,3265,1214,796,513,2469,1056,27361,3388,3557,1595,23804,3108,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US39,9477,1898,772,506,212,281,560,435,8705,1837,2351,1034,6354,1383,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US29,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US42,14458,2598,1712,795,588,356,1124,706,12746,2448,2057,848,10689,2030,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US26,11302,1857,784,514,172,208,612,454,10518,1938,1402,642,9116,1802,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US35,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US15,27975,2934,5075,1411,1823,1006,3252,1189,22900,2802,4399,1090,18501,2509,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US53,20068,3181,3070,1287,1284,933,1786,886,16998,2755,2524,1191,14474,2460,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US44,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US04,7956,1491,974,482,532,411,442,291,6982,1378,1104,574,5878,1248,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US47,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
