B19101F_012M,B19101F_013E,B19101F_013M,B19101F_014E,B19101F_014M,B19101F_015E,B19101F_015M,B19101F_016E,B19101F_016M,B19101F_017E,B19101F_017M,GEO_ID,B19101F_001E,B19101F_001M,B19101F_002E,B19101F_002M,B19101F_003E,B19101F_003M,B19101F_004E,B19101F_004M,B19101F_005E,B19101F_005M,B19101F_006E,B19101F_006M,B19101F_007E,B19101F_007M,B19101F_008E,B19101F_008M,B19101F_009E,B19101F_009M,B19101F_010E,B19101F_010M,B19101F_011E,B19101F_011M,B19101F_012E,B19101F_012MA,B19101F_013MA,B19101F_013EA,B19101F_014MA,B19101F_014EA,B19101F_015MA,B19101F_015EA,B19101F_016MA,B19101F_016EA,B19101F_017MA,B19101F_017EA,NAME,B19101F_001MA,B19101F_001EA,B19101F_002MA,B19101F_002EA,B19101F_003MA,B19101F_003EA,B19101F_004MA,B19101F_004EA,B19101F_005MA,B19101F_005EA,B19101F_006MA,B19101F_006EA,B19101F_007MA,B19101F_007EA,B19101F_008MA,B19101F_008EA,B19101F_009EA,B19101F_009MA,B19101F_010EA,B19101F_010MA,B19101F_011MA,B19101F_011EA,B19101F_012EA,state
null,null,null,null,null,null,null,null,null,null,null,0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
null,null,null,null,null,null,null,null,null,null,null,0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
1894,4168,1232,2291,880,1095,648,1614,820,1046,558,0400000US37,67354,4665,3893,1053,2729,1096,5353,1705,5714,1339,6107,1512,5285,1494,5168,1282,4740,1600,3144,1059,7120,1656,7887,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
1618,7698,2007,3064,1143,2004,836,2729,1099,1037,566,0400000US13,60370,4298,4627,1335,1580,815,3163,1159,3725,1223,3103,1133,3939,1445,2874,1144,4313,1435,3233,1319,6632,1794,6649,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
null,null,null,null,null,null,null,null,null,null,null,0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
777,1423,747,327,322,465,385,374,273,63,61,0400000US01,16225,2170,1175,646,628,452,2584,1027,1258,767,1493,752,999,623,1341,795,1014,687,564,423,889,510,1628,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
null,null,null,null,null,null,null,null,null,null,null,0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
1651,10076,2065,5130,1165,2631,1042,1094,522,1111,690,0400000US32,75221,4043,4078,1088,1953,786,3550,982,5203,1355,4495,1167,5584,1332,5742,1526,4433,1175,4269,1230,6749,1442,9123,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
null,null,null,null,null,null,null,null,null,null,null,0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
602,2386,849,1144,454,301,218,296,226,148,161,0400000US40,24260,2100,1697,675,901,444,957,512,1586,701,2132,775,1759,580,2127,774,1400,549,1711,724,3115,816,2600,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
894,2326,704,2070,631,889,495,241,213,200,210,0400000US55,26424,2475,2357,679,1211,601,1706,704,1634,617,1421,599,2105,848,1296,563,1572,803,984,511,2957,904,3455,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
1328,4318,1212,2566,1015,1031,483,969,542,1545,641,0400000US72,133582,4942,35187,2790,14844,2171,14217,1932,11665,1794,10139,1669,9001,1543,5972,1385,4630,1231,4201,1163,6599,1290,6698,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
1172,6198,1408,3674,1106,1954,880,2081,692,1712,645,0400000US51,43149,3143,2407,970,823,486,1526,664,1634,763,3400,1257,2609,987,2030,890,2017,775,2390,975,4367,1312,4327,null,null,null,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
null,null,null,null,null,null,null,null,null,null,null,0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
944,2264,918,816,558,227,261,523,531,257,225,0400000US45,19086,2589,1201,716,827,432,1156,611,1816,1022,1536,792,470,358,1022,584,1943,876,1450,669,1148,597,2430,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
1714,3329,1236,2177,1064,551,373,1236,564,1306,846,0400000US41,29141,3549,1083,665,711,555,1277,692,1821,827,1243,660,2034,937,1839,833,850,547,1812,1031,3683,1080,4189,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
null,null,null,null,null,null,null,null,null,null,null,0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
5868,154550,7580,106493,5485,58118,4030,50253,3140,32581,2985,0400000US06,1096978,16046,46800,3731,31818,2993,44927,3860,54407,4995,57076,3983,63109,4646,55414,4183,57637,4077,54594,3595,98056,5407,131145,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
null,null,null,null,null,null,null,null,null,null,null,0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
1348,4366,1193,2090,796,1547,705,1169,686,716,438,0400000US09,43046,3449,3380,950,3297,1228,2567,1103,3800,1092,2959,1048,3448,964,2701,1136,1978,883,1841,823,3245,965,3942,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
4065,42162,4187,26439,3322,11947,2752,9512,2200,5677,1326,0400000US48,364168,9701,23335,3170,14944,2345,21278,2751,25571,2767,23759,3456,24832,3544,21519,2864,19490,2730,18250,2587,34239,3778,41214,null,null,null,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
1646,10894,2114,5143,1238,3071,937,2745,975,1243,724,0400000US24,58339,3785,2564,837,1125,606,1984,985,2447,995,2149,816,3389,1130,3015,1060,3857,1211,2413,951,4630,1162,7670,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
2482,18148,2622,8635,1831,5882,1688,4614,1420,4136,1138,0400000US12,147237,7820,5304,1534,3554,963,9325,2120,11764,2466,10616,1884,10122,2076,8473,2097,8690,2217,7660,1585,14766,2331,15548,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
1676,8075,1676,5219,1236,2473,805,2257,952,3252,1151,0400000US25,66034,4345,3981,1039,3229,943,3387,1095,4989,1327,3218,916,3272,1036,3058,1168,3132,1090,5260,1421,5260,1293,5972,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
null,null,null,null,null,null,null,null,null,null,null,0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
1370,3761,1294,3144,1142,854,532,972,456,214,164,0400000US49,32792,2934,1481,739,705,446,1460,704,2472,1062,1034,531,2413,1152,1785,856,2156,859,2242,889,3555,1126,4544,null,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
3573,44544,3380,25949,2735,14001,2247,16464,2294,11208,1812,0400000US36,373201,9410,33633,3637,17842,2417,23211,3137,26255,2836,19373,2890,21602,2930,16524,2216,15953,2624,14768,2025,34221,3239,37653,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
2213,17282,2654,9913,1850,6155,1478,7346,1408,3513,941,0400000US34,136009,6944,9608,2221,5013,1508,9578,2062,8756,1824,6864,1544,7278,1881,4776,1168,7683,2084,6881,1959,12526,2006,12837,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
868,1946,780,2174,817,985,767,406,300,542,451,0400000US39,22388,2385,1499,678,2031,907,835,648,1342,726,746,383,2027,805,842,447,1192,452,1594,682,1987,915,2240,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
744,1107,500,286,317,447,339,192,147,139,183,0400000US29,11091,1954,667,509,962,626,583,418,335,436,940,631,875,598,549,514,1355,824,427,414,546,496,1681,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
1409,5063,1281,4529,1075,1975,869,1328,629,1545,746,0400000US42,66479,4746,7732,1682,5133,1433,5081,1424,6162,1647,3631,1254,2969,922,4480,1344,3543,1173,2743,1066,4305,1158,6260,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
719,3775,1053,2215,857,955,527,1030,576,424,265,0400000US26,23218,2363,1625,625,1120,535,556,381,535,389,1242,525,1665,633,1081,461,1300,462,1222,510,2313,779,2160,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
420,1205,730,237,186,197,190,185,163,454,381,0400000US31,11169,1439,881,582,179,183,521,381,1511,764,611,352,431,331,1264,719,492,426,828,504,1182,494,991,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
693,1618,760,709,630,190,248,273,241,568,508,0400000US16,12184,1886,1019,631,229,223,378,360,1257,1034,349,229,458,562,1122,667,869,491,636,481,1237,650,1272,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
921,2961,911,2270,828,1036,537,871,507,526,324,0400000US35,29726,2462,2785,1214,1809,815,1201,585,2146,812,2470,816,1731,784,1995,778,1349,688,1446,700,1123,408,4007,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
null,null,null,null,null,null,null,null,null,null,null,0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
null,null,null,null,null,null,null,null,null,null,null,0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
2040,9602,1833,4396,1287,1344,606,1999,880,1252,486,0400000US53,71846,3980,3065,1045,2665,1040,2467,869,4180,1331,5204,1703,3989,1387,4776,1542,4853,1378,4219,1389,7357,1705,10478,null,null,null,null,null,null,null,null,null,null,null,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
631,1502,770,209,210,63,113,224,356,207,222,0400000US44,13058,2183,1183,681,1029,656,1196,873,1187,789,785,592,1350,1027,604,507,566,504,258,230,1484,876,1211,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
1540,9043,1912,5274,1242,4068,912,2739,993,1502,677,0400000US04,75482,4995,4674,1431,2755,1062,4218,1156,4647,1139,3465,848,4995,1332,4902,1334,3571,987,3048,870,8799,2290,7782,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
989,1967,649,979,615,542,429,319,333,130,178,0400000US47,18749,2165,1772,605,540,397,1493,734,948,478,1458,717,1159,631,1904,776,1175,678,1028,536,963,623,2372,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
687,778,334,1190,652,195,238,252,250,82,112,0400000US20,15553,1761,1035,531,782,476,850,579,612,332,929,540,968,561,731,424,1275,640,1997,676,1968,654,1909,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
