B21001B_030E,B21001B_030M,B21001B_031E,B21001B_031M,B21001B_032E,B21001B_032M,B21001B_033E,B21001B_033M,GEO_ID,B21001B_001E,B21001B_001M,B21001B_002E,B21001B_002M,B21001B_003E,B21001B_003M,B21001B_004E,B21001B_004M,B21001B_005E,B21001B_005M,B21001B_006E,B21001B_006M,B21001B_007E,B21001B_007M,B21001B_008E,B21001B_008M,B21001B_009E,B21001B_009M,B21001B_010E,B21001B_010M,B21001B_011E,B21001B_011M,B21001B_012E,B21001B_012M,B21001B_013E,B21001B_013M,B21001B_014E,B21001B_014M,B21001B_015E,B21001B_015M,B21001B_016E,B21001B_016M,B21001B_017E,B21001B_017M,B21001B_018E,B21001B_018M,B21001B_019E,B21001B_019M,B21001B_020E,B21001B_020M,B21001B_021E,B21001B_021M,B21001B_022E,B21001B_022M,B21001B_023E,B21001B_023M,B21001B_024E,B21001B_024M,B21001B_025E,B21001B_025M,B21001B_026E,B21001B_026M,B21001B_027E,B21001B_027M,B21001B_028E,B21001B_028M,B21001B_029E,B21001B_029M,B21001B_030EA,B21001B_030MA,B21001B_031MA,B21001B_031EA,B21001B_032EA,B21001B_032MA,B21001B_033MA,B21001B_033EA,NAME,B21001B_001EA,B21001B_001MA,B21001B_002MA,B21001B_002EA,B21001B_003MA,B21001B_003EA,B21001B_004MA,B21001B_004EA,B21001B_005MA,B21001B_005EA,B21001B_006MA,B21001B_006EA,B21001B_007EA,B21001B_007MA,B21001B_008MA,B21001B_008EA,B21001B_009EA,B21001B_009MA,B21001B_010MA,B21001B_010EA,B21001B_011EA,B21001B_011MA,B21001B_012EA,B21001B_012MA,B21001B_013EA,B21001B_013MA,B21001B_014EA,B21001B_014MA,B21001B_015EA,B21001B_015MA,B21001B_016MA,B21001B_016EA,B21001B_017MA,B21001B_017EA,B21001B_018EA,B21001B_018MA,B21001B_019EA,B21001B_019MA,B21001B_020EA,B21001B_020MA,B21001B_021MA,B21001B_021EA,B21001B_022MA,B21001B_022EA,B21001B_023MA,B21001B_023EA,B21001B_024EA,B21001B_024MA,B21001B_025EA,B21001B_025MA,B21001B_026MA,B21001B_026EA,B21001B_027MA,B21001B_027EA,B21001B_028MA,B21001B_028EA,B21001B_029MA,B21001B_029EA,state
null,null,null,null,null,null,null,null,0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
2314,320,1397,187,37,62,1360,194,0400000US31,58912,1461,30170,1187,12853,1094,675,397,12178,1134,11108,581,1741,464,9367,698,3436,450,1160,483,2276,458,1810,379,1033,417,777,314,963,184,605,223,358,164,28742,1326,11744,1070,0,157,11744,1070,9561,719,182,182,9379,750,3726,311,213,208,3513,403,2314,320,0,157,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
7927,308,5064,373,65,82,4999,375,0400000US32,172852,3112,85366,2084,32426,1530,1015,682,31411,1635,31877,1242,5170,1273,26707,1746,11148,773,4150,1002,6998,1207,6258,204,3693,667,2565,629,3657,206,2104,403,1553,397,87486,1817,29878,1464,396,337,29482,1507,32249,882,1813,746,30436,1138,12220,613,513,300,11707,642,8075,273,148,139,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
null,null,null,null,null,null,null,null,0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
46383,1102,34512,1191,177,155,34335,1207,0400000US34,911257,7458,417036,4639,147716,3034,3484,1052,144232,2776,161260,2664,12930,1850,148330,2967,59014,1183,9770,1333,49244,1598,32189,1201,8919,1150,23270,1535,16857,990,8358,1115,8499,1114,494221,4361,153957,2482,1564,795,152393,2750,186931,2559,3527,969,183404,2850,72405,1138,1472,640,70933,1254,46416,1102,33,57,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
632,239,730,296,0,195,730,296,0400000US35,30676,1908,17677,1402,5990,1055,697,439,5293,1104,6658,1048,1483,674,5175,934,2946,637,986,591,1960,483,1473,516,743,374,730,393,610,294,448,283,162,152,12999,1486,5190,1144,483,338,4707,1178,4804,910,593,582,4211,889,1608,397,0,195,1608,397,667,249,35,58,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
122780,2087,95166,1660,591,389,94575,1761,0400000US36,2342131,13308,1050707,7632,386577,4960,6440,1255,380137,4807,384525,4096,21535,2485,362990,4804,150444,2663,17484,1833,132960,3147,80369,2105,15237,1808,65132,2481,48792,1415,15213,1463,33579,1661,1291424,8797,415970,5464,1595,610,414375,5406,459701,4050,5547,1278,454154,4089,197469,2819,2390,820,195079,2681,123118,2038,338,221,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
76910,1772,56595,1505,171,167,56424,1509,0400000US37,1572331,6561,709543,5120,253438,4338,10100,1876,243338,4417,256335,4224,44964,3469,211371,5081,110323,1573,33380,2880,76943,2640,60480,2120,21697,2234,38783,2363,28967,1606,10954,1220,18013,1766,862788,4173,278874,3398,4052,1357,274822,3437,311790,3117,11280,1932,300510,3468,137940,1808,3401,1048,134539,2199,77589,1737,679,354,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
null,null,null,null,null,null,null,null,0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
49707,1427,41929,1043,469,283,41460,1083,0400000US39,1025039,5913,476983,4501,173320,3303,3121,864,170199,3261,170814,2241,22098,2255,148716,2719,73442,1386,19411,2053,54031,2132,36094,932,16169,1219,19925,1338,23313,869,13010,1090,10303,1000,548056,4090,181053,2890,1445,707,179608,2943,187834,2401,4438,1149,183396,2467,86958,1829,1196,486,85762,1975,50282,1372,575,291,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
