GEO_ID,B10051D_001E,B10051D_001M,B10051D_002E,B10051D_002M,B10051D_003E,B10051D_003M,B10051D_004E,B10051D_004M,B10051D_005E,B10051D_005M,B10051D_006E,B10051D_006M,B10051D_007E,B10051D_007M,NAME,B10051D_001MA,B10051D_001EA,B10051D_002MA,B10051D_002EA,B10051D_003MA,B10051D_003EA,B10051D_004MA,B10051D_004EA,B10051D_005EA,B10051D_005MA,B10051D_006MA,B10051D_006EA,B10051D_007EA,B10051D_007MA,state
0400000US25,12679,1949,2135,851,802,345,1333,719,10544,1738,2812,1064,7732,1368,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9662,1455,642,345,240,173,402,287,9020,1405,1240,524,7780,1409,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,7370,1726,1306,676,1048,598,258,217,6064,1641,2701,1096,3363,941,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1091,694,282,282,99,131,183,167,809,611,107,108,702,610,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,11239,2329,2314,911,1271,677,1043,509,8925,2260,2055,1619,6870,1538,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,28385,3075,2219,722,970,498,1249,544,26166,2881,3515,1046,22651,2482,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,61934,5242,10878,2080,5469,1632,5409,1400,51056,5138,14497,2567,36559,3729,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,6771,1480,616,413,231,229,385,338,6155,1540,1574,798,4581,1313,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,6873,1330,872,489,584,432,288,222,6001,1241,1732,696,4269,1076,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3320,1001,468,283,128,132,340,242,2852,980,660,540,2192,859,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,5518,1484,687,501,112,134,575,464,4831,1415,1275,848,3556,1031,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,12751,1621,1787,688,703,501,1084,569,10964,1523,2878,929,8086,1452,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1635,685,384,294,147,158,237,238,1251,610,463,318,788,558,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,4371,1445,650,414,236,268,414,306,3721,1363,1282,690,2439,1007,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,36033,4238,5061,1487,3054,1109,2007,912,30972,3962,7247,1733,23725,3578,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2020,922,261,225,214,210,47,77,1759,894,159,119,1600,895,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,18366,2387,2967,1432,1968,1370,999,496,15399,1888,3077,894,12322,1772,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,15475,2268,1937,856,1202,635,735,437,13538,2079,2895,1043,10643,1717,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,3325,971,308,260,308,260,0,149,3017,892,530,340,2487,805,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
