B01001C_001E,B01001C_001M,B01001C_002E,B01001C_002M,B01001C_003E,B01001C_003M,B01001C_004E,B01001C_004M,B01001C_005E,B01001C_005M,B01001C_006E,B01001C_006M,B01001C_007E,B01001C_007M,B01001C_008E,B01001C_008M,B01001C_009E,B01001C_009M,B01001C_010E,B01001C_010M,B01001C_011E,B01001C_011M,B01001C_012E,B01001C_012M,B01001C_013E,B01001C_013M,B01001C_014E,B01001C_014M,B01001C_015E,B01001C_015M,B01001C_016E,B01001C_016M,B01001C_017E,B01001C_017M,B01001C_018E,B01001C_018M,B01001C_019E,B01001C_019M,B01001C_020E,B01001C_020M,B01001C_021E,B01001C_021M,B01001C_022E,B01001C_022M,B01001C_023E,B01001C_023M,B01001C_024E,B01001C_024M,B01001C_025E,B01001C_025M,B01001C_026E,B01001C_026M,B01001C_027E,B01001C_027M,B01001C_028E,B01001C_028M,B01001C_029E,B01001C_029M,B01001C_030E,B01001C_030M,B01001C_031E,B01001C_031M,B01001C_001M,B01001C_001EA,B01001C_001MA,B01001C_002M,B01001C_002EA,B01001C_002MA,B01001C_003M,B01001C_003EA,B01001C_003MA,B01001C_004M,B01001C_004EA,B01001C_004MA,B01001C_005M,B01001C_005EA,B01001C_005MA,B01001C_006M,B01001C_006EA,B01001C_006MA,B01001C_007M,B01001C_007EA,B01001C_007MA,B01001C_008M,B01001C_008EA,B01001C_008MA,B01001C_009M,B01001C_009EA,B01001C_009MA,B01001C_010M,B01001C_010EA,B01001C_010MA,B01001C_011M,B01001C_011EA,B01001C_011MA,B01001C_012M,B01001C_012EA,B01001C_012MA,B01001C_013M,B01001C_013EA,B01001C_013MA,B01001C_014M,B01001C_014EA,B01001C_014MA,B01001C_015M,B01001C_015EA,B01001C_015MA,B01001C_016M,B01001C_016EA,B01001C_016MA,B01001C_017M,B01001C_017EA,B01001C_017MA,B01001C_018M,B01001C_018EA,B01001C_018MA,B01001C_019M,B01001C_019EA,B01001C_019MA,B01001C_020M,B01001C_020EA,B01001C_020MA,B01001C_021M,B01001C_021EA,B01001C_021MA,B01001C_022M,B01001C_022EA,B01001C_022MA,B01001C_023M,B01001C_023EA,B01001C_023MA,B01001C_024M,B01001C_024EA,B01001C_024MA,B01001C_025M,B01001C_025EA,B01001C_025MA,B01001C_026M,B01001C_026EA,B01001C_026MA,B01001C_027M,B01001C_027EA,B01001C_027MA,B01001C_028M,B01001C_028EA,B01001C_028MA,B01001C_029M,B01001C_029EA,B01001C_029MA,B01001C_030M,B01001C_030EA,B01001C_030MA,B01001C_031M,B01001C_031EA,B01001C_031MA,state
7893,1203,3868,733,400,119,552,337,86,92,85,92,149,145,35,53,457,339,260,163,452,260,628,394,270,136,342,253,152,116,0,172,4025,881,214,119,319,271,285,159,261,204,198,162,240,192,241,159,315,280,526,281,499,246,435,270,345,171,119,83,28,51,1203,null,null,733,null,null,119,null,null,337,null,null,92,null,null,92,null,null,145,null,null,53,null,null,339,null,null,163,null,null,260,null,null,394,null,null,136,null,null,253,null,null,116,null,null,172,null,null,881,null,null,119,null,null,271,null,null,159,null,null,204,null,null,162,null,null,192,null,null,159,null,null,280,null,null,281,null,null,246,null,null,270,null,null,171,null,null,83,null,null,51,null,null,23
15234,2478,7641,1442,344,398,465,403,409,428,158,318,285,322,1002,462,508,414,583,475,678,329,1267,552,947,485,782,358,87,94,126,137,7593,1591,288,263,258,219,456,335,245,282,193,257,657,379,197,149,561,447,653,408,1796,764,1197,530,764,344,61,63,267,279,2478,null,null,1442,null,null,398,null,null,403,null,null,428,null,null,318,null,null,322,null,null,462,null,null,414,null,null,475,null,null,329,null,null,552,null,null,485,null,null,358,null,null,94,null,null,137,null,null,1591,null,null,263,null,null,219,null,null,335,null,null,282,null,null,257,null,null,379,null,null,149,null,null,447,null,null,408,null,null,764,null,null,530,null,null,344,null,null,63,null,null,279,null,null,24
12547,2138,6805,1503,198,190,290,259,509,291,418,281,232,171,702,392,1065,614,294,233,679,410,1596,729,298,258,410,268,76,94,38,63,5742,1188,196,187,308,245,279,205,326,217,14,27,375,312,401,312,116,198,1003,459,1245,470,943,434,97,89,154,223,285,329,2138,null,null,1503,null,null,190,null,null,259,null,null,291,null,null,281,null,null,171,null,null,392,null,null,614,null,null,233,null,null,410,null,null,729,null,null,258,null,null,268,null,null,94,null,null,63,null,null,1188,null,null,187,null,null,245,null,null,205,null,null,217,null,null,27,null,null,312,null,null,312,null,null,198,null,null,459,null,null,470,null,null,434,null,null,89,null,null,223,null,null,329,null,null,25
51161,3519,25690,2091,1172,466,1276,428,2434,641,1150,454,621,312,2127,500,1704,482,1680,640,3856,948,3426,721,3395,760,2133,563,558,241,158,120,25471,2195,994,318,2017,656,1548,486,1019,378,741,387,1726,580,1438,481,1914,644,3482,724,3628,691,3811,570,2118,529,619,313,416,283,3519,null,null,2091,null,null,466,null,null,428,null,null,641,null,null,454,null,null,312,null,null,500,null,null,482,null,null,640,null,null,948,null,null,721,null,null,760,null,null,563,null,null,241,null,null,120,null,null,2195,null,null,318,null,null,656,null,null,486,null,null,378,null,null,387,null,null,580,null,null,481,null,null,644,null,null,724,null,null,691,null,null,570,null,null,529,null,null,313,null,null,283,null,null,26
63229,2949,31544,1810,3314,704,3674,673,3442,745,1548,437,1130,312,2255,670,1725,516,1857,693,3598,636,4270,840,3161,454,1268,315,270,136,32,40,31685,1730,2569,492,2542,536,2641,522,1499,377,761,315,2693,582,1849,529,2202,514,4341,813,4231,609,3674,553,1645,378,799,359,239,164,2949,null,null,1810,null,null,704,null,null,673,null,null,745,null,null,437,null,null,312,null,null,670,null,null,516,null,null,693,null,null,636,null,null,840,null,null,454,null,null,315,null,null,136,null,null,40,null,null,1730,null,null,492,null,null,536,null,null,522,null,null,377,null,null,315,null,null,582,null,null,529,null,null,514,null,null,813,null,null,609,null,null,553,null,null,378,null,null,359,null,null,164,null,null,27
13260,1533,6771,1255,522,176,526,334,1056,558,163,175,329,361,1043,771,524,411,705,410,284,230,970,483,612,424,37,71,0,213,0,213,6489,955,271,182,696,391,644,327,110,134,126,122,838,348,570,329,607,378,641,429,952,402,596,331,227,173,204,225,7,13,1533,null,null,1255,null,null,176,null,null,334,null,null,558,null,null,175,null,null,361,null,null,771,null,null,411,null,null,410,null,null,230,null,null,483,null,null,424,null,null,71,null,null,213,null,null,213,null,null,955,null,null,182,null,null,391,null,null,327,null,null,134,null,null,122,null,null,348,null,null,329,null,null,378,null,null,429,null,null,402,null,null,331,null,null,173,null,null,225,null,null,13,null,null,28
30888,3351,15606,2030,534,363,1412,568,1966,650,765,461,800,436,944,525,922,455,510,276,1874,659,2204,767,1694,586,1329,608,446,290,206,230,15282,2051,1070,399,696,386,1127,573,662,373,405,326,2022,930,1410,726,476,346,1877,773,2809,737,1450,584,705,362,487,277,86,98,3351,null,null,2030,null,null,363,null,null,568,null,null,650,null,null,461,null,null,436,null,null,525,null,null,455,null,null,276,null,null,659,null,null,767,null,null,586,null,null,608,null,null,290,null,null,230,null,null,2051,null,null,399,null,null,386,null,null,573,null,null,373,null,null,326,null,null,930,null,null,726,null,null,346,null,null,773,null,null,737,null,null,584,null,null,362,null,null,277,null,null,98,null,null,29
66231,2513,33906,1806,3411,562,4954,938,2863,593,1955,432,1258,483,2397,531,2697,594,1809,351,4173,746,3497,558,2858,555,1583,398,307,133,144,111,32325,1900,2747,359,3262,638,3780,700,1870,601,1261,400,1652,406,2088,318,2337,524,3475,666,3607,776,3447,464,1748,459,706,236,345,224,2513,null,null,1806,null,null,562,null,null,938,null,null,593,null,null,432,null,null,483,null,null,531,null,null,594,null,null,351,null,null,746,null,null,558,null,null,555,null,null,398,null,null,133,null,null,111,null,null,1900,null,null,359,null,null,638,null,null,700,null,null,601,null,null,400,null,null,406,null,null,318,null,null,524,null,null,666,null,null,776,null,null,464,null,null,459,null,null,236,null,null,224,null,null,30
15865,1390,8188,964,849,278,736,245,828,293,532,239,284,231,738,482,547,200,663,286,673,274,1262,634,586,236,378,208,93,87,19,30,7677,835,674,165,622,228,924,274,539,255,234,116,452,246,626,316,632,240,892,276,926,320,549,257,408,217,177,138,22,56,1390,null,null,964,null,null,278,null,null,245,null,null,293,null,null,239,null,null,231,null,null,482,null,null,200,null,null,286,null,null,274,null,null,634,null,null,236,null,null,208,null,null,87,null,null,30,null,null,835,null,null,165,null,null,228,null,null,274,null,null,255,null,null,116,null,null,246,null,null,316,null,null,240,null,null,276,null,null,320,null,null,257,null,null,217,null,null,138,null,null,56,null,null,31
34267,3549,17850,2230,1379,585,1907,504,1268,533,1322,600,619,334,1557,623,1170,444,1388,586,1936,594,1946,539,1586,336,1333,417,354,210,85,81,16417,1791,816,465,935,404,1032,359,548,277,452,395,910,326,1262,434,1607,578,2108,520,2087,594,2447,532,1302,464,760,330,151,117,3549,null,null,2230,null,null,585,null,null,504,null,null,533,null,null,600,null,null,334,null,null,623,null,null,444,null,null,586,null,null,594,null,null,539,null,null,336,null,null,417,null,null,210,null,null,81,null,null,1791,null,null,465,null,null,404,null,null,359,null,null,277,null,null,395,null,null,326,null,null,434,null,null,578,null,null,520,null,null,594,null,null,532,null,null,464,null,null,330,null,null,117,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
20185,3332,10560,2303,879,435,881,362,1141,650,212,228,42,68,757,614,1013,551,621,460,1141,472,1179,531,1720,638,678,392,264,186,32,41,9625,1689,325,228,863,345,762,482,393,317,239,182,397,265,1188,559,623,396,1118,491,1231,484,1295,528,887,429,244,192,60,83,3332,null,null,2303,null,null,435,null,null,362,null,null,650,null,null,228,null,null,68,null,null,614,null,null,551,null,null,460,null,null,472,null,null,531,null,null,638,null,null,392,null,null,186,null,null,41,null,null,1689,null,null,228,null,null,345,null,null,482,null,null,317,null,null,182,null,null,265,null,null,559,null,null,396,null,null,491,null,null,484,null,null,528,null,null,429,null,null,192,null,null,83,null,null,34
194133,4641,92431,2483,7070,656,7885,1344,8481,1094,5170,787,2977,645,7697,820,7967,840,6763,628,11441,743,9741,766,9222,921,5127,479,2040,425,850,239,101702,2938,6632,513,7169,1066,7577,880,5468,748,3391,782,7275,777,8447,876,7853,803,12895,889,12470,931,10898,550,6225,511,3959,559,1443,537,4641,null,null,2483,null,null,656,null,null,1344,null,null,1094,null,null,787,null,null,645,null,null,820,null,null,840,null,null,628,null,null,743,null,null,766,null,null,921,null,null,479,null,null,425,null,null,239,null,null,2938,null,null,513,null,null,1066,null,null,880,null,null,748,null,null,782,null,null,777,null,null,876,null,null,803,null,null,889,null,null,931,null,null,550,null,null,511,null,null,559,null,null,537,null,null,35
73052,6204,34779,3498,2145,819,1866,721,3062,771,1257,550,1062,572,2659,899,2465,761,2897,876,3727,1130,5763,993,4756,1253,2237,565,725,380,158,163,38273,3731,2973,996,2348,770,2393,735,1202,468,1125,541,3251,826,3165,999,2587,839,4731,1086,4195,846,4249,762,3429,963,1885,618,740,328,6204,null,null,3498,null,null,819,null,null,721,null,null,771,null,null,550,null,null,572,null,null,899,null,null,761,null,null,876,null,null,1130,null,null,993,null,null,1253,null,null,565,null,null,380,null,null,163,null,null,3731,null,null,996,null,null,770,null,null,735,null,null,468,null,null,541,null,null,826,null,null,999,null,null,839,null,null,1086,null,null,846,null,null,762,null,null,963,null,null,618,null,null,328,null,null,36
120843,4912,59708,3064,4267,820,4333,829,4787,949,2229,398,1836,580,4727,891,4712,763,3697,717,7630,1099,8701,1251,6323,887,4546,676,1771,492,149,93,61135,2951,2818,424,3907,759,4615,919,2627,518,1612,386,5083,1070,4371,777,3863,746,8896,963,7573,894,7733,757,4721,625,2532,808,784,388,4912,null,null,3064,null,null,820,null,null,829,null,null,949,null,null,398,null,null,580,null,null,891,null,null,763,null,null,717,null,null,1099,null,null,1251,null,null,887,null,null,676,null,null,492,null,null,93,null,null,2951,null,null,424,null,null,759,null,null,919,null,null,518,null,null,386,null,null,1070,null,null,777,null,null,746,null,null,963,null,null,894,null,null,757,null,null,625,null,null,808,null,null,388,null,null,37
41649,2292,20751,1701,1893,381,1860,485,2648,744,1461,567,507,332,1210,326,1740,487,1458,534,2540,768,2751,614,1664,427,697,192,225,146,97,106,20898,1659,1710,221,3061,860,1895,455,818,177,464,129,1447,511,1612,512,1435,473,2644,843,1974,524,2129,494,924,369,774,365,11,18,2292,null,null,1701,null,null,381,null,null,485,null,null,744,null,null,567,null,null,332,null,null,326,null,null,487,null,null,534,null,null,768,null,null,614,null,null,427,null,null,192,null,null,146,null,null,106,null,null,1659,null,null,221,null,null,860,null,null,455,null,null,177,null,null,129,null,null,511,null,null,512,null,null,473,null,null,843,null,null,524,null,null,494,null,null,369,null,null,365,null,null,18,null,null,38
18081,2486,10022,1904,575,487,285,338,586,290,132,139,319,271,1124,596,1225,816,922,534,1109,510,1495,508,1332,500,291,174,377,327,250,226,8059,1417,95,142,286,251,882,592,239,193,235,180,731,375,436,343,207,171,962,371,1756,783,1266,474,712,369,86,70,166,155,2486,null,null,1904,null,null,487,null,null,338,null,null,290,null,null,139,null,null,271,null,null,596,null,null,816,null,null,534,null,null,510,null,null,508,null,null,500,null,null,174,null,null,327,null,null,226,null,null,1417,null,null,142,null,null,251,null,null,592,null,null,193,null,null,180,null,null,375,null,null,343,null,null,171,null,null,371,null,null,783,null,null,474,null,null,369,null,null,70,null,null,155,null,null,39
297948,7020,145325,4181,11386,984,12948,1015,13109,1502,8156,806,4971,798,13708,1437,10762,1186,10228,950,17085,1176,17030,1156,13986,959,8219,750,3074,540,663,255,152623,4205,11120,864,13423,1551,12542,1154,7175,685,4806,818,13466,1162,11521,941,9956,944,17850,1217,17167,1022,17733,1071,10826,919,3460,517,1578,392,7020,null,null,4181,null,null,984,null,null,1015,null,null,1502,null,null,806,null,null,798,null,null,1437,null,null,1186,null,null,950,null,null,1176,null,null,1156,null,null,959,null,null,750,null,null,540,null,null,255,null,null,4205,null,null,864,null,null,1551,null,null,1154,null,null,685,null,null,818,null,null,1162,null,null,941,null,null,944,null,null,1217,null,null,1022,null,null,1071,null,null,919,null,null,517,null,null,392,null,null,40
45426,4348,24895,2793,1606,540,1727,626,1714,603,1211,401,599,356,2659,734,1381,421,1340,535,3834,1497,3374,805,2521,632,2143,891,496,272,290,213,20531,2350,882,370,1101,473,1331,464,1313,583,331,226,1603,609,1653,676,1357,508,2635,876,2713,861,3711,909,1014,363,558,401,329,339,4348,null,null,2793,null,null,540,null,null,626,null,null,603,null,null,401,null,null,356,null,null,734,null,null,421,null,null,535,null,null,1497,null,null,805,null,null,632,null,null,891,null,null,272,null,null,213,null,null,2350,null,null,370,null,null,473,null,null,464,null,null,583,null,null,226,null,null,609,null,null,676,null,null,508,null,null,876,null,null,861,null,null,909,null,null,363,null,null,401,null,null,339,null,null,41
23556,3760,12969,2136,475,298,549,384,650,296,564,373,810,593,1939,954,1134,549,683,479,1492,679,2410,872,1197,452,642,308,132,112,292,203,10587,2251,627,451,792,425,663,426,265,178,229,191,875,822,954,452,344,257,1331,571,1959,772,1634,571,782,352,103,113,29,42,3760,null,null,2136,null,null,298,null,null,384,null,null,296,null,null,373,null,null,593,null,null,954,null,null,549,null,null,479,null,null,679,null,null,872,null,null,452,null,null,308,null,null,112,null,null,203,null,null,2251,null,null,451,null,null,425,null,null,426,null,null,178,null,null,191,null,null,822,null,null,452,null,null,257,null,null,571,null,null,772,null,null,571,null,null,352,null,null,113,null,null,42,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
16010,2758,8240,1451,275,229,197,171,1114,856,1116,687,477,420,300,208,280,278,323,258,726,423,1441,670,923,406,879,478,189,176,0,207,7770,1824,107,145,152,201,624,513,526,346,353,314,852,637,209,190,239,241,716,414,1575,704,1363,536,784,469,270,213,0,207,2758,null,null,1451,null,null,229,null,null,171,null,null,856,null,null,687,null,null,420,null,null,208,null,null,278,null,null,258,null,null,423,null,null,670,null,null,406,null,null,478,null,null,176,null,null,207,null,null,1824,null,null,145,null,null,201,null,null,513,null,null,346,null,null,314,null,null,637,null,null,190,null,null,241,null,null,414,null,null,704,null,null,536,null,null,469,null,null,213,null,null,207,null,null,45
77378,3710,38023,2083,5324,585,4156,816,4027,670,2134,493,1370,435,2964,581,3203,561,3130,948,3967,514,3228,461,2959,498,1186,202,316,173,59,58,39355,2458,3635,529,4123,800,4138,873,2020,382,1199,313,2893,724,3760,805,2337,398,4075,554,4775,892,3256,564,1966,474,1108,364,70,47,3710,null,null,2083,null,null,585,null,null,816,null,null,670,null,null,493,null,null,435,null,null,581,null,null,561,null,null,948,null,null,514,null,null,461,null,null,498,null,null,202,null,null,173,null,null,58,null,null,2458,null,null,529,null,null,800,null,null,873,null,null,382,null,null,313,null,null,724,null,null,805,null,null,398,null,null,554,null,null,892,null,null,564,null,null,474,null,null,364,null,null,47,null,null,46
19053,2905,9796,1772,608,494,343,262,596,326,310,235,575,366,306,323,239,234,736,540,1866,785,2194,1098,1354,555,613,382,56,79,0,204,9257,1668,720,388,602,391,278,239,367,325,319,230,617,446,1439,727,826,482,986,478,1019,469,1210,502,647,341,217,216,10,18,2905,null,null,1772,null,null,494,null,null,262,null,null,326,null,null,235,null,null,366,null,null,323,null,null,234,null,null,540,null,null,785,null,null,1098,null,null,555,null,null,382,null,null,79,null,null,204,null,null,1668,null,null,388,null,null,391,null,null,239,null,null,325,null,null,230,null,null,446,null,null,727,null,null,482,null,null,478,null,null,469,null,null,502,null,null,341,null,null,216,null,null,18,null,null,47
