B19082_001E,B19082_001M,B19082_002E,B19082_002M,B19082_003E,B19082_003M,B19082_004E,B19082_004M,B19082_005E,B19082_005M,B19082_006E,B19082_006M,B19082_001M,B19082_001EA,B19082_001MA,B19082_002M,B19082_002EA,B19082_002MA,B19082_003M,B19082_003EA,B19082_003MA,B19082_004M,B19082_004EA,B19082_004MA,B19082_005M,B19082_005EA,B19082_005MA,B19082_006M,B19082_006EA,B19082_006MA,state
3.67,0.07,9.26,0.10,15.22,0.14,23.16,0.16,48.69,0.36,21.19,0.44,0.07,null,null,0.10,null,null,0.14,null,null,0.16,null,null,0.36,null,null,0.44,null,null,27
2.98,0.10,8.11,0.17,14.33,0.21,23.37,0.32,51.20,0.62,22.25,0.81,0.10,null,null,0.17,null,null,0.21,null,null,0.32,null,null,0.62,null,null,0.81,null,null,28
3.50,0.08,8.95,0.12,14.68,0.14,22.80,0.17,50.07,0.44,22.56,0.54,0.08,null,null,0.12,null,null,0.14,null,null,0.17,null,null,0.44,null,null,0.54,null,null,29
3.57,0.15,8.92,0.26,14.50,0.36,22.58,0.47,50.43,1.06,23.01,1.41,0.15,null,null,0.26,null,null,0.36,null,null,0.47,null,null,1.06,null,null,1.41,null,null,30
3.66,0.14,9.28,0.19,15.30,0.23,23.36,0.25,48.40,0.63,20.89,0.72,0.14,null,null,0.19,null,null,0.23,null,null,0.25,null,null,0.63,null,null,0.72,null,null,31
3.54,0.13,9.13,0.16,15.01,0.23,22.90,0.29,49.43,0.66,21.96,0.76,0.13,null,null,0.16,null,null,0.23,null,null,0.29,null,null,0.66,null,null,0.76,null,null,32
4.03,0.16,9.77,0.23,15.65,0.30,23.30,0.32,47.25,0.79,19.45,0.94,0.16,null,null,0.23,null,null,0.30,null,null,0.32,null,null,0.79,null,null,0.94,null,null,33
2.94,0.06,8.24,0.08,14.49,0.11,23.11,0.13,51.21,0.26,22.38,0.29,0.06,null,null,0.08,null,null,0.11,null,null,0.13,null,null,0.26,null,null,0.29,null,null,34
3.09,0.11,8.29,0.17,14.54,0.24,23.37,0.35,50.71,0.70,22.16,0.84,0.11,null,null,0.17,null,null,0.24,null,null,0.35,null,null,0.70,null,null,0.84,null,null,35
2.58,0.03,7.50,0.06,13.58,0.09,22.19,0.12,54.15,0.24,25.62,0.30,0.03,null,null,0.06,null,null,0.09,null,null,0.12,null,null,0.24,null,null,0.30,null,null,36
3.25,0.06,8.58,0.10,14.34,0.12,22.57,0.17,51.26,0.38,23.31,0.48,0.06,null,null,0.10,null,null,0.12,null,null,0.17,null,null,0.38,null,null,0.48,null,null,37
3.49,0.19,9.32,0.32,15.30,0.42,23.18,0.51,48.72,1.19,22.09,1.49,0.19,null,null,0.32,null,null,0.42,null,null,0.51,null,null,1.19,null,null,1.49,null,null,38
3.28,0.05,8.80,0.09,14.76,0.11,22.97,0.14,50.19,0.33,22.35,0.40,0.05,null,null,0.09,null,null,0.11,null,null,0.14,null,null,0.33,null,null,0.40,null,null,39
3.34,0.08,8.80,0.12,14.79,0.14,23.24,0.20,49.83,0.43,21.69,0.52,0.08,null,null,0.12,null,null,0.14,null,null,0.20,null,null,0.43,null,null,0.52,null,null,40
3.56,0.08,8.96,0.13,14.90,0.17,23.11,0.22,49.47,0.49,21.44,0.58,0.08,null,null,0.13,null,null,0.17,null,null,0.22,null,null,0.49,null,null,0.58,null,null,41
3.32,0.05,8.69,0.07,14.66,0.09,23.02,0.12,50.31,0.25,22.20,0.29,0.05,null,null,0.07,null,null,0.09,null,null,0.12,null,null,0.25,null,null,0.29,null,null,42
2.93,0.15,8.27,0.26,14.79,0.35,23.51,0.48,50.49,0.94,22.69,1.21,0.15,null,null,0.26,null,null,0.35,null,null,0.48,null,null,0.94,null,null,1.21,null,null,44
3.16,0.08,8.69,0.12,14.58,0.15,22.93,0.25,50.64,0.49,22.65,0.65,0.08,null,null,0.12,null,null,0.15,null,null,0.25,null,null,0.49,null,null,0.65,null,null,45
3.64,0.18,9.51,0.26,15.29,0.40,22.90,0.54,48.65,1.19,22.19,1.49,0.18,null,null,0.26,null,null,0.40,null,null,0.54,null,null,1.19,null,null,1.49,null,null,46
3.28,0.07,8.57,0.11,14.27,0.14,22.46,0.19,51.41,0.39,23.58,0.49,0.07,null,null,0.11,null,null,0.14,null,null,0.19,null,null,0.39,null,null,0.49,null,null,47
3.24,0.04,8.44,0.06,14.19,0.07,22.65,0.10,51.49,0.20,23.01,0.25,0.04,null,null,0.06,null,null,0.07,null,null,0.10,null,null,0.20,null,null,0.25,null,null,48
4.20,0.12,10.18,0.17,15.70,0.22,22.95,0.30,46.97,0.67,20.64,0.77,0.12,null,null,0.17,null,null,0.22,null,null,0.30,null,null,0.67,null,null,0.77,null,null,49
3.53,0.17,8.94,0.28,15.23,0.33,23.44,0.43,48.85,0.90,21.17,1.01,0.17,null,null,0.28,null,null,0.33,null,null,0.43,null,null,0.90,null,null,1.01,null,null,50
3.21,0.06,8.67,0.09,14.58,0.12,23.00,0.16,50.53,0.32,21.69,0.41,0.06,null,null,0.09,null,null,0.12,null,null,0.16,null,null,0.32,null,null,0.41,null,null,51
3.47,0.07,9.11,0.11,14.93,0.15,22.90,0.20,49.58,0.45,21.80,0.56,0.07,null,null,0.11,null,null,0.15,null,null,0.20,null,null,0.45,null,null,0.56,null,null,53
3.23,0.12,8.49,0.20,14.60,0.27,23.40,0.37,50.28,0.79,21.89,0.96,0.12,null,null,0.20,null,null,0.27,null,null,0.37,null,null,0.79,null,null,0.96,null,null,54
3.72,0.06,9.30,0.08,15.20,0.14,23.13,0.16,48.65,0.36,21.73,0.47,0.06,null,null,0.08,null,null,0.14,null,null,0.16,null,null,0.36,null,null,0.47,null,null,55
3.82,0.20,9.44,0.35,15.76,0.45,23.88,0.62,47.10,1.27,20.06,1.43,0.20,null,null,0.35,null,null,0.45,null,null,0.62,null,null,1.27,null,null,1.43,null,null,56
1.62,0.07,6.86,0.15,12.93,0.24,22.30,0.37,56.29,0.73,26.10,1.08,0.07,null,null,0.15,null,null,0.24,null,null,0.37,null,null,0.73,null,null,1.08,null,null,72
2.94,0.08,8.18,0.12,14.29,0.19,23.16,0.21,51.42,0.50,22.81,0.63,0.08,null,null,0.12,null,null,0.19,null,null,0.21,null,null,0.50,null,null,0.63,null,null,01
4.15,0.21,10.46,0.29,16.36,0.37,24.11,0.46,44.91,1.02,17.72,1.10,0.21,null,null,0.29,null,null,0.37,null,null,0.46,null,null,1.02,null,null,1.10,null,null,02
3.24,0.07,8.81,0.11,14.56,0.16,22.76,0.24,50.63,0.49,22.54,0.65,0.07,null,null,0.11,null,null,0.16,null,null,0.24,null,null,0.49,null,null,0.65,null,null,04
3.28,0.10,8.63,0.15,14.53,0.21,22.88,0.30,50.68,0.58,22.25,0.72,0.10,null,null,0.15,null,null,0.21,null,null,0.30,null,null,0.58,null,null,0.72,null,null,05
2.95,0.03,8.11,0.05,14.06,0.06,22.64,0.07,52.24,0.16,23.34,0.18,0.03,null,null,0.05,null,null,0.06,null,null,0.07,null,null,0.16,null,null,0.18,null,null,06
3.52,0.07,9.10,0.11,14.92,0.16,22.87,0.17,49.60,0.40,21.75,0.49,0.07,null,null,0.11,null,null,0.16,null,null,0.17,null,null,0.40,null,null,0.49,null,null,08
2.99,0.08,8.11,0.14,14.02,0.18,22.12,0.21,52.76,0.51,24.84,0.56,0.08,null,null,0.14,null,null,0.18,null,null,0.21,null,null,0.51,null,null,0.56,null,null,09
3.55,0.22,9.24,0.31,15.24,0.34,23.12,0.38,48.85,0.98,21.32,1.08,0.22,null,null,0.31,null,null,0.34,null,null,0.38,null,null,0.98,null,null,1.08,null,null,10
1.56,0.14,6.45,0.32,13.30,0.45,22.78,0.61,55.91,1.24,25.70,1.47,0.14,null,null,0.32,null,null,0.45,null,null,0.61,null,null,1.24,null,null,1.47,null,null,11
