C15010C_001E,C15010C_001EA,C15010C_001M,C15010C_001MA,C15010C_002E,C15010C_002EA,C15010C_002M,C15010C_002MA,C15010C_003E,C15010C_003EA,C15010C_003M,C15010C_003MA,C15010C_004E,C15010C_004EA,C15010C_004M,C15010C_004MA,C15010C_005E,C15010C_005EA,C15010C_005M,C15010C_005MA,C15010C_006E,C15010C_006EA,C15010C_006M,C15010C_006MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US21,Kentucky,21
1550,null,606,null,451,null,312,null,310,null,275,null,312,null,292,null,222,null,198,null,255,null,209,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US24,Maryland,24
1424,null,596,null,716,null,530,null,94,null,131,null,221,null,174,null,242,null,203,null,151,null,204,null,0400000US25,Massachusetts,25
3259,null,867,null,788,null,399,null,343,null,257,null,1095,null,585,null,414,null,296,null,619,null,316,null,0400000US26,Michigan,26
4099,null,882,null,1216,null,516,null,524,null,359,null,506,null,371,null,784,null,400,null,1069,null,531,null,0400000US27,Minnesota,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,Mississippi,28
2049,null,627,null,628,null,310,null,173,null,179,null,275,null,228,null,363,null,201,null,610,null,386,null,0400000US29,Missouri,29
3942,null,915,null,1230,null,494,null,319,null,243,null,791,null,422,null,598,null,252,null,1004,null,476,null,0400000US30,Montana,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US31,Nebraska,31
2269,null,734,null,755,null,411,null,117,null,134,null,726,null,484,null,123,null,156,null,548,null,301,null,0400000US32,Nevada,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,New Hampshire,33
1488,null,564,null,554,null,333,null,62,null,67,null,422,null,344,null,175,null,176,null,275,null,230,null,0400000US34,New Jersey,34
11337,null,1716,null,3205,null,934,null,1195,null,681,null,1606,null,826,null,2768,null,922,null,2563,null,714,null,0400000US35,New Mexico,35
6386,null,1304,null,2217,null,845,null,461,null,313,null,1223,null,596,null,375,null,234,null,2110,null,783,null,0400000US36,New York,36
7115,null,1317,null,2967,null,942,null,546,null,427,null,866,null,507,null,1414,null,599,null,1322,null,455,null,0400000US37,North Carolina,37
3290,null,895,null,695,null,319,null,71,null,82,null,796,null,388,null,831,null,418,null,897,null,514,null,0400000US38,North Dakota,38
2217,null,623,null,938,null,492,null,65,null,89,null,433,null,305,null,331,null,231,null,450,null,345,null,0400000US39,Ohio,39
19862,null,1577,null,4920,null,953,null,2669,null,647,null,3891,null,665,null,4214,null,714,null,4168,null,945,null,0400000US40,Oklahoma,40
3105,null,957,null,1143,null,546,null,276,null,297,null,397,null,328,null,483,null,351,null,806,null,464,null,0400000US41,Oregon,41
1839,null,678,null,212,null,197,null,129,null,113,null,338,null,201,null,170,null,121,null,990,null,660,null,0400000US42,Pennsylvania,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US44,Rhode Island,44
932,null,472,null,165,null,163,null,39,null,69,null,256,null,242,null,112,null,183,null,360,null,356,null,0400000US45,South Carolina,45
4214,null,929,null,1187,null,593,null,178,null,167,null,1021,null,448,null,757,null,306,null,1071,null,423,null,0400000US46,South Dakota,46
1657,null,603,null,378,null,273,null,294,null,239,null,450,null,297,null,302,null,309,null,233,null,210,null,0400000US47,Tennessee,47
13820,null,1843,null,4384,null,1042,null,848,null,369,null,3270,null,1031,null,2039,null,754,null,3279,null,786,null,0400000US48,Texas,48
1527,null,690,null,312,null,242,null,260,null,321,null,167,null,185,null,282,null,226,null,506,null,469,null,0400000US49,Utah,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,Vermont,50
3464,null,1021,null,1401,null,645,null,367,null,266,null,587,null,354,null,205,null,150,null,904,null,525,null,0400000US51,Virginia,51
7968,null,1390,null,2851,null,900,null,111,null,127,null,1342,null,556,null,1200,null,550,null,2464,null,707,null,0400000US53,Washington,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US54,West Virginia,54
3011,null,703,null,782,null,343,null,869,null,402,null,457,null,261,null,641,null,350,null,262,null,193,null,0400000US55,Wisconsin,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US56,Wyoming,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US72,Puerto Rico,72
