C17010F_001E,C17010F_001EA,C17010F_001M,C17010F_001MA,C17010F_002E,C17010F_002EA,C17010F_002M,C17010F_002MA,C17010F_003E,C17010F_003EA,C17010F_003M,C17010F_003MA,C17010F_004E,C17010F_004EA,C17010F_004M,C17010F_004MA,C17010F_005E,C17010F_005EA,C17010F_005M,C17010F_005MA,C17010F_006E,C17010F_006EA,C17010F_006M,C17010F_006MA,C17010F_007E,C17010F_007EA,C17010F_007M,C17010F_007MA,C17010F_008E,C17010F_008EA,C17010F_008M,C17010F_008MA,C17010F_009E,C17010F_009EA,C17010F_009M,C17010F_009MA,C17010F_010E,C17010F_010EA,C17010F_010M,C17010F_010MA,C17010F_011E,C17010F_011EA,C17010F_011M,C17010F_011MA,C17010F_012E,C17010F_012EA,C17010F_012M,C17010F_012MA,C17010F_013E,C17010F_013EA,C17010F_013M,C17010F_013MA,C17010F_014E,C17010F_014EA,C17010F_014M,C17010F_014MA,C17010F_015E,C17010F_015EA,C17010F_015M,C17010F_015MA,C17010F_016E,C17010F_016EA,C17010F_016M,C17010F_016MA,C17010F_017E,C17010F_017EA,C17010F_017M,C17010F_017MA,GEO_ID,NAME,state
58439,null,4023,null,21093,null,2664,null,12589,null,2257,null,10703,null,1834,null,8504,null,1871,null,2845,null,1126,null,2528,null,1012,null,5659,null,1583,null,5273,null,1494,null,37346,null,3458,null,26078,null,3143,null,19115,null,2865,null,11268,null,2119,null,7075,null,1567,null,4369,null,1236,null,4193,null,1194,null,3696,null,1180,null,0400000US13,Georgia,13
3263,null,901,null,497,null,377,null,267,null,328,null,208,null,314,null,230,null,175,null,0,null,275,null,0,null,275,null,230,null,175,null,230,null,175,null,2766,null,837,null,2078,null,758,null,1335,null,612,null,688,null,416,null,361,null,246,null,268,null,251,null,327,null,301,null,191,null,189,null,0400000US15,Hawaii,15
6509,null,991,null,1478,null,574,null,1150,null,524,null,862,null,494,null,328,null,247,null,12,null,27,null,12,null,27,null,316,null,246,null,316,null,246,null,5031,null,890,null,4225,null,865,null,3525,null,812,null,806,null,468,null,438,null,340,null,438,null,340,null,368,null,333,null,302,null,320,null,0400000US16,Idaho,16
175192,null,6263,null,31057,null,3703,null,13757,null,2223,null,12549,null,1953,null,17300,null,2523,null,3164,null,961,null,2536,null,846,null,14136,null,2339,null,13390,null,2265,null,144135,null,5592,null,103033,null,4877,null,75028,null,4392,null,41102,null,3711,null,19908,null,2939,null,13173,null,2379,null,21194,null,2336,null,15651,null,2296,null,0400000US17,Illinois,17
28815,null,2444,null,7880,null,1624,null,3820,null,1193,null,3453,null,1107,null,4060,null,1012,null,701,null,474,null,494,null,362,null,3359,null,905,null,3151,null,938,null,20935,null,1888,null,13767,null,1868,null,9369,null,1442,null,7168,null,1566,null,4079,null,1121,null,1906,null,749,null,3089,null,1047,null,2291,null,935,null,0400000US18,Indiana,18
10099,null,1341,null,1561,null,724,null,666,null,436,null,583,null,451,null,895,null,638,null,300,null,352,null,300,null,352,null,595,null,494,null,595,null,494,null,8538,null,1234,null,4673,null,1068,null,3873,null,993,null,3865,null,1054,null,1855,null,830,null,1504,null,777,null,2010,null,798,null,1344,null,763,null,0400000US19,Iowa,19
14400,null,1940,null,3074,null,1028,null,1508,null,720,null,1417,null,722,null,1566,null,699,null,428,null,268,null,428,null,268,null,1138,null,644,null,1081,null,617,null,11326,null,1719,null,8807,null,1639,null,5498,null,1168,null,2519,null,874,null,1522,null,696,null,912,null,503,null,997,null,571,null,879,null,557,null,0400000US20,Kansas,20
6892,null,1508,null,2147,null,812,null,1155,null,753,null,999,null,698,null,992,null,535,null,330,null,314,null,330,null,314,null,662,null,530,null,662,null,530,null,4745,null,1287,null,2845,null,1046,null,2273,null,898,null,1900,null,741,null,1181,null,484,null,164,null,175,null,719,null,542,null,534,null,462,null,0400000US21,Kentucky,21
8788,null,1510,null,1163,null,588,null,376,null,325,null,253,null,234,null,787,null,445,null,239,null,279,null,239,null,279,null,548,null,318,null,548,null,318,null,7625,null,1451,null,4832,null,1167,null,3487,null,1006,null,2793,null,969,null,934,null,519,null,621,null,401,null,1859,null,869,null,410,null,347,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
33011,null,3234,null,3747,null,1072,null,1698,null,631,null,1224,null,561,null,2049,null,859,null,523,null,456,null,439,null,447,null,1526,null,688,null,1387,null,679,null,29264,null,3134,null,18821,null,2269,null,14048,null,2006,null,10443,null,1672,null,4619,null,1047,null,3059,null,889,null,5824,null,1306,null,4875,null,1254,null,0400000US24,Maryland,24
52561,null,3485,null,15397,null,2060,null,2928,null,1001,null,2137,null,857,null,12469,null,1838,null,1741,null,712,null,1741,null,712,null,10728,null,1618,null,9345,null,1594,null,37164,null,3065,null,18696,null,2095,null,10369,null,1639,null,18468,null,2173,null,4873,null,1286,null,2981,null,1007,null,13595,null,1788,null,9850,null,1617,null,0400000US25,Massachusetts,25
25501,null,2838,null,6284,null,1644,null,3421,null,1207,null,2932,null,1171,null,2863,null,1007,null,611,null,472,null,611,null,472,null,2252,null,834,null,1925,null,824,null,19217,null,2444,null,12201,null,1842,null,8083,null,1583,null,7016,null,1540,null,2832,null,1041,null,2433,null,1010,null,4184,null,1253,null,2497,null,930,null,0400000US26,Michigan,26
14333,null,1673,null,2945,null,986,null,1212,null,589,null,1124,null,579,null,1733,null,763,null,738,null,637,null,610,null,606,null,995,null,452,null,898,null,443,null,11388,null,1615,null,6923,null,1290,null,5632,null,1125,null,4465,null,1115,null,2145,null,824,null,1849,null,802,null,2320,null,862,null,1086,null,492,null,0400000US27,Minnesota,27
3965,null,1036,null,1312,null,720,null,683,null,449,null,375,null,251,null,629,null,548,null,178,null,153,null,178,null,153,null,451,null,527,null,300,null,470,null,2653,null,810,null,1670,null,606,null,1167,null,467,null,983,null,552,null,543,null,444,null,203,null,328,null,440,null,311,null,377,null,289,null,0400000US28,Mississippi,28
12095,null,1875,null,3199,null,1005,null,1630,null,715,null,1133,null,493,null,1569,null,592,null,731,null,441,null,731,null,441,null,838,null,342,null,728,null,336,null,8896,null,1546,null,6455,null,1301,null,4095,null,1076,null,2441,null,841,null,1250,null,590,null,1098,null,561,null,1191,null,555,null,979,null,562,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
10783,null,1590,null,2646,null,795,null,1050,null,566,null,949,null,560,null,1596,null,666,null,329,null,224,null,329,null,224,null,1267,null,578,null,1267,null,578,null,8137,null,1454,null,6361,null,1417,null,4497,null,1082,null,1776,null,647,null,990,null,464,null,521,null,332,null,786,null,482,null,465,null,400,null,0400000US31,Nebraska,31
25342,null,2524,null,2796,null,810,null,1315,null,627,null,1284,null,623,null,1481,null,622,null,543,null,364,null,499,null,358,null,938,null,598,null,938,null,598,null,22546,null,2398,null,15556,null,2082,null,11437,null,1747,null,6990,null,1347,null,3759,null,1173,null,1928,null,722,null,3231,null,997,null,2619,null,943,null,0400000US32,Nevada,32
2800,null,898,null,606,null,409,null,0,null,255,null,0,null,255,null,606,null,409,null,0,null,255,null,0,null,255,null,606,null,409,null,606,null,409,null,2194,null,790,null,1099,null,553,null,983,null,514,null,1095,null,588,null,375,null,403,null,189,null,282,null,720,null,504,null,575,null,461,null,0400000US33,New Hampshire,33
105851,null,5160,null,16393,null,2309,null,5139,null,1293,null,4035,null,1110,null,11254,null,2018,null,2520,null,1018,null,1862,null,942,null,8734,null,1803,null,8016,null,1760,null,89458,null,4921,null,51835,null,4194,null,32602,null,3433,null,37623,null,3038,null,14400,null,1952,null,8295,null,1403,null,23223,null,2502,null,14863,null,2103,null,0400000US34,New Jersey,34
56539,null,3892,null,11862,null,1824,null,5509,null,1372,null,3828,null,1214,null,6353,null,1434,null,1298,null,690,null,1158,null,650,null,5055,null,1247,null,4599,null,1255,null,44677,null,4014,null,29978,null,2939,null,16607,null,2288,null,14699,null,2582,null,6170,null,1508,null,3908,null,1119,null,8529,null,1852,null,5231,null,1507,null,0400000US35,New Mexico,35
314609,null,8150,null,85663,null,4708,null,19846,null,2477,null,15105,null,2053,null,65817,null,4004,null,9164,null,1755,null,7098,null,1558,null,56653,null,3657,null,48579,null,3294,null,228946,null,7619,null,124176,null,5289,null,78533,null,4722,null,104770,null,5686,null,33080,null,3329,null,17519,null,2539,null,71690,null,4641,null,45760,null,3455,null,0400000US36,New York,36
61391,null,3227,null,20529,null,2488,null,10102,null,1499,null,9576,null,1459,null,10427,null,2001,null,4086,null,1216,null,3603,null,1150,null,6341,null,1494,null,5965,null,1497,null,40862,null,2961,null,27978,null,2657,null,21861,null,2422,null,12884,null,1933,null,9026,null,1700,null,5602,null,1282,null,3858,null,1033,null,3202,null,917,null,0400000US37,North Carolina,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,North Dakota,38
15100,null,1873,null,4527,null,1067,null,1097,null,550,null,1043,null,542,null,3430,null,998,null,1208,null,599,null,1103,null,587,null,2222,null,750,null,2065,null,758,null,10573,null,1472,null,6815,null,1247,null,4472,null,1143,null,3758,null,915,null,1432,null,632,null,1134,null,617,null,2326,null,568,null,1314,null,478,null,0400000US39,Ohio,39
21278,null,2400,null,5364,null,1134,null,2834,null,847,null,2518,null,815,null,2530,null,965,null,178,null,182,null,178,null,182,null,2352,null,937,null,2315,null,931,null,15914,null,2199,null,11082,null,1575,null,7766,null,1413,null,4832,null,1506,null,2850,null,1082,null,2185,null,1045,null,1982,null,952,null,1695,null,923,null,0400000US40,Oklahoma,40
29661,null,2895,null,7368,null,1876,null,2716,null,976,null,2642,null,961,null,4652,null,1510,null,555,null,409,null,368,null,277,null,4097,null,1449,null,3892,null,1373,null,22293,null,2479,null,16010,null,1946,null,10374,null,1798,null,6283,null,1415,null,2834,null,970,null,1233,null,608,null,3449,null,1088,null,2473,null,883,null,0400000US41,Oregon,41
46695,null,3553,null,15254,null,2142,null,3730,null,1056,null,2975,null,933,null,11524,null,1942,null,2166,null,836,null,1907,null,809,null,9358,null,1835,null,8149,null,1651,null,31441,null,3055,null,18349,null,2337,null,12695,null,2020,null,13092,null,1859,null,4622,null,1140,null,2507,null,919,null,8470,null,1487,null,5658,null,1229,null,0400000US42,Pennsylvania,42
16139,null,1829,null,4521,null,1182,null,839,null,574,null,686,null,527,null,3682,null,1129,null,707,null,513,null,541,null,492,null,2975,null,990,null,2499,null,870,null,11618,null,1783,null,5292,null,1212,null,3490,null,1004,null,6326,null,1274,null,1693,null,814,null,709,null,450,null,4633,null,965,null,2857,null,916,null,0400000US44,Rhode Island,44
10631,null,1635,null,3972,null,965,null,1966,null,670,null,1781,null,630,null,2006,null,722,null,567,null,445,null,488,null,444,null,1439,null,619,null,1396,null,620,null,6659,null,1421,null,4528,null,1225,null,3135,null,943,null,2131,null,791,null,1114,null,593,null,707,null,478,null,1017,null,490,null,643,null,405,null,0400000US45,South Carolina,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US46,South Dakota,46
14620,null,2264,null,4583,null,1473,null,2238,null,1055,null,2178,null,1054,null,2345,null,1109,null,1144,null,935,null,1089,null,927,null,1201,null,595,null,1201,null,595,null,10037,null,1536,null,6662,null,1236,null,4712,null,1104,null,3375,null,1058,null,1639,null,775,null,973,null,558,null,1736,null,696,null,1385,null,582,null,0400000US47,Tennessee,47
461037,null,10716,null,112957,null,5478,null,49934,null,4251,null,42304,null,4241,null,63023,null,3872,null,10665,null,1957,null,9705,null,1923,null,52358,null,3451,null,47264,null,3530,null,348080,null,8703,null,245712,null,7507,null,162910,null,6213,null,102368,null,5437,null,43652,null,3931,null,24608,null,3019,null,58716,null,4061,null,38847,null,3581,null,0400000US48,Texas,48
18284,null,1983,null,3884,null,1129,null,1309,null,654,null,899,null,497,null,2575,null,930,null,53,null,88,null,0,null,265,null,2522,null,927,null,2250,null,856,null,14400,null,1837,null,9887,null,1439,null,7273,null,1181,null,4513,null,1228,null,1960,null,803,null,1500,null,744,null,2553,null,879,null,1939,null,844,null,0400000US49,Utah,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,Vermont,50
33907,null,2906,null,3666,null,1008,null,1959,null,790,null,1801,null,760,null,1707,null,611,null,220,null,165,null,89,null,104,null,1487,null,600,null,1305,null,527,null,30241,null,3018,null,21946,null,2755,null,16704,null,2276,null,8295,null,1382,null,4126,null,1195,null,2695,null,1046,null,4169,null,999,null,2361,null,846,null,0400000US51,Virginia,51
49610,null,3557,null,11822,null,2128,null,3746,null,977,null,3357,null,940,null,8076,null,1838,null,1531,null,766,null,1428,null,742,null,6545,null,1649,null,6545,null,1649,null,37788,null,2877,null,28106,null,2482,null,21073,null,2406,null,9682,null,1680,null,4783,null,1358,null,2295,null,759,null,4899,null,1062,null,3765,null,963,null,0400000US53,Washington,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US54,West Virginia,54
12719,null,1563,null,2541,null,739,null,789,null,379,null,778,null,380,null,1752,null,661,null,414,null,315,null,414,null,315,null,1338,null,575,null,1233,null,568,null,10178,null,1492,null,7021,null,1068,null,4812,null,1009,null,3157,null,1016,null,1967,null,844,null,1270,null,768,null,1190,null,519,null,306,null,232,null,0400000US55,Wisconsin,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US56,Wyoming,56
73219,null,3515,null,35234,null,2473,null,11893,null,1281,null,4773,null,904,null,23341,null,1983,null,3859,null,955,null,3071,null,887,null,19482,null,1872,null,14901,null,1617,null,37985,null,2824,null,25580,null,2326,null,12550,null,1673,null,12405,null,1676,null,3390,null,857,null,1561,null,589,null,9015,null,1327,null,4729,null,1006,null,0400000US72,Puerto Rico,72
