B25032F_001E,B25032F_001EA,B25032F_001M,B25032F_001MA,B25032F_002E,B25032F_002EA,B25032F_002M,B25032F_002MA,B25032F_003E,B25032F_003EA,B25032F_003M,B25032F_003MA,B25032F_004E,B25032F_004EA,B25032F_004M,B25032F_004MA,B25032F_005E,B25032F_005EA,B25032F_005M,B25032F_005MA,B25032F_006E,B25032F_006EA,B25032F_006M,B25032F_006MA,B25032F_007E,B25032F_007EA,B25032F_007M,B25032F_007MA,B25032F_008E,B25032F_008EA,B25032F_008M,B25032F_008MA,B25032F_009E,B25032F_009EA,B25032F_009M,B25032F_009MA,B25032F_010E,B25032F_010EA,B25032F_010M,B25032F_010MA,B25032F_011E,B25032F_011EA,B25032F_011M,B25032F_011MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
207272,null,6269,null,88420,null,4314,null,8104,null,1588,null,34468,null,3407,null,31750,null,3358,null,19114,null,2920,null,8808,null,1730,null,7352,null,1581,null,5874,null,1512,null,3382,null,1090,null,0,null,269,null,0400000US17,Illinois,17
35911,null,2836,null,22557,null,2098,null,1522,null,793,null,1258,null,637,null,2085,null,766,null,2968,null,1059,null,1198,null,722,null,1434,null,706,null,454,null,313,null,2435,null,897,null,0,null,269,null,0400000US18,Indiana,18
12588,null,1422,null,7348,null,1423,null,392,null,324,null,938,null,543,null,638,null,398,null,349,null,493,null,203,null,213,null,639,null,435,null,93,null,159,null,1988,null,752,null,0,null,228,null,0400000US19,Iowa,19
17925,null,2070,null,11804,null,1877,null,1090,null,638,null,904,null,551,null,407,null,280,null,611,null,388,null,466,null,420,null,622,null,382,null,455,null,352,null,1566,null,581,null,0,null,244,null,0400000US20,Kansas,20
8813,null,1576,null,3395,null,1091,null,85,null,88,null,682,null,442,null,868,null,583,null,1254,null,687,null,1088,null,579,null,288,null,341,null,302,null,354,null,851,null,612,null,0,null,273,null,0400000US21,Kentucky,21
13440,null,1955,null,6093,null,1157,null,801,null,565,null,773,null,554,null,1838,null,815,null,1069,null,531,null,921,null,632,null,200,null,215,null,362,null,311,null,1291,null,663,null,92,null,155,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
40466,null,3238,null,15766,null,2188,null,7781,null,1361,null,124,null,167,null,896,null,546,null,5113,null,1268,null,7429,null,1410,null,1396,null,753,null,1484,null,606,null,425,null,347,null,52,null,86,null,0400000US24,Maryland,24
75054,null,4313,null,11515,null,1695,null,4175,null,1227,null,12915,null,2288,null,18623,null,2428,null,10227,null,1955,null,7138,null,1841,null,3815,null,1036,null,6646,null,1421,null,0,null,283,null,0,null,283,null,0400000US25,Massachusetts,25
34289,null,2980,null,20230,null,2492,null,1359,null,754,null,4474,null,1335,null,1187,null,485,null,1392,null,775,null,2182,null,906,null,131,null,212,null,268,null,223,null,3038,null,793,null,28,null,47,null,0400000US26,Michigan,26
18723,null,2020,null,8430,null,1315,null,905,null,448,null,944,null,602,null,1036,null,542,null,619,null,382,null,1501,null,669,null,1790,null,745,null,1872,null,799,null,1626,null,654,null,0,null,213,null,0400000US27,Minnesota,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,Mississippi,28
16942,null,2303,null,9995,null,1748,null,590,null,386,null,956,null,537,null,1060,null,562,null,703,null,417,null,576,null,326,null,1031,null,563,null,557,null,413,null,1474,null,641,null,0,null,259,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
12789,null,1690,null,8138,null,1339,null,74,null,123,null,372,null,278,null,635,null,432,null,1041,null,635,null,818,null,580,null,46,null,79,null,176,null,212,null,1489,null,606,null,0,null,228,null,0400000US31,Nebraska,31
31522,null,2838,null,21515,null,2622,null,1085,null,421,null,418,null,346,null,1770,null,673,null,2205,null,857,null,831,null,460,null,872,null,501,null,1086,null,463,null,1705,null,637,null,35,null,61,null,0400000US32,Nevada,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,New Hampshire,33
133643,null,5647,null,36545,null,2881,null,11467,null,1842,null,27983,null,2704,null,21710,null,2421,null,10564,null,1617,null,10304,null,1835,null,5537,null,1393,null,8430,null,1485,null,1103,null,693,null,0,null,279,null,0400000US34,New Jersey,34
79745,null,4110,null,48929,null,3448,null,2823,null,1067,null,915,null,430,null,3834,null,1188,null,2793,null,1067,null,2320,null,1120,null,2546,null,1017,null,987,null,615,null,14598,null,2394,null,0,null,283,null,0400000US35,New Mexico,35
420617,null,8347,null,49507,null,3262,null,15513,null,2336,null,51221,null,4546,null,47092,null,3549,null,31743,null,3303,null,23171,null,2697,null,84383,null,4740,null,116542,null,5718,null,937,null,521,null,508,null,432,null,0400000US36,New York,36
78413,null,3547,null,32040,null,2609,null,913,null,466,null,2218,null,955,null,3089,null,894,null,5095,null,1421,null,8333,null,1766,null,2657,null,1046,null,860,null,484,null,23208,null,2428,null,0,null,287,null,0400000US37,North Carolina,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,North Dakota,38
20604,null,1884,null,10837,null,1339,null,1190,null,419,null,1948,null,810,null,1592,null,620,null,1655,null,708,null,1859,null,794,null,268,null,268,null,705,null,434,null,550,null,511,null,0,null,267,null,0400000US39,Ohio,39
24969,null,2566,null,17280,null,2305,null,754,null,406,null,889,null,584,null,697,null,305,null,1295,null,738,null,765,null,517,null,330,null,300,null,327,null,336,null,2632,null,810,null,0,null,251,null,0400000US40,Oklahoma,40
36234,null,3327,null,13422,null,2013,null,1141,null,568,null,2833,null,1109,null,3967,null,1276,null,4789,null,1300,null,3538,null,1051,null,1836,null,804,null,1920,null,888,null,2788,null,784,null,0,null,275,null,0400000US41,Oregon,41
63068,null,4064,null,11816,null,1596,null,29828,null,2727,null,7103,null,1777,null,4100,null,1124,null,3911,null,1164,null,2473,null,1012,null,840,null,652,null,2299,null,952,null,698,null,538,null,0,null,246,null,0400000US42,Pennsylvania,42
19012,null,1807,null,4931,null,1241,null,1371,null,533,null,3180,null,1139,null,6551,null,1312,null,926,null,525,null,679,null,553,null,510,null,390,null,784,null,495,null,80,null,131,null,0,null,287,null,0400000US44,Rhode Island,44
14022,null,1829,null,6539,null,1452,null,77,null,103,null,300,null,426,null,354,null,235,null,454,null,308,null,866,null,476,null,435,null,232,null,54,null,66,null,4893,null,1374,null,50,null,93,null,0400000US45,South Carolina,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US46,South Dakota,46
17872,null,2410,null,9399,null,1569,null,601,null,408,null,639,null,431,null,169,null,183,null,2629,null,1148,null,1699,null,695,null,560,null,410,null,355,null,260,null,1821,null,824,null,0,null,283,null,0400000US47,Tennessee,47
580441,null,12289,null,348677,null,10036,null,14404,null,2200,null,13189,null,2128,null,21528,null,2961,null,35773,null,3697,null,52422,null,4494,null,25484,null,3176,null,24447,null,3116,null,44220,null,3627,null,297,null,222,null,0400000US48,Texas,48
21539,null,2396,null,11196,null,1458,null,1478,null,681,null,1575,null,704,null,1556,null,701,null,964,null,592,null,1363,null,638,null,1365,null,713,null,459,null,322,null,1583,null,622,null,0,null,265,null,0400000US49,Utah,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,Vermont,50
44411,null,3511,null,17793,null,2316,null,7631,null,1436,null,521,null,479,null,2090,null,652,null,4297,null,1257,null,5948,null,1330,null,1723,null,781,null,3006,null,984,null,1402,null,677,null,0,null,287,null,0400000US51,Virginia,51
60460,null,4026,null,30833,null,2878,null,1193,null,563,null,2398,null,1024,null,3053,null,979,null,4997,null,1205,null,4244,null,1130,null,3946,null,1201,null,1390,null,774,null,8301,null,1712,null,105,null,132,null,0400000US53,Washington,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US54,West Virginia,54
16203,null,1984,null,7976,null,1184,null,623,null,388,null,2407,null,891,null,1365,null,593,null,873,null,446,null,906,null,535,null,551,null,346,null,202,null,215,null,1300,null,708,null,0,null,216,null,0400000US55,Wisconsin,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US56,Wyoming,56
99740,null,4128,null,66046,null,3242,null,13897,null,1390,null,4319,null,928,null,2022,null,600,null,4978,null,1025,null,4825,null,840,null,1236,null,559,null,2259,null,736,null,158,null,190,null,0,null,289,null,0400000US72,Puerto Rico,72
