B16005C_001E,B16005C_001EA,B16005C_001M,B16005C_001MA,B16005C_002E,B16005C_002EA,B16005C_002M,B16005C_002MA,B16005C_003E,B16005C_003EA,B16005C_003M,B16005C_003MA,B16005C_004E,B16005C_004EA,B16005C_004M,B16005C_004MA,B16005C_005E,B16005C_005EA,B16005C_005M,B16005C_005MA,B16005C_006E,B16005C_006EA,B16005C_006M,B16005C_006MA,B16005C_007E,B16005C_007EA,B16005C_007M,B16005C_007MA,B16005C_008E,B16005C_008EA,B16005C_008M,B16005C_008MA,B16005C_009E,B16005C_009EA,B16005C_009M,B16005C_009MA,B16005C_010E,B16005C_010EA,B16005C_010M,B16005C_010MA,B16005C_011E,B16005C_011EA,B16005C_011M,B16005C_011MA,GEO_ID,NAME,state
21041,null,2639,null,18551,null,2289,null,15246,null,2009,null,3305,null,1192,null,3020,null,1214,null,285,null,225,null,2490,null,947,null,787,null,621,null,1703,null,774,null,729,null,508,null,974,null,549,null,0400000US13,Georgia,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US15,Hawaii,15
21455,null,3193,null,19997,null,2667,null,16437,null,2394,null,3560,null,1503,null,3044,null,1400,null,516,null,569,null,1458,null,1004,null,276,null,240,null,1182,null,929,null,381,null,444,null,801,null,693,null,0400000US16,Idaho,16
23468,null,2929,null,19420,null,2371,null,14429,null,2038,null,4991,null,1331,null,4296,null,1139,null,695,null,525,null,4048,null,1570,null,462,null,416,null,3586,null,1530,null,1206,null,866,null,2380,null,1042,null,0400000US17,Illinois,17
13085,null,2052,null,11800,null,1653,null,10602,null,1604,null,1198,null,497,null,888,null,503,null,310,null,225,null,1285,null,996,null,191,null,178,null,1094,null,961,null,0,null,269,null,1094,null,961,null,0400000US18,Indiana,18
9911,null,1753,null,8871,null,1400,null,7126,null,1306,null,1745,null,568,null,1555,null,524,null,190,null,243,null,1040,null,766,null,167,null,194,null,873,null,724,null,29,null,54,null,844,null,701,null,0400000US19,Iowa,19
21998,null,2117,null,21184,null,1940,null,19028,null,1889,null,2156,null,770,null,1900,null,733,null,256,null,205,null,814,null,717,null,113,null,151,null,701,null,698,null,191,null,321,null,510,null,567,null,0400000US20,Kansas,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US21,Kentucky,21
20524,null,2477,null,19090,null,2163,null,16305,null,1804,null,2785,null,917,null,2234,null,785,null,551,null,402,null,1434,null,1233,null,67,null,112,null,1367,null,1226,null,260,null,349,null,1107,null,1126,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
14788,null,2457,null,11212,null,1723,null,9061,null,1348,null,2151,null,1046,null,1767,null,916,null,384,null,336,null,3576,null,1461,null,444,null,286,null,3132,null,1469,null,710,null,542,null,2422,null,1165,null,0400000US24,Maryland,24
9216,null,1973,null,6765,null,1713,null,5592,null,1422,null,1173,null,709,null,767,null,461,null,406,null,356,null,2451,null,1295,null,401,null,297,null,2050,null,1263,null,801,null,637,null,1249,null,914,null,0400000US25,Massachusetts,25
46141,null,3080,null,44702,null,2987,null,40675,null,2865,null,4027,null,1398,null,3448,null,1382,null,579,null,291,null,1439,null,626,null,674,null,327,null,765,null,525,null,298,null,314,null,467,null,422,null,0400000US26,Michigan,26
50447,null,2422,null,49559,null,2383,null,44124,null,2577,null,5435,null,1233,null,4687,null,1187,null,748,null,462,null,888,null,448,null,613,null,407,null,275,null,245,null,161,null,176,null,114,null,162,null,0400000US27,Minnesota,27
12558,null,2400,null,11955,null,2325,null,6100,null,1792,null,5855,null,1197,null,5236,null,1217,null,619,null,471,null,603,null,496,null,38,null,72,null,565,null,500,null,225,null,256,null,340,null,352,null,0400000US28,Mississippi,28
18038,null,2205,null,17675,null,2206,null,16237,null,2065,null,1438,null,477,null,1296,null,440,null,142,null,135,null,363,null,342,null,57,null,95,null,306,null,323,null,167,null,164,null,139,null,202,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
15368,null,2513,null,13317,null,1949,null,11570,null,1631,null,1747,null,771,null,1661,null,771,null,86,null,98,null,2051,null,1066,null,0,null,228,null,2051,null,1066,null,369,null,437,null,1682,null,951,null,0400000US31,Nebraska,31
28345,null,2787,null,27422,null,2513,null,24044,null,2320,null,3378,null,1435,null,3068,null,1439,null,310,null,200,null,923,null,754,null,93,null,111,null,830,null,744,null,546,null,525,null,284,null,276,null,0400000US32,Nevada,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,New Hampshire,33
20537,null,2957,null,12258,null,1938,null,8441,null,1342,null,3817,null,1162,null,2385,null,928,null,1432,null,632,null,8279,null,2397,null,621,null,362,null,7658,null,2363,null,2006,null,946,null,5652,null,1898,null,0400000US34,New Jersey,34
170622,null,4779,null,168885,null,4516,null,69223,null,6108,null,99662,null,5876,null,83010,null,6049,null,16652,null,2317,null,1737,null,1183,null,547,null,754,null,1190,null,900,null,182,null,181,null,1008,null,823,null,0400000US35,New Mexico,35
60936,null,5152,null,46200,null,4767,null,36766,null,3943,null,9434,null,2063,null,6902,null,1605,null,2532,null,1018,null,14736,null,2486,null,4653,null,1964,null,10083,null,2358,null,2660,null,800,null,7423,null,2092,null,0400000US36,New York,36
93033,null,3679,null,90240,null,3360,null,85614,null,3380,null,4626,null,1389,null,3965,null,1383,null,661,null,469,null,2793,null,1373,null,354,null,421,null,2439,null,1342,null,267,null,250,null,2172,null,1267,null,0400000US37,North Carolina,37
32560,null,1487,null,32228,null,1518,null,30220,null,1533,null,2008,null,662,null,1713,null,589,null,295,null,245,null,332,null,286,null,202,null,221,null,130,null,189,null,130,null,189,null,0,null,208,null,0400000US38,North Dakota,38
19142,null,3019,null,18061,null,2770,null,14834,null,2147,null,3227,null,1322,null,2738,null,1274,null,489,null,321,null,1081,null,624,null,311,null,319,null,770,null,517,null,214,null,324,null,556,null,420,null,0400000US39,Ohio,39
204045,null,6524,null,203484,null,6476,null,191291,null,6266,null,12193,null,1734,null,10243,null,1639,null,1950,null,614,null,561,null,373,null,10,null,17,null,551,null,372,null,125,null,139,null,426,null,337,null,0400000US40,Oklahoma,40
44577,null,5368,null,38605,null,3628,null,31653,null,2794,null,6952,null,2424,null,6617,null,2419,null,335,null,225,null,5972,null,2604,null,663,null,486,null,5309,null,2625,null,1196,null,772,null,4113,null,2209,null,0400000US41,Oregon,41
15947,null,1912,null,13952,null,1696,null,10310,null,1452,null,3642,null,1125,null,2687,null,969,null,955,null,518,null,1995,null,961,null,1005,null,743,null,990,null,609,null,395,null,336,null,595,null,386,null,0400000US42,Pennsylvania,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US44,Rhode Island,44
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US45,South Carolina,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US46,South Dakota,46
12658,null,2176,null,11956,null,2152,null,10443,null,1862,null,1513,null,782,null,1206,null,753,null,307,null,262,null,702,null,684,null,117,null,344,null,585,null,582,null,92,null,150,null,493,null,562,null,0400000US47,Tennessee,47
127734,null,10238,null,105298,null,7843,null,72794,null,5753,null,32504,null,4570,null,24985,null,3832,null,7519,null,1859,null,22436,null,4726,null,1368,null,646,null,21068,null,4826,null,6719,null,2247,null,14349,null,3365,null,0400000US48,Texas,48
29221,null,2869,null,27772,null,2904,null,16272,null,3255,null,11500,null,1735,null,9872,null,1587,null,1628,null,844,null,1449,null,729,null,208,null,209,null,1241,null,700,null,781,null,634,null,460,null,390,null,0400000US49,Utah,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,Vermont,50
23800,null,3253,null,20268,null,2427,null,17860,null,2419,null,2408,null,950,null,1815,null,716,null,593,null,538,null,3532,null,1983,null,415,null,317,null,3117,null,1808,null,624,null,547,null,2493,null,1647,null,0400000US51,Virginia,51
80513,null,5015,null,77509,null,4613,null,70030,null,4354,null,7479,null,1997,null,6685,null,1973,null,794,null,431,null,3004,null,1638,null,800,null,453,null,2204,null,1686,null,774,null,525,null,1430,null,1248,null,0400000US53,Washington,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US54,West Virginia,54
44622,null,2350,null,43555,null,2304,null,37739,null,2469,null,5816,null,1240,null,5096,null,1246,null,720,null,292,null,1067,null,468,null,168,null,140,null,899,null,474,null,181,null,179,null,718,null,469,null,0400000US55,Wisconsin,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US56,Wyoming,56
7388,null,1960,null,6342,null,1737,null,583,null,556,null,5759,null,1725,null,974,null,678,null,4785,null,1493,null,1046,null,615,null,35,null,58,null,1011,null,619,null,0,null,289,null,1011,null,619,null,0400000US72,Puerto Rico,72
