B05003C_001E,B05003C_001EA,B05003C_001M,B05003C_001MA,B05003C_002E,B05003C_002EA,B05003C_002M,B05003C_002MA,B05003C_003E,B05003C_003EA,B05003C_003M,B05003C_003MA,B05003C_004E,B05003C_004EA,B05003C_004M,B05003C_004MA,B05003C_005E,B05003C_005EA,B05003C_005M,B05003C_005MA,B05003C_006E,B05003C_006EA,B05003C_006M,B05003C_006MA,B05003C_007E,B05003C_007EA,B05003C_007M,B05003C_007MA,B05003C_008E,B05003C_008EA,B05003C_008M,B05003C_008MA,B05003C_009E,B05003C_009EA,B05003C_009M,B05003C_009MA,B05003C_010E,B05003C_010EA,B05003C_010M,B05003C_010MA,B05003C_011E,B05003C_011EA,B05003C_011M,B05003C_011MA,B05003C_012E,B05003C_012EA,B05003C_012M,B05003C_012MA,B05003C_013E,B05003C_013EA,B05003C_013M,B05003C_013MA,B05003C_014E,B05003C_014EA,B05003C_014M,B05003C_014MA,B05003C_015E,B05003C_015EA,B05003C_015M,B05003C_015MA,B05003C_016E,B05003C_016EA,B05003C_016M,B05003C_016MA,B05003C_017E,B05003C_017EA,B05003C_017M,B05003C_017MA,B05003C_018E,B05003C_018EA,B05003C_018M,B05003C_018MA,B05003C_019E,B05003C_019EA,B05003C_019M,B05003C_019MA,B05003C_020E,B05003C_020EA,B05003C_020M,B05003C_020MA,B05003C_021E,B05003C_021EA,B05003C_021M,B05003C_021MA,B05003C_022E,B05003C_022EA,B05003C_022M,B05003C_022MA,B05003C_023E,B05003C_023EA,B05003C_023M,B05003C_023MA,GEO_ID,NAME,state
22599,null,2671,null,11821,null,1791,null,2956,null,950,null,2741,null,928,null,215,null,260,null,100,null,171,null,115,null,190,null,8865,null,1559,null,7664,null,1276,null,1201,null,691,null,512,null,540,null,689,null,379,null,10778,null,1882,null,2695,null,817,null,2297,null,756,null,398,null,303,null,125,null,150,null,273,null,260,null,8083,null,1651,null,7242,null,1478,null,841,null,462,null,193,null,195,null,648,null,424,null,0400000US13,Georgia,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
24655,null,3029,null,13024,null,1991,null,2145,null,712,null,1954,null,690,null,191,null,206,null,101,null,126,null,90,null,153,null,10879,null,1712,null,8607,null,1470,null,2272,null,977,null,754,null,412,null,1518,null,827,null,11631,null,1753,null,2949,null,849,null,2856,null,834,null,93,null,100,null,0,null,269,null,93,null,100,null,8682,null,1336,null,7119,null,1276,null,1563,null,621,null,682,null,403,null,881,null,475,null,0400000US17,Illinois,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US18,Indiana,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US19,Iowa,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US20,Kansas,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US21,Kentucky,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
16146,null,2728,null,7471,null,1557,null,1894,null,757,null,1819,null,759,null,75,null,128,null,75,null,128,null,0,null,285,null,5577,null,1365,null,3648,null,935,null,1929,null,925,null,478,null,360,null,1451,null,783,null,8675,null,1589,null,2469,null,813,null,2121,null,718,null,348,null,337,null,57,null,99,null,291,null,333,null,6206,null,1227,null,4982,null,944,null,1224,null,602,null,382,null,298,null,842,null,420,null,0400000US24,Maryland,24
9887,null,2066,null,4768,null,1308,null,1231,null,563,null,1036,null,580,null,195,null,190,null,195,null,190,null,0,null,283,null,3537,null,902,null,2730,null,753,null,807,null,585,null,131,null,155,null,676,null,576,null,5119,null,1299,null,766,null,486,null,716,null,477,null,50,null,85,null,50,null,85,null,0,null,283,null,4353,null,1190,null,2954,null,832,null,1399,null,978,null,913,null,678,null,486,null,403,null,0400000US25,Massachusetts,25
49871,null,3328,null,25169,null,2449,null,7034,null,1206,null,6888,null,1178,null,146,null,175,null,25,null,43,null,121,null,171,null,18135,null,2266,null,17745,null,2243,null,390,null,278,null,178,null,213,null,212,null,154,null,24702,null,1923,null,5672,null,1051,null,5620,null,1043,null,52,null,87,null,52,null,87,null,0,null,244,null,19030,null,1577,null,18127,null,1564,null,903,null,436,null,283,null,220,null,620,null,376,null,0400000US26,Michigan,26
55102,null,2762,null,23821,null,1648,null,7727,null,1043,null,7690,null,1024,null,37,null,65,null,37,null,65,null,0,null,213,null,16094,null,1168,null,15720,null,1130,null,374,null,326,null,358,null,322,null,16,null,29,null,31281,null,2275,null,9107,null,1299,null,8930,null,1295,null,177,null,170,null,177,null,170,null,0,null,213,null,22174,null,1781,null,21832,null,1733,null,342,null,276,null,189,null,197,null,153,null,185,null,0400000US27,Minnesota,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,Mississippi,28
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
16774,null,2724,null,8444,null,1519,null,2836,null,635,null,2836,null,635,null,0,null,228,null,0,null,228,null,0,null,228,null,5608,null,1284,null,4145,null,860,null,1463,null,947,null,394,null,289,null,1069,null,776,null,8330,null,1755,null,3447,null,855,null,3447,null,855,null,0,null,228,null,0,null,228,null,0,null,228,null,4883,null,1157,null,4295,null,931,null,588,null,495,null,43,null,76,null,545,null,491,null,0400000US31,Nebraska,31
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US32,Nevada,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,New Hampshire,33
22927,null,3207,null,11998,null,2069,null,2476,null,873,null,1931,null,758,null,545,null,370,null,186,null,184,null,359,null,310,null,9522,null,1981,null,4871,null,1138,null,4651,null,1688,null,1229,null,588,null,3422,null,1460,null,10929,null,1921,null,3196,null,1013,null,2580,null,757,null,616,null,570,null,236,null,228,null,380,null,515,null,7733,null,1410,null,4940,null,1225,null,2793,null,894,null,518,null,314,null,2275,null,816,null,0400000US34,New Jersey,34
188420,null,5705,null,90511,null,3111,null,29379,null,2104,null,29119,null,2062,null,260,null,381,null,260,null,381,null,0,null,283,null,61132,null,2002,null,60320,null,1859,null,812,null,587,null,253,null,228,null,559,null,491,null,97909,null,3559,null,28879,null,2303,null,28879,null,2303,null,0,null,283,null,0,null,283,null,0,null,283,null,69030,null,2316,null,68365,null,2243,null,665,null,436,null,210,null,213,null,455,null,376,null,0400000US35,New Mexico,35
64231,null,5162,null,31428,null,3376,null,7210,null,1683,null,7084,null,1678,null,126,null,151,null,76,null,127,null,50,null,83,null,24218,null,2712,null,17254,null,2324,null,6964,null,1602,null,2669,null,1126,null,4295,null,1292,null,32803,null,2741,null,6243,null,1284,null,6019,null,1254,null,224,null,238,null,224,null,238,null,0,null,277,null,26560,null,2360,null,19138,null,2042,null,7422,null,1513,null,3329,null,938,null,4093,null,1010,null,0400000US36,New York,36
100271,null,3712,null,47315,null,2679,null,14896,null,1360,null,14547,null,1341,null,349,null,350,null,0,null,287,null,349,null,350,null,32419,null,2116,null,31195,null,1955,null,1224,null,645,null,193,null,253,null,1031,null,582,null,52956,null,2698,null,11254,null,1322,null,10940,null,1328,null,314,null,348,null,0,null,287,null,314,null,348,null,41702,null,2286,null,40701,null,2235,null,1001,null,647,null,0,null,287,null,1001,null,647,null,0400000US37,North Carolina,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,North Dakota,38
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US39,Ohio,39
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US40,Oklahoma,40
48611,null,6003,null,25182,null,3842,null,7973,null,1748,null,7389,null,1692,null,584,null,534,null,0,null,275,null,584,null,534,null,17209,null,2813,null,14225,null,1929,null,2984,null,1686,null,695,null,475,null,2289,null,1580,null,23429,null,3662,null,7168,null,2191,null,6817,null,2139,null,351,null,388,null,187,null,314,null,164,null,213,null,16261,null,2114,null,14208,null,1775,null,2053,null,1052,null,748,null,469,null,1305,null,904,null,0400000US41,Oregon,41
16761,null,1947,null,8607,null,1417,null,1663,null,497,null,1421,null,462,null,242,null,227,null,242,null,227,null,0,null,246,null,6944,null,1334,null,6021,null,1142,null,923,null,696,null,695,null,673,null,228,null,179,null,8154,null,1193,null,1697,null,629,null,1494,null,615,null,203,null,198,null,203,null,198,null,0,null,246,null,6457,null,1002,null,5724,null,931,null,733,null,407,null,659,null,389,null,74,null,112,null,0400000US42,Pennsylvania,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US44,Rhode Island,44
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US45,South Carolina,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US46,South Dakota,46
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US47,Tennessee,47
139030,null,11206,null,69378,null,6302,null,20466,null,2682,null,19208,null,2508,null,1258,null,674,null,78,null,128,null,1180,null,656,null,48912,null,4496,null,36701,null,3303,null,12211,null,2344,null,2347,null,848,null,9864,null,2319,null,69652,null,6113,null,19207,null,3003,null,18326,null,2911,null,881,null,537,null,51,null,90,null,830,null,528,null,50445,null,4092,null,42281,null,3412,null,8164,null,2243,null,2391,null,905,null,5773,null,1804,null,0400000US48,Texas,48
31222,null,2922,null,16105,null,1900,null,5697,null,1051,null,5697,null,1051,null,0,null,265,null,0,null,265,null,0,null,265,null,10408,null,1436,null,9665,null,1402,null,743,null,437,null,348,null,323,null,395,null,363,null,15117,null,1735,null,4956,null,1138,null,4956,null,1138,null,0,null,265,null,0,null,265,null,0,null,265,null,10161,null,1202,null,9455,null,1206,null,706,null,504,null,384,null,323,null,322,null,383,null,0400000US49,Utah,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,Vermont,50
25006,null,3732,null,12639,null,2620,null,3227,null,1174,null,2806,null,1104,null,421,null,388,null,124,null,154,null,297,null,346,null,9412,null,2081,null,7643,null,1306,null,1769,null,1396,null,281,null,311,null,1488,null,1335,null,12367,null,1825,null,2966,null,985,null,2918,null,969,null,48,null,80,null,0,null,287,null,48,null,80,null,9401,null,1358,null,8035,null,1390,null,1366,null,745,null,587,null,472,null,779,null,505,null,0400000US51,Virginia,51
87973,null,5620,null,47221,null,3925,null,14867,null,2405,null,14353,null,2131,null,514,null,815,null,0,null,273,null,514,null,815,null,32354,null,2428,null,31085,null,2303,null,1269,null,585,null,413,null,349,null,856,null,534,null,40752,null,2861,null,9961,null,1463,null,9828,null,1426,null,133,null,149,null,8,null,16,null,125,null,148,null,30791,null,2070,null,29633,null,2123,null,1158,null,593,null,355,null,257,null,803,null,492,null,0400000US53,Washington,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US54,West Virginia,54
48448,null,2519,null,25310,null,1794,null,8170,null,919,null,8003,null,901,null,167,null,174,null,167,null,174,null,0,null,216,null,17140,null,1718,null,16688,null,1713,null,452,null,346,null,122,null,135,null,330,null,314,null,23138,null,1510,null,7082,null,1031,null,7082,null,1031,null,0,null,216,null,0,null,216,null,0,null,216,null,16056,null,1027,null,15533,null,1017,null,523,null,276,null,101,null,148,null,422,null,242,null,0400000US55,Wisconsin,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US56,Wyoming,56
8009,null,2172,null,3863,null,1189,null,985,null,647,null,908,null,658,null,77,null,127,null,0,null,289,null,77,null,127,null,2878,null,1082,null,2679,null,1028,null,199,null,172,null,199,null,172,null,0,null,289,null,4146,null,1284,null,1511,null,569,null,1304,null,574,null,207,null,214,null,79,null,132,null,128,null,169,null,2635,null,831,null,2039,null,689,null,596,null,439,null,165,null,150,null,431,null,360,null,0400000US72,Puerto Rico,72
