B10051B_001E,B10051B_001EA,B10051B_001M,B10051B_001MA,B10051B_002E,B10051B_002EA,B10051B_002M,B10051B_002MA,B10051B_003E,B10051B_003EA,B10051B_003M,B10051B_003MA,B10051B_004E,B10051B_004EA,B10051B_004M,B10051B_004MA,B10051B_005E,B10051B_005EA,B10051B_005M,B10051B_005MA,B10051B_006E,B10051B_006EA,B10051B_006M,B10051B_006MA,B10051B_007E,B10051B_007EA,B10051B_007M,B10051B_007MA,GEO_ID,NAME,state
104899,null,5725,null,41501,null,3722,null,24390,null,3242,null,17111,null,2140,null,63398,null,4820,null,27478,null,3282,null,35920,null,4075,null,0400000US36,New York,36
69905,null,4993,null,40120,null,4038,null,28666,null,3532,null,11454,null,1977,null,29785,null,3065,null,17050,null,2481,null,12735,null,2066,null,0400000US37,North Carolina,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,North Dakota,38
34186,null,3493,null,19387,null,2558,null,14962,null,2296,null,4425,null,941,null,14799,null,2325,null,8771,null,1813,null,6028,null,1513,null,0400000US39,Ohio,39
8108,null,1712,null,4650,null,1206,null,2731,null,881,null,1919,null,687,null,3458,null,1174,null,2368,null,1052,null,1090,null,509,null,0400000US40,Oklahoma,40
1014,null,469,null,361,null,294,null,361,null,294,null,0,null,275,null,653,null,320,null,240,null,224,null,413,null,250,null,0400000US41,Oregon,41
41995,null,3557,null,21007,null,2827,null,14574,null,2494,null,6433,null,1413,null,20988,null,2853,null,10308,null,1993,null,10680,null,2056,null,0400000US42,Pennsylvania,42
2005,null,894,null,980,null,605,null,514,null,388,null,466,null,408,null,1025,null,656,null,426,null,397,null,599,null,416,null,0400000US44,Rhode Island,44
45553,null,3464,null,22762,null,2500,null,15717,null,2060,null,7045,null,1223,null,22791,null,2735,null,13511,null,2121,null,9280,null,1669,null,0400000US45,South Carolina,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US46,South Dakota,46
36642,null,3501,null,18118,null,2608,null,14146,null,2504,null,3972,null,829,null,18524,null,2565,null,11191,null,2181,null,7333,null,1494,null,0400000US47,Tennessee,47
95253,null,6560,null,53106,null,5104,null,38517,null,4469,null,14589,null,1799,null,42147,null,3736,null,24781,null,2942,null,17366,null,2183,null,0400000US48,Texas,48
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US49,Utah,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,Vermont,50
42612,null,4331,null,19517,null,3095,null,13460,null,2535,null,6057,null,1315,null,23095,null,2823,null,13184,null,1939,null,9911,null,1823,null,0400000US51,Virginia,51
4143,null,1175,null,1767,null,643,null,1309,null,555,null,458,null,324,null,2376,null,1035,null,1201,null,889,null,1175,null,623,null,0400000US53,Washington,53
1701,null,584,null,1032,null,481,null,821,null,469,null,211,null,234,null,669,null,377,null,254,null,205,null,415,null,316,null,0400000US54,West Virginia,54
10842,null,1598,null,5871,null,1102,null,4393,null,997,null,1478,null,501,null,4971,null,1434,null,3138,null,1165,null,1833,null,722,null,0400000US55,Wisconsin,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US56,Wyoming,56
10904,null,1724,null,4897,null,1008,null,2754,null,794,null,2143,null,660,null,6007,null,1209,null,2538,null,860,null,3469,null,870,null,0400000US72,Puerto Rico,72
