GEO_ID,B08105F_001E,B08105F_001M,B08105F_002E,B08105F_002M,B08105F_003E,B08105F_003M,B08105F_004E,B08105F_004M,B08105F_005E,B08105F_005M,B08105F_006E,B08105F_006M,B08105F_007E,B08105F_007M,NAME,B08105F_001EA,B08105F_001MA,B08105F_002MA,B08105F_002EA,B08105F_003MA,B08105F_003EA,B08105F_004MA,B08105F_004EA,B08105F_005EA,B08105F_005MA,B08105F_006EA,B08105F_006MA,B08105F_007MA,B08105F_007EA,state
0400000US17,401385,15444,246929,11049,80302,8085,47219,5741,14480,3075,7711,2178,4744,1229,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,58678,4259,42645,3482,11883,2058,946,453,1636,978,1265,435,303,244,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,18942,2468,12045,2154,4681,1146,129,190,723,555,1122,803,242,217,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,49823,4002,34881,3446,10095,2280,265,291,1475,729,2425,1035,682,399,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,16717,2453,11434,1907,3810,1261,71,116,477,367,682,498,243,221,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,82271,5870,39091,3915,23309,4160,14042,2638,3003,1512,872,410,1954,792,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,114303,11155,67242,7613,20546,3180,15377,3516,7721,3097,1929,937,1488,687,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,64292,4267,47966,3808,10922,2150,979,789,2278,757,1125,813,1022,451,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,44399,4976,27280,3808,10149,2647,3763,1473,1539,727,539,389,1129,635,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,9615,1837,5252,1241,3928,1252,0,288,221,226,214,171,0,288,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,26113,2968,15926,2018,6657,1674,350,329,1102,681,470,530,1608,683,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,20321,2262,14353,1768,4527,1156,151,187,948,613,127,147,215,248,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,65052,6090,43729,4133,13867,2627,3118,1020,2406,977,724,461,1208,712,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,302419,11482,154998,7550,52943,6202,54721,5643,22021,3887,12669,2984,5067,1600,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,120638,6869,91841,5903,22054,2911,1021,569,1110,469,886,426,3726,1040,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,683028,18391,188501,8124,57987,5588,347492,13749,53810,5302,14737,2391,20501,3087,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,121889,7781,70798,5497,41628,4458,1059,588,3688,1684,2955,1615,1761,1068,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,49779,3884,33601,3021,11967,2493,862,388,1385,559,1019,596,945,439,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,45530,4330,33129,3877,9660,1867,312,370,892,724,566,375,971,647,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,55996,5714,34758,4267,15503,3302,2878,1038,1395,745,702,367,760,537,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,83171,5926,49575,4523,15037,2308,10470,2393,5615,1590,1287,661,1187,593,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,32460,4168,20356,3357,6197,2051,2790,1483,1647,1247,777,572,693,475,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,28952,3302,12902,1561,13535,2382,136,228,1030,752,1081,558,268,228,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,33825,3918,21819,3171,10730,2415,43,86,622,534,446,421,165,166,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,1061438,20698,784486,16473,198221,10128,21327,3740,14123,2107,25423,3901,17858,2433,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,46390,4183,32984,3775,7724,1718,2235,1079,1569,661,246,199,1632,716,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,89942,6227,48380,4626,28112,4287,5139,1557,3683,1319,1625,816,3003,1407,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,105699,6964,68269,5439,25927,3603,5926,1936,2255,873,1916,784,1406,568,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,47030,3804,33593,3158,8354,1944,1800,737,2159,962,537,354,587,308,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,133054,7253,95208,6111,17356,2183,5610,1300,6029,1274,6383,1443,2468,840,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
