C21001F_008E,C21001F_008M,C21001F_009E,C21001F_009M,C21001F_010E,C21001F_010M,C21001F_011E,C21001F_011M,C21001F_012E,C21001F_012M,C21001F_013E,C21001F_013M,C21001F_014E,C21001F_014M,C21001F_015E,C21001F_015M,GEO_ID,C21001F_001E,C21001F_001M,C21001F_002E,C21001F_002M,C21001F_003E,C21001F_003M,C21001F_004E,C21001F_004M,C21001F_005E,C21001F_005M,C21001F_006E,C21001F_006M,C21001F_007E,C21001F_007M,C21001F_008EA,C21001F_008MA,C21001F_009EA,C21001F_009MA,C21001F_010EA,C21001F_010MA,C21001F_011EA,C21001F_011MA,C21001F_012EA,C21001F_012MA,C21001F_013EA,C21001F_013MA,C21001F_014EA,C21001F_014MA,C21001F_015MA,C21001F_015EA,NAME,C21001F_001EA,C21001F_001MA,C21001F_002EA,C21001F_002MA,C21001F_003EA,C21001F_003MA,C21001F_004EA,C21001F_004MA,C21001F_005MA,C21001F_005EA,C21001F_006MA,C21001F_006EA,C21001F_007MA,C21001F_007EA,state
3207,994,81214,5929,76067,5804,1034,681,75033,5738,5147,1210,0,224,5147,1210,0400000US13,175462,11419,94248,7220,90905,6843,1814,826,89091,6669,3343,998,136,128,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
195,155,7375,1347,7141,1307,1075,714,6066,1076,234,166,0,187,234,166,0400000US15,13596,2332,6221,1412,5942,1379,2057,928,3885,1166,279,194,84,105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
934,534,19478,3069,18694,2987,137,168,18557,2992,784,449,0,201,784,449,0400000US16,41338,5202,21860,3035,20476,2948,245,194,20231,2949,1384,748,450,429,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
18033,1930,263087,9390,240374,8900,538,413,239836,8898,22713,1996,112,140,22601,1976,0400000US17,545841,17171,282754,9636,262788,9282,4564,1192,258224,9301,19966,1978,1933,799,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
1859,611,41035,3029,38517,3011,342,302,38175,3028,2518,715,0,197,2518,715,0400000US18,83945,5151,42910,3095,39996,3078,3187,1347,36809,3140,2914,728,1055,591,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
654,382,13961,2112,13557,2044,0,163,13557,2044,404,281,0,163,404,281,0400000US19,28972,3841,15011,2417,14242,2287,240,204,14002,2286,769,418,115,148,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
1137,472,20836,2386,18810,2217,42,66,18768,2217,2026,548,0,177,2026,548,0400000US20,48141,4627,27305,2877,25803,2853,934,482,24869,2759,1502,496,365,229,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
298,251,10466,2027,10083,2036,153,198,9930,1993,383,276,0,195,383,276,0400000US21,26854,3842,16388,2440,16072,2414,681,512,15391,2386,316,264,18,34,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
929,535,23863,2874,22359,2702,293,281,22066,2693,1504,677,0,214,1504,677,0400000US22,51288,5149,27425,3149,26074,3134,1006,639,25068,3159,1351,618,422,297,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
3502,975,91880,4480,86229,3917,607,525,85622,3871,5651,1264,36,57,5615,1267,0400000US24,200253,8813,108373,5478,104209,5378,2100,836,102109,5322,4164,956,662,411,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
4661,957,92671,6146,83771,5755,328,378,83443,5701,8900,1465,39,66,8861,1464,0400000US25,187907,11360,95236,6966,89772,6754,3225,1144,86547,6830,5464,1002,803,401,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
1733,560,39326,3288,35468,2987,573,433,34895,2935,3858,907,35,59,3823,909,0400000US26,79498,5615,40172,3443,37859,3202,1300,447,36559,3157,2313,605,580,308,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
1055,470,31241,2813,29458,2873,12,23,29446,2874,1783,573,0,153,1783,573,0400000US27,71325,4818,40084,2766,38723,2747,1349,597,37374,2676,1361,532,306,242,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
593,370,24158,2547,22526,2371,90,113,22436,2367,1632,600,0,190,1632,600,0400000US29,50232,5041,26074,3218,25164,3169,2011,1068,23153,3037,910,439,317,251,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
195,193,11285,1749,10869,1720,33,56,10836,1720,416,298,0,163,416,298,0400000US31,25079,2951,13794,1739,13546,1726,228,166,13318,1712,248,205,53,74,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
6458,1392,117325,6743,107641,6422,290,344,107351,6419,9684,1359,0,211,9684,1359,0400000US32,233189,11486,115864,6160,107865,5834,3417,1140,104448,5920,7999,1414,1541,615,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
14647,1927,188956,8114,168836,7596,628,363,168208,7590,20120,2320,40,65,20080,2322,0400000US34,384458,14562,195502,8268,179148,7953,3811,1187,175337,7902,16354,1994,1707,622,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
5183,881,58449,5076,48050,4630,412,329,47638,4537,10399,1317,136,220,10263,1355,0400000US35,120578,8073,62129,4483,53286,4387,2247,737,51039,4158,8843,1173,3660,896,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
50540,4045,676572,16072,590127,15572,1136,599,588991,15644,86445,3940,147,167,86298,3973,0400000US36,1301790,28830,625218,16448,570348,15376,10426,2527,559922,14968,54870,3985,4330,965,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
2298,765,92961,5806,89237,5411,782,507,88455,5478,3724,1342,97,161,3627,1324,0400000US37,190400,10537,97439,6087,94249,5785,3389,1020,90860,5892,3190,918,892,611,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
1920,671,33862,3204,30958,3158,593,425,30365,3147,2904,709,58,91,2846,690,0400000US39,75851,5593,41989,3403,39733,3446,1813,724,37920,3523,2256,696,336,197,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
1725,450,32334,2728,29782,2651,99,116,29683,2644,2552,637,16,26,2536,636,0400000US40,73862,4805,41528,3256,38944,3261,1195,501,37749,3217,2584,549,859,411,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
1599,588,41108,3922,39229,3817,166,210,39063,3824,1879,815,0,207,1879,815,0400000US41,83859,7876,42751,4727,40205,4695,1115,628,39090,4545,2546,878,947,589,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
4597,986,80507,5500,74699,5123,282,239,74417,5117,5808,1531,0,179,5808,1531,0400000US42,170036,10197,89529,6251,84387,6166,2649,938,81738,6263,5142,946,545,319,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
1101,586,17688,2550,15927,2350,0,217,15927,2350,1761,651,0,217,1761,651,0400000US44,33978,4857,16290,2863,15189,2634,545,489,14644,2639,1101,586,0,217,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
658,403,23508,3033,22276,2926,172,182,22104,2951,1232,674,0,211,1232,674,0400000US45,53361,5611,29853,3352,29132,3225,1246,759,27886,3135,721,453,63,104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
793,487,24044,2746,23186,2673,146,153,23040,2678,858,525,0,208,858,525,0400000US47,56029,5632,31985,3730,31057,3694,871,447,30186,3661,928,509,135,180,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
40409,3499,570859,17415,514311,16951,3634,956,510677,16865,56548,4559,1236,1308,55312,4318,0400000US48,1181899,33177,611040,19076,563369,18625,23070,3179,540299,18189,47671,3946,7262,1245,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
2168,821,53242,3368,50980,3280,42,67,50938,3276,2262,804,0,192,2262,804,0400000US49,116471,6123,63229,3792,60213,3594,1040,483,59173,3643,3016,947,848,515,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
2586,941,71090,5361,66751,5170,1740,848,65011,5095,4339,1202,0,204,4339,1202,0400000US51,146323,9841,75233,5636,72528,5530,4906,1482,67622,5459,2705,962,119,146,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
5266,1318,102065,5886,94509,5499,1721,800,92788,5421,7556,1358,261,189,7295,1347,0400000US53,222132,9903,120067,5627,113048,5459,2850,867,110198,5364,7019,1551,1753,748,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
2012,701,39401,3724,37564,3593,197,250,37367,3538,1837,667,0,151,1837,667,0400000US55,82921,6264,43520,3426,40816,3326,939,445,39877,3238,2704,826,692,475,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
37928,2984,216271,10077,170490,8853,595,720,169895,8808,45781,3327,175,169,45606,3329,0400000US72,420760,16504,204489,8368,163200,7263,2977,1088,160223,7450,41289,3098,3361,996,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
