B21001C_013M,B21001C_014E,B21001C_014M,B21001C_015E,B21001C_015M,B21001C_016E,B21001C_016M,B21001C_017E,B21001C_017M,B21001C_018E,B21001C_018M,B21001C_019E,B21001C_019M,B21001C_020E,B21001C_020M,B21001C_021E,B21001C_021M,B21001C_022E,B21001C_022M,B21001C_023E,B21001C_023M,B21001C_024E,B21001C_024M,B21001C_025E,B21001C_025M,B21001C_026E,B21001C_026M,B21001C_027E,B21001C_027M,B21001C_028E,B21001C_028M,B21001C_029E,B21001C_029M,B21001C_030E,B21001C_030M,B21001C_031E,B21001C_031M,B21001C_032E,B21001C_032M,B21001C_033E,B21001C_033M,GEO_ID,B21001C_001E,B21001C_001M,B21001C_002E,B21001C_002M,B21001C_003E,B21001C_003M,B21001C_004E,B21001C_004M,B21001C_005E,B21001C_005M,B21001C_006E,B21001C_006M,B21001C_007E,B21001C_007M,B21001C_008E,B21001C_008M,B21001C_009E,B21001C_009M,B21001C_010E,B21001C_010M,B21001C_011E,B21001C_011M,B21001C_012E,B21001C_012M,B21001C_013E,B21001C_013MA,B21001C_014MA,B21001C_014EA,B21001C_015EA,B21001C_015MA,B21001C_016MA,B21001C_016EA,B21001C_017MA,B21001C_017EA,B21001C_018MA,B21001C_018EA,B21001C_019MA,B21001C_019EA,B21001C_020EA,B21001C_020MA,B21001C_021MA,B21001C_021EA,B21001C_022MA,B21001C_022EA,B21001C_023MA,B21001C_023EA,B21001C_024MA,B21001C_024EA,B21001C_025MA,B21001C_025EA,B21001C_026EA,B21001C_026MA,B21001C_027EA,B21001C_027MA,B21001C_028EA,B21001C_028MA,B21001C_029MA,B21001C_029EA,B21001C_030MA,B21001C_030EA,B21001C_031EA,B21001C_031MA,B21001C_032EA,B21001C_032MA,B21001C_033EA,B21001C_033MA,NAME,B21001C_001MA,B21001C_001EA,B21001C_002MA,B21001C_002EA,B21001C_003MA,B21001C_003EA,B21001C_004EA,B21001C_004MA,B21001C_005EA,B21001C_005MA,B21001C_006MA,B21001C_006EA,B21001C_007MA,B21001C_007EA,B21001C_008MA,B21001C_008EA,B21001C_009EA,B21001C_009MA,B21001C_010MA,B21001C_010EA,B21001C_011MA,B21001C_011EA,B21001C_012EA,B21001C_012MA,B21001C_013EA,state
277,83,141,259,245,159,201,100,130,7230,1481,1821,886,0,300,1821,886,3571,926,144,167,3427,931,1212,709,0,300,1212,709,482,267,0,300,482,267,144,149,0,300,144,149,0400000US13,16077,2404,8847,1709,2393,751,162,201,2231,702,4419,1245,1093,485,3326,1104,1355,579,432,251,923,568,421,308,338,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
154,377,222,274,209,243,211,31,59,6996,1087,2968,714,28,47,2940,709,2457,636,0,267,2457,636,793,328,30,55,763,329,558,339,0,267,558,339,220,181,0,267,220,181,0400000US16,14632,1369,7636,1147,2625,674,0,267,2625,674,2951,817,591,611,2360,789,1233,512,372,332,861,373,553,245,176,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
267,398,240,122,142,87,121,35,71,11031,1637,3186,883,117,147,3069,885,5474,1073,0,267,5474,1073,1442,552,0,267,1442,552,757,412,0,267,757,412,172,148,0,267,172,148,0400000US17,21516,2639,10485,1589,3429,974,70,123,3359,963,5273,1136,1044,586,4229,1028,1263,641,422,261,841,600,398,240,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
290,69,88,80,97,80,97,0,267,6100,1151,1614,554,34,59,1580,551,2638,797,81,126,2557,805,1111,479,27,50,1084,474,461,288,0,267,461,288,276,227,0,267,276,227,0400000US18,12417,1674,6317,1074,2019,640,232,305,1787,608,2749,688,519,381,2230,681,969,495,521,420,448,278,500,299,431,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
185,0,228,59,92,9,19,50,82,3075,739,1569,498,77,130,1492,493,938,416,71,81,867,408,445,245,0,228,445,245,55,62,0,228,55,62,68,56,0,228,68,56,0400000US19,6330,986,3255,638,1661,451,64,67,1597,457,839,281,176,156,663,235,478,254,169,128,309,215,218,185,218,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
175,121,112,179,139,76,108,103,98,9041,1078,3627,839,135,181,3492,837,3621,945,85,103,3536,927,1167,488,0,248,1167,488,328,234,0,248,328,234,298,217,0,248,298,217,0400000US20,17077,1698,8036,1191,3711,965,107,149,3604,949,2593,640,199,159,2394,590,1257,427,399,295,858,389,296,224,175,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
202,364,234,181,137,84,79,97,109,9789,1370,3261,836,71,108,3190,832,3806,807,11,20,3795,806,1403,550,0,281,1403,550,1031,579,56,76,975,580,288,222,0,281,288,222,0400000US22,20156,2412,10367,1703,4175,1251,335,297,3840,1206,4197,909,577,427,3620,793,1077,447,276,252,801,356,737,264,373,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
108,50,70,353,380,266,344,87,147,6222,1591,2041,941,175,255,1866,891,2617,887,47,80,2570,874,742,389,0,289,742,389,462,384,0,289,462,384,360,262,0,289,360,262,0400000US24,14618,3389,8396,2485,3308,1497,138,136,3170,1505,3490,1511,362,268,3128,1479,1109,477,337,234,772,397,136,140,86,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
420,104,110,401,292,280,245,121,150,5207,1269,1697,700,0,285,1697,700,2145,693,152,167,1993,705,704,319,0,285,704,319,469,327,0,285,469,327,192,219,0,285,192,219,0400000US25,10416,1792,5209,1123,1771,640,124,140,1647,633,1695,580,274,208,1421,508,567,300,143,188,424,249,775,427,671,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
399,870,445,825,423,622,397,203,161,20662,1586,5833,837,85,102,5748,832,9584,1190,703,440,8881,1164,3071,603,13,23,3058,601,1420,423,67,79,1353,407,754,386,0,244,754,386,0400000US26,41658,3135,20996,2610,5789,1745,15,95,5774,1680,9452,1443,1522,569,7930,1299,3295,742,1554,528,1741,520,1635,643,765,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
259,561,288,424,300,263,243,161,152,19924,1470,6714,823,140,147,6574,828,8129,1018,131,118,7998,1032,3476,691,13,25,3463,687,1184,361,0,211,1184,361,421,223,0,211,421,223,0400000US27,38699,2320,18775,1643,7420,1053,136,121,7284,1037,7224,973,1102,415,6122,927,2592,485,1072,316,1520,479,1115,385,554,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
304,260,171,465,230,311,177,154,158,9267,1342,3412,900,0,259,3412,900,3439,734,319,308,3120,700,1441,660,0,259,1441,660,409,252,0,259,409,252,566,273,0,259,566,273,0400000US29,16957,2128,7690,1389,1290,505,0,259,1290,505,3943,1054,798,431,3145,966,1207,442,581,315,626,278,785,354,525,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
235,568,345,460,164,288,155,172,108,21529,1162,7175,945,0,237,7175,945,9016,1052,395,351,8621,1046,3122,680,85,152,3037,656,1168,376,0,237,1168,376,1048,343,16,32,1032,344,0400000US30,40489,1609,18960,1085,7899,1041,503,287,7396,1085,7049,1025,680,475,6369,1117,2698,517,962,383,1736,437,854,331,286,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
60,98,104,27,39,16,29,11,23,6124,918,2279,591,42,69,2237,573,2899,755,25,53,2874,765,622,285,0,228,622,285,136,91,0,228,136,91,188,123,0,228,188,123,0400000US31,10555,1322,4431,896,2130,756,45,78,2085,754,1626,570,413,283,1213,457,481,236,180,156,301,190,167,130,69,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
699,148,165,313,208,96,137,217,184,10469,1137,2937,670,7,15,2930,669,3959,544,12,20,3947,550,1525,647,76,115,1449,658,1212,511,61,109,1151,499,836,369,0,309,836,369,0400000US32,20721,2013,10252,1569,4033,796,130,195,3903,836,3469,926,177,173,3292,896,1458,536,306,219,1152,494,979,717,831,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
160,113,138,57,92,57,92,0,281,7045,1383,2413,839,0,281,2413,839,2817,830,0,281,2817,830,487,349,86,140,401,324,833,361,0,281,833,361,495,288,0,281,495,288,0400000US34,13701,2079,6656,1292,2722,1050,0,281,2722,1050,2820,916,472,241,2348,905,757,465,124,134,633,431,300,191,187,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
530,2469,361,2340,485,1084,504,1256,447,69151,1734,24468,1142,85,90,24383,1144,26973,1074,1019,625,25954,1126,8528,524,49,82,8479,526,5874,714,51,91,5823,689,3308,530,63,78,3245,512,0400000US35,135928,2750,66777,1998,28640,1478,582,413,28058,1449,24129,1307,3375,1024,20754,1555,7737,728,2911,643,4826,725,3931,641,1462,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
258,1428,506,811,391,443,283,368,291,27606,2205,10127,1549,160,204,9967,1593,10327,1244,165,218,10162,1201,4375,909,53,105,4322,890,1382,464,65,83,1317,444,1395,452,19,37,1376,452,0400000US36,54226,4008,26620,2982,10378,1852,180,163,10198,1842,9540,1638,779,361,8761,1560,4075,888,932,497,3143,806,1816,605,388,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
526,1922,519,1105,500,410,307,695,423,41826,2027,15247,1331,188,221,15059,1353,15154,1227,194,166,14960,1202,5404,681,0,289,5404,681,3531,694,158,171,3373,687,2490,600,0,289,2490,600,0400000US37,80757,3546,38931,2966,13202,1652,96,124,13106,1654,15072,1560,1456,746,13616,1780,6611,1044,1383,583,5228,1031,2941,655,1019,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
220,209,176,223,157,90,88,133,138,10901,814,4333,763,0,211,4333,763,4310,598,0,211,4310,598,1542,473,0,211,1542,473,567,209,0,211,567,209,149,114,0,211,149,114,0400000US38,21578,1275,10677,923,4752,779,265,188,4487,725,4097,582,410,259,3687,572,1098,332,304,174,794,307,507,273,298,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
235,138,174,165,211,165,211,0,269,8395,1500,2882,847,0,269,2882,847,2809,742,186,227,2623,737,1537,727,0,269,1537,727,814,457,0,269,814,457,353,265,0,269,353,265,0400000US39,17231,2078,8836,1409,3131,887,75,127,3056,851,4079,930,826,447,3253,822,1029,500,425,285,604,397,432,296,294,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
685,3180,710,3069,521,2252,493,817,305,94485,3348,35362,2042,226,278,35136,1957,34127,2046,557,340,33570,2112,13055,1198,131,121,12924,1195,7145,1021,100,120,7045,997,4796,783,0,253,4796,783,0400000US40,177321,4043,82836,2311,32297,1447,1028,501,31269,1421,29785,1726,3464,795,26321,1751,11707,998,3928,754,7779,866,5978,1033,2798,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
218,879,376,547,357,412,330,135,147,15837,1604,6093,1258,65,113,6028,1256,5866,931,135,180,5731,934,2201,600,0,277,2201,600,1038,404,0,277,1038,404,639,348,58,98,581,339,0400000US41,35409,2647,19572,2222,6969,1590,214,244,6755,1552,8303,1257,1305,621,6998,1191,2594,729,862,471,1732,597,1159,420,280,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
258,532,367,213,139,73,86,140,97,8004,1414,2240,843,0,246,2240,843,3005,697,170,175,2835,739,1911,700,63,106,1848,695,457,260,0,246,457,260,391,396,0,246,391,396,0400000US42,16599,1995,8595,1269,2484,758,58,63,2426,759,3850,914,879,429,2971,934,1128,466,465,353,663,317,920,433,388,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
