B25074_030E,B25074_030M,B25074_031E,B25074_031M,B25074_032E,B25074_032M,B25074_033E,B25074_033M,B25074_034E,B25074_034M,B25074_035E,B25074_035M,B25074_036E,B25074_036M,B25074_037E,B25074_037M,B25074_038E,B25074_038M,B25074_039E,B25074_039M,B25074_040E,B25074_040M,B25074_041E,B25074_041M,B25074_042E,B25074_042M,B25074_043E,B25074_043M,B25074_044E,B25074_044M,B25074_045E,B25074_045M,B25074_046E,B25074_046M,B25074_047E,B25074_047M,B25074_048E,B25074_048M,B25074_049E,B25074_049M,B25074_050E,B25074_050M,GEO_ID,B25074_001E,B25074_001M,B25074_002E,B25074_002M,B25074_003E,B25074_003M,B25074_004E,B25074_004M,B25074_005E,B25074_005M,B25074_006E,B25074_006M,B25074_007E,B25074_007M,B25074_008E,B25074_008M,B25074_009E,B25074_009M,B25074_010E,B25074_010M,B25074_011E,B25074_011M,B25074_012E,B25074_012M,B25074_013E,B25074_013M,B25074_014E,B25074_014M,B25074_015E,B25074_015M,B25074_016E,B25074_016M,B25074_017E,B25074_017M,B25074_018E,B25074_018M,B25074_019E,B25074_019M,B25074_020E,B25074_020M,B25074_021E,B25074_021M,B25074_022E,B25074_022M,B25074_023E,B25074_023M,B25074_024E,B25074_024M,B25074_025E,B25074_025M,B25074_026E,B25074_026M,B25074_027E,B25074_027M,B25074_028E,B25074_028M,B25074_029E,B25074_029M,B25074_030EA,B25074_030MA,B25074_031MA,B25074_031EA,B25074_032EA,B25074_032MA,B25074_033MA,B25074_033EA,B25074_034EA,B25074_034MA,B25074_035EA,B25074_035MA,B25074_036MA,B25074_036EA,B25074_037MA,B25074_037EA,B25074_038EA,B25074_038MA,B25074_039EA,B25074_039MA,B25074_040MA,B25074_040EA,B25074_041MA,B25074_041EA,B25074_042MA,B25074_042EA,B25074_043MA,B25074_043EA,B25074_044EA,B25074_044MA,B25074_045EA,B25074_045MA,B25074_046MA,B25074_046EA,B25074_047EA,B25074_047MA,B25074_048EA,B25074_048MA,B25074_049MA,B25074_049EA,B25074_050EA,B25074_050MA,NAME,B25074_001EA,B25074_001MA,B25074_002MA,B25074_002EA,B25074_003EA,B25074_003MA,B25074_004MA,B25074_004EA,B25074_005MA,B25074_005EA,B25074_006MA,B25074_006EA,B25074_007EA,B25074_007MA,B25074_008EA,B25074_008MA,B25074_009MA,B25074_009EA,B25074_010MA,B25074_010EA,B25074_011MA,B25074_011EA,B25074_012EA,B25074_012MA,B25074_013MA,B25074_013EA,B25074_014MA,B25074_014EA,B25074_015MA,B25074_015EA,B25074_016MA,B25074_016EA,B25074_017EA,B25074_017MA,B25074_018EA,B25074_018MA,B25074_019MA,B25074_019EA,B25074_020MA,B25074_020EA,B25074_021EA,B25074_021MA,B25074_022MA,B25074_022EA,B25074_023MA,B25074_023EA,B25074_024EA,B25074_024MA,B25074_025MA,B25074_025EA,B25074_026MA,B25074_026EA,B25074_027EA,B25074_027MA,B25074_028MA,B25074_028EA,B25074_029MA,B25074_029EA,state
158421,6966,75410,4094,40454,3385,20392,2728,7983,1617,7014,1639,7168,1418,73593,5090,54219,4394,11449,2192,3248,930,1088,619,1138,496,2451,840,58270,4423,50648,3941,2676,861,1129,591,429,297,191,190,3197,1012,0400000US13,1178255,14458,210015,7790,950,538,2427,879,5990,1322,5271,1264,136574,6146,58803,4770,225831,9400,6624,1260,5693,1110,8690,1243,12645,2016,173278,8311,18901,2280,273016,9662,14831,2578,23107,2687,37251,4129,45752,3425,135345,7001,16730,2264,179109,7795,33937,3172,43362,3344,42589,4194,23239,2586,26922,3043,9060,1510,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
34355,3044,6345,1334,6597,1467,4176,1214,4848,961,10644,1739,1745,592,23659,2763,8586,1431,5744,1518,3772,1080,2078,678,2590,761,889,406,25882,2650,16443,2305,3202,742,2921,847,1251,633,407,248,1658,560,0400000US15,187279,5414,19115,2185,223,247,130,135,828,430,749,596,11836,1830,5349,1075,21181,2321,817,378,1510,721,306,187,931,550,15627,2097,1990,840,33650,2640,1458,554,1084,421,1664,654,1994,619,24275,2575,3175,921,29437,2741,2174,757,2448,868,4454,1113,3416,1036,15481,2010,1464,539,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
22337,2419,14911,2128,3662,1037,942,516,543,428,475,377,1804,550,7581,1289,6222,1269,784,386,90,150,0,267,0,267,485,284,5133,1103,4624,1108,98,157,13,23,0,267,72,122,326,272,0400000US16,175177,5242,27959,2714,154,174,560,506,1070,463,788,354,22061,2427,3326,889,37220,3327,1655,789,935,459,2735,786,2644,716,26347,2845,2904,836,46940,3387,5251,1260,6459,1607,7193,1478,7791,1443,17323,2203,2923,869,28007,2676,8353,1576,7648,1395,5826,1273,2707,938,1393,623,2080,767,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
228598,7549,107772,5205,56487,4351,25786,2814,15185,2019,13662,2154,9706,1601,104107,5342,70674,4277,15181,1783,7380,1494,4250,1084,1590,624,5032,1184,102973,4971,83346,4661,10746,1627,2730,799,972,590,363,240,4816,1057,0400000US17,1533519,13202,246658,7430,2594,908,4311,1064,10112,1481,8314,1632,162783,5930,58544,4152,279307,7854,9575,1547,8274,1500,13719,2084,17709,1967,217990,6991,12040,1687,336960,8591,21015,2488,30133,2614,40452,3830,50813,3561,182592,6774,11955,1833,234916,7730,45426,3180,55452,4366,52282,4262,31177,3144,41156,3579,9423,1340,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
86990,4396,57818,3971,15691,2196,5004,1290,1077,550,997,535,6403,1197,28687,2518,22534,2286,2152,778,198,221,287,252,432,272,3084,958,22026,2723,20170,2739,907,462,144,166,67,111,47,78,691,371,0400000US18,734154,9897,130927,6171,1393,459,1686,658,5618,1231,5268,1086,88663,4901,28299,2857,164715,6900,6152,1212,6286,1237,9658,1663,11783,1714,120972,5960,9864,1524,193448,6102,15640,2229,27851,2695,38310,4224,32471,3043,66484,3622,12692,1758,107361,6012,34121,3317,34680,3289,18342,2187,8165,1551,6120,1067,5933,1163,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
45378,2646,33397,2256,5450,1177,1661,721,767,470,1101,484,3002,584,14644,2215,11834,1890,1197,601,0,228,54,87,305,299,1254,404,10163,1364,8871,1295,155,237,0,228,0,228,0,228,1137,406,0400000US19,338155,6728,51534,3437,485,380,883,334,2938,751,1906,572,38141,2748,7181,1276,74956,3862,2721,655,4491,989,6704,1044,6703,1166,50228,3355,4109,756,85703,3902,13522,1944,13851,1687,15314,2201,12707,1804,24489,2435,5820,802,55777,3614,24319,2376,13624,1859,7151,1434,2920,995,3589,1212,4174,836,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
51889,3783,31613,2544,10355,1839,4844,1370,1323,604,968,460,2786,855,16074,2002,12904,1722,1437,529,509,274,62,115,45,76,1117,526,13180,1745,11678,1693,506,300,0,248,0,248,65,100,931,369,0400000US20,351751,6919,51954,3526,546,360,1173,561,2339,717,1806,720,35880,3121,10210,1566,73072,3809,2720,795,3817,977,6093,1262,5528,1229,51251,3272,3663,681,88233,4664,10981,1699,14161,1808,15966,2109,14455,1992,26483,2506,6187,1097,57349,3690,20098,2166,15524,2139,9308,1812,3703,955,5494,1435,3222,804,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
61121,3868,41711,3484,9404,1647,3126,794,798,469,922,546,5160,1138,21077,2418,17015,2180,1041,503,655,411,247,334,316,269,1803,649,13945,1943,11537,1779,217,214,0,271,46,80,0,271,2145,731,0400000US21,528056,11015,110527,5386,3241,994,1712,793,5332,1375,4062,1012,71669,4335,24511,2713,125706,6799,5927,1367,4925,1059,10403,1845,12381,1770,80414,5441,11656,1807,123892,5907,17572,2805,20320,2560,23599,2883,19002,2341,32847,2594,10552,1568,71788,4835,30009,3156,17023,2021,10989,1999,4875,1135,3121,1020,5771,1265,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
74105,5221,41309,4082,13982,1809,6600,1371,2806,855,2158,775,7250,1410,29281,3152,20703,2600,3927,1221,465,290,119,146,332,335,3735,860,25305,3081,22344,2853,801,515,299,259,97,158,50,82,1714,679,0400000US22,548318,11587,103291,4984,1140,564,656,378,4497,1224,3985,933,65014,4384,27999,2893,117610,5940,3773,1063,3479,947,5244,1404,8412,1573,84404,5741,12298,1712,121380,5358,9370,1629,13612,2213,17461,2322,21113,2279,49177,4144,10647,1748,77346,4517,20273,2314,18430,2316,14737,2187,9049,1919,7789,1362,7068,1332,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
19496,2435,11472,1856,4080,1102,1590,655,451,312,599,452,1304,481,7353,1337,5472,1280,865,431,180,174,0,230,29,49,807,397,4886,1177,4178,1088,216,210,46,76,0,230,0,230,446,278,0400000US23,149022,5676,23215,2037,144,117,587,372,2187,753,1766,681,14276,1734,4255,957,36767,3113,2635,668,2515,856,3861,991,3940,1005,21471,2573,2345,702,36180,2947,4114,1068,3577,908,5815,1301,5510,1168,14749,1905,2415,661,21125,2259,5458,1152,5372,1297,4463,1036,1899,650,2482,823,1451,571,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
137246,6552,28466,2933,36112,3165,31110,3338,19535,2384,17452,2683,4571,1024,69451,3850,35086,2881,16670,1898,8268,1686,4519,1074,2425,789,2483,930,81003,5823,60062,4675,12781,2209,3490,1171,1502,584,669,527,2499,767,0400000US24,701172,11745,86018,5024,1779,824,1766,660,7487,1437,2129,785,56045,4408,16812,2455,83356,4585,4709,1186,2056,682,5377,1395,4144,1070,63695,3808,3375,897,128459,6714,5264,1484,5492,1297,10817,2007,14131,2293,87374,5326,5381,1204,115639,5748,7087,1200,13499,2164,22892,2860,22846,2914,45059,4345,4256,1173,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
153304,6730,46380,3788,36564,3172,28828,3091,16843,2365,19410,2385,5279,1167,80526,4686,43309,3768,19838,2096,8592,1720,3604,829,2640,892,2543,695,102357,4982,82295,4751,11396,1743,3389,855,1546,552,740,533,2991,790,0400000US25,952037,10587,144310,6202,2049,643,1925,770,14366,2270,11315,1960,86516,5447,28139,3382,169746,6799,8534,1489,10107,1513,21496,2386,13749,1945,109454,5998,6406,1508,169133,6162,11999,1688,10064,1718,15519,2236,19772,2401,105660,5558,6119,1216,132661,7129,15786,2402,20815,2508,27339,2585,22894,2892,40972,4006,4855,1273,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
