C19037G_015E,C19037G_015M,C19037G_016E,C19037G_016M,C19037G_017E,C19037G_017M,C19037G_018E,C19037G_018M,C19037G_019E,C19037G_019M,C19037G_020E,C19037G_020M,C19037G_021E,C19037G_021M,C19037G_022E,C19037G_022M,C19037G_023E,C19037G_023M,C19037G_024E,C19037G_024M,C19037G_025E,C19037G_025M,C19037G_026E,C19037G_026M,C19037G_027E,C19037G_027M,C19037G_028E,C19037G_028M,C19037G_029E,C19037G_029M,C19037G_030E,C19037G_030M,C19037G_031E,C19037G_031M,C19037G_032E,C19037G_032M,C19037G_033E,C19037G_033M,C19037G_034E,C19037G_034M,C19037G_035E,C19037G_035M,C19037G_036E,C19037G_036M,C19037G_037E,C19037G_037M,C19037G_038E,C19037G_038M,C19037G_039E,C19037G_039M,C19037G_040E,C19037G_040M,C19037G_041E,C19037G_041M,C19037G_042E,C19037G_042M,C19037G_043E,C19037G_043M,C19037G_044E,C19037G_044M,C19037G_045E,C19037G_045M,GEO_ID,C19037G_001E,C19037G_001M,C19037G_002E,C19037G_002M,C19037G_003E,C19037G_003M,C19037G_004E,C19037G_004M,C19037G_005E,C19037G_005M,C19037G_006E,C19037G_006M,C19037G_007E,C19037G_007M,C19037G_008E,C19037G_008M,C19037G_009E,C19037G_009M,C19037G_010E,C19037G_010M,C19037G_011E,C19037G_011M,C19037G_012E,C19037G_012M,C19037G_013E,C19037G_013M,C19037G_014E,C19037G_014M,C19037G_015MA,C19037G_015EA,C19037G_016MA,C19037G_016EA,C19037G_017EA,C19037G_017MA,C19037G_018EA,C19037G_018MA,C19037G_019EA,C19037G_019MA,C19037G_020EA,C19037G_020MA,C19037G_021MA,C19037G_021EA,C19037G_022MA,C19037G_022EA,C19037G_023EA,C19037G_023MA,C19037G_024EA,C19037G_024MA,C19037G_025EA,C19037G_025MA,C19037G_026MA,C19037G_026EA,C19037G_027MA,C19037G_027EA,C19037G_028MA,C19037G_028EA,C19037G_029EA,C19037G_029MA,C19037G_030EA,C19037G_030MA,C19037G_031EA,C19037G_031MA,C19037G_032MA,C19037G_032EA,C19037G_033MA,C19037G_033EA,C19037G_034MA,C19037G_034EA,C19037G_035EA,C19037G_035MA,C19037G_036EA,C19037G_036MA,C19037G_037MA,C19037G_037EA,C19037G_038EA,C19037G_038MA,C19037G_039MA,C19037G_039EA,C19037G_040EA,C19037G_040MA,C19037G_041EA,C19037G_041MA,C19037G_042EA,C19037G_042MA,C19037G_043MA,C19037G_043EA,C19037G_044MA,C19037G_044EA,C19037G_045MA,C19037G_045EA,NAME,C19037G_001EA,C19037G_001MA,C19037G_002EA,C19037G_002MA,C19037G_003MA,C19037G_003EA,C19037G_004MA,C19037G_004EA,C19037G_005MA,C19037G_005EA,C19037G_006EA,C19037G_006MA,C19037G_007EA,C19037G_007MA,C19037G_008EA,C19037G_008MA,C19037G_009EA,C19037G_009MA,C19037G_010EA,C19037G_010MA,C19037G_011EA,C19037G_011MA,C19037G_012EA,C19037G_012MA,C19037G_013EA,C19037G_013MA,C19037G_014EA,C19037G_014MA,state
844,541,2237,688,2134,700,2486,760,3596,942,1730,600,1317,516,937,423,241,233,13120,2041,1116,628,857,535,1392,619,1719,752,1636,587,2747,858,1684,647,1138,505,484,321,347,308,3221,833,262,205,713,391,369,257,444,269,445,351,504,350,350,333,84,102,50,82,0,300,0400000US13,35958,3091,3015,1070,555,549,80,131,589,352,184,159,877,683,635,521,95,130,0,300,0,300,0,300,16602,1890,1080,488,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
956,485,2072,772,2052,654,2381,750,5116,1063,3389,761,5374,1202,1636,550,1092,527,29240,2138,2771,802,1308,508,1404,592,2342,829,4115,1007,4616,924,5009,1085,4336,871,1804,685,1535,559,11622,1811,300,221,904,656,1785,753,1382,591,1449,532,2288,725,1468,580,929,346,515,377,602,291,0400000US15,70506,3765,3980,990,733,462,131,199,738,465,379,376,848,489,831,546,144,160,176,225,0,275,0,275,25664,2423,1596,590,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
866,413,2368,882,1623,694,3437,845,4133,1137,3230,865,2898,762,1278,692,874,521,17267,2140,1303,472,1153,653,1870,834,1444,530,1996,542,3244,865,2294,840,2218,575,1167,631,578,296,6763,1098,814,453,465,294,1515,531,799,325,1174,423,663,432,683,357,212,165,256,210,182,239,0400000US17,50577,4376,3205,1121,848,489,398,400,869,483,330,313,161,156,415,381,136,163,48,81,0,267,0,267,23342,3214,2635,949,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
300,266,1414,636,1711,766,1732,694,2139,773,1068,654,751,395,0,267,192,192,8415,1402,649,418,874,372,889,413,1091,550,1428,487,1307,517,1085,420,690,340,208,223,194,260,2271,644,229,201,510,297,492,278,492,291,272,178,142,138,56,93,29,68,49,82,0,267,0400000US18,23119,2429,1844,659,646,415,309,284,282,190,102,126,80,110,388,309,0,267,0,267,0,267,37,63,10589,1848,1282,521,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
189,160,1083,505,1065,481,1128,562,983,436,674,477,270,254,62,103,0,228,3549,818,448,291,379,219,598,340,236,236,973,519,315,242,338,228,94,87,91,181,77,118,917,437,17,32,194,216,168,159,152,148,153,143,158,179,40,47,35,60,0,228,0,228,0400000US19,12878,1783,2257,821,695,425,563,411,584,521,340,258,0,228,75,126,0,228,0,228,0,228,0,228,6155,1214,701,498,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
1095,590,1096,486,490,356,1374,571,1836,657,949,532,682,338,78,115,125,158,6608,1218,566,329,600,442,914,360,645,358,901,386,1332,731,485,284,634,267,263,217,268,223,2645,651,115,148,490,285,518,331,310,198,465,299,451,224,70,76,114,138,88,131,24,41,0400000US20,20569,2178,2408,818,803,657,348,289,384,282,319,253,242,222,292,301,20,37,0,248,0,248,0,248,8908,1653,1183,538,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
110,136,1366,657,691,347,769,554,1104,551,559,404,571,471,0,271,98,168,4895,1205,857,492,563,382,716,345,677,474,556,394,798,429,395,227,110,143,223,277,0,271,2625,972,259,224,500,426,988,610,315,225,196,185,90,136,110,89,167,177,0,271,0,271,0400000US21,15236,2021,1252,627,338,266,328,392,315,263,218,314,0,271,53,86,0,271,0,271,0,271,0,271,6464,1306,1196,564,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
147,176,863,591,1078,550,1091,535,1490,664,524,374,447,314,133,158,265,183,6267,996,578,276,380,265,625,381,457,314,899,432,1546,606,730,322,612,317,199,147,241,208,2412,701,240,201,349,249,497,269,348,247,154,140,650,342,160,165,14,26,0,281,0,281,0400000US22,16526,1806,1528,646,348,298,66,108,102,121,386,395,140,168,428,345,0,281,58,97,0,281,0,281,6319,1428,281,189,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
286,322,996,494,845,478,2100,714,3178,898,1949,625,2032,630,1030,570,218,176,14006,2044,971,587,590,390,593,389,1485,743,1446,552,2766,929,1365,543,2541,796,1315,543,934,444,4027,835,239,244,189,188,734,476,128,161,763,422,469,278,701,399,568,322,153,234,83,96,0400000US24,33844,2615,1932,667,426,339,46,76,447,387,207,173,383,290,169,166,212,310,42,69,0,289,0,289,13879,1490,1245,680,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
1461,632,1701,690,3267,1044,2421,884,4508,1109,2409,769,2496,1032,713,379,633,451,14827,2247,2132,805,1157,755,829,449,1020,608,2004,729,2053,705,1270,505,3076,1002,815,425,471,323,5110,1002,1095,568,620,347,846,502,344,234,593,303,543,353,549,337,172,176,0,285,348,309,0400000US25,44989,3765,3086,981,968,662,501,461,237,199,167,206,266,284,618,548,58,98,182,227,89,149,0,285,21966,2437,2357,783,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
1286,579,4092,1098,2531,869,3019,752,3694,893,2714,797,1507,508,982,587,112,134,18986,1901,2150,663,1570,523,2105,654,1918,545,2976,794,3150,927,2216,618,1814,652,678,415,409,268,6612,1046,431,239,1094,345,1227,543,783,300,1097,384,671,321,420,212,831,475,38,61,20,28,0400000US26,53644,3023,4677,1271,943,423,864,498,1610,791,327,178,561,443,36,60,45,65,106,160,185,196,0,244,23369,2256,3432,1098,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
611,377,1284,515,1556,554,1931,901,3282,1000,1683,620,1308,559,170,145,225,233,7508,1255,959,504,412,297,852,407,689,287,897,413,1858,601,650,370,1017,532,122,139,52,90,2652,657,387,232,282,206,655,334,331,175,254,159,468,317,110,124,119,126,33,60,13,26,0400000US27,25532,2528,1782,718,363,262,355,427,396,270,50,83,259,217,172,157,142,230,45,73,0,211,0,211,13590,1948,1540,823,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
838,387,2180,772,1979,792,3190,1021,2710,711,1411,628,768,419,190,215,98,123,12199,1778,1699,782,923,510,1456,569,1801,697,1309,474,1772,626,1755,728,997,514,365,265,122,129,3245,752,483,285,509,295,518,312,331,178,717,407,256,196,190,149,109,126,27,47,105,138,0400000US29,32545,2840,2022,728,546,359,201,214,396,295,138,156,112,130,344,279,86,138,199,247,0,259,0,259,15079,2131,1715,794,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
