GEO_ID,B10051I_001E,B10051I_001M,B10051I_002E,B10051I_002M,B10051I_003E,B10051I_003M,B10051I_004E,B10051I_004M,B10051I_005E,B10051I_005M,B10051I_006E,B10051I_006M,B10051I_007E,B10051I_007M,NAME,B10051I_001EA,B10051I_001MA,B10051I_002EA,B10051I_002MA,B10051I_003MA,B10051I_003EA,B10051I_004MA,B10051I_004EA,B10051I_005MA,B10051I_005EA,B10051I_006EA,B10051I_006MA,B10051I_007MA,B10051I_007EA,state
0400000US28,1766,820,664,486,536,481,128,114,1102,671,927,647,175,190,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,3348,1139,635,327,550,308,85,78,2713,1052,1527,779,1186,627,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,4306,958,1977,816,1436,677,541,403,2329,682,1353,592,976,413,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,23851,3203,7216,1675,4967,1381,2249,891,16635,2727,10301,2144,6334,1518,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,48844,4244,10725,2064,7892,1703,2833,951,38119,3811,18706,2999,19413,2424,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,29912,3594,12091,2512,8914,2196,3177,1020,17821,2781,9414,2152,8407,1818,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,115383,6469,35650,4133,26059,3142,9591,2071,79733,5299,39403,3922,40330,4065,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,19004,2646,6782,1988,6026,1907,756,574,12222,2022,7284,1779,4938,1064,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,6517,1549,2342,1004,1862,908,480,349,4175,1146,1827,809,2348,792,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,7307,1239,3602,968,3027,949,575,355,3705,928,2509,703,1196,591,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,11262,1908,3932,1294,3430,1197,502,334,7330,1522,4639,1181,2691,954,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,19721,2438,7835,1629,5796,1306,2039,856,11886,2195,7034,1687,4852,1346,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,4147,1197,1005,536,661,471,344,298,3142,1097,1769,933,1373,641,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4373,1531,2010,953,2010,953,0,296,2363,1023,1322,692,1041,604,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,4004,1260,1179,571,825,454,354,258,2825,1080,1946,940,879,526,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,379966,13134,154404,9365,121513,7974,32891,3545,225562,10042,126237,7687,99325,6467,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,10059,2169,4249,1387,3007,956,1242,920,5810,1844,4092,1752,1718,550,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,15609,2368,3834,1115,3073,1108,761,456,11775,2140,7058,2029,4717,1167,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,19109,2656,5530,1586,4403,1515,1127,481,13579,2212,7948,1778,5631,1648,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,8836,1812,3067,1118,2692,1064,375,263,5769,1605,4058,1505,1711,564,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,114267,6236,55817,4278,33813,3539,22004,2418,58450,4140,27251,2574,31199,2846,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
