GEO_ID,B10051D_001E,B10051D_001M,B10051D_002E,B10051D_002M,B10051D_003E,B10051D_003M,B10051D_004E,B10051D_004M,B10051D_005E,B10051D_005M,B10051D_006E,B10051D_006M,B10051D_007E,B10051D_007M,NAME,B10051D_001EA,B10051D_001MA,B10051D_002EA,B10051D_002MA,B10051D_003EA,B10051D_003MA,B10051D_004MA,B10051D_004EA,B10051D_005MA,B10051D_005EA,B10051D_006EA,B10051D_006MA,B10051D_007EA,B10051D_007MA,state
0400000US45,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,2124,1009,776,709,715,709,61,101,1348,533,355,280,993,458,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,28766,3287,4047,1192,1639,627,2408,977,24719,3215,6502,1595,18217,2562,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,11153,1876,1128,697,701,372,427,570,10025,1831,2739,1004,7286,1432,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,15156,2465,3470,1262,2270,944,1200,752,11686,2274,3932,1413,7754,1810,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,3379,880,588,495,354,365,234,334,2791,766,1299,710,1492,484,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
