B25032F_010E,B25032F_010M,B25032F_011E,B25032F_011M,GEO_ID,B25032F_001E,B25032F_001M,B25032F_002E,B25032F_002M,B25032F_003E,B25032F_003M,B25032F_004E,B25032F_004M,B25032F_005E,B25032F_005M,B25032F_006E,B25032F_006M,B25032F_007E,B25032F_007M,B25032F_008E,B25032F_008M,B25032F_009E,B25032F_009M,B25032F_010MA,B25032F_010EA,B25032F_011MA,B25032F_011EA,NAME,B25032F_001MA,B25032F_001EA,B25032F_002EA,B25032F_002MA,B25032F_003EA,B25032F_003MA,B25032F_004MA,B25032F_004EA,B25032F_005MA,B25032F_005EA,B25032F_006MA,B25032F_006EA,B25032F_007EA,B25032F_007MA,B25032F_008EA,B25032F_008MA,B25032F_009EA,B25032F_009MA,state
12356,1934,0,292,0400000US13,87410,4163,35613,2903,3003,1003,2028,827,4392,1241,14196,2311,10099,1862,4112,1257,1611,644,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0,267,0,267,0400000US15,5035,1063,1892,608,767,422,330,329,316,398,486,371,228,175,563,536,453,326,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
null,null,null,null,0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
4042,1017,4,9,0400000US17,280590,7170,112620,5513,11257,1870,51612,3101,51329,4561,24982,3346,11859,2491,5589,1508,7296,1627,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
3278,900,0,263,0400000US18,40081,2524,24223,1785,1430,531,2039,751,2512,767,3299,943,2561,812,524,454,215,219,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
890,468,0,221,0400000US19,12616,1434,7085,1085,397,327,1448,784,412,407,1123,617,725,417,469,385,67,109,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
3406,999,112,134,0400000US20,29361,2385,17735,1805,1462,662,1687,876,1053,622,929,568,2103,981,331,500,543,389,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
1585,629,0,267,0400000US21,8263,1393,3446,1060,255,257,386,296,673,436,484,310,725,482,709,632,0,267,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
1837,677,0,267,0400000US22,13051,1634,7062,1137,272,280,335,243,1405,631,898,502,0,267,1242,878,0,267,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
191,164,0,277,0400000US24,38791,3067,15418,2256,8396,1518,897,507,754,462,4535,1228,6803,1508,892,613,905,558,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0,277,0,277,0400000US25,86075,4422,16148,2294,5041,1158,15336,1879,22885,2821,10868,1865,3225,830,6130,1526,6442,1358,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
3475,861,0,235,0400000US26,47108,2740,28635,2414,3178,1097,3038,934,2665,923,1902,828,1778,769,1049,690,1388,727,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
2223,705,0,208,0400000US27,21783,2210,9901,1352,1513,662,1538,958,411,287,834,637,1501,581,2415,839,1447,609,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
null,null,null,null,0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
1461,732,0,253,0400000US29,17610,2124,11209,1593,454,288,584,425,1247,720,1167,720,918,521,128,204,442,337,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
null,null,null,null,0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
1782,777,0,213,0400000US31,14995,1433,9542,1321,785,404,168,137,265,239,993,508,981,451,324,209,155,173,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
3509,998,0,292,0400000US32,56496,3729,28117,2437,2066,711,1938,887,6106,1285,6241,1473,4429,1247,2265,977,1825,769,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
null,null,null,null,0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
716,373,88,144,0400000US34,187505,5539,49991,3586,13962,1729,42045,2817,29485,2656,17713,2242,13286,2085,10999,1974,9220,1804,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
22655,2000,170,182,0400000US35,103852,4569,61493,4031,2727,1011,1770,687,4673,1233,3642,1025,2695,947,1937,745,2090,833,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
1392,631,400,463,0400000US36,524519,9199,63787,4136,21043,2391,64473,3582,51580,3885,37384,3307,37440,3335,112708,5010,134312,5666,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
24862,2753,0,281,0400000US37,86458,4383,30521,3001,2843,1074,3351,1054,3880,1265,9546,1684,8678,2133,2479,945,298,265,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
null,null,null,null,0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
1202,625,0,261,0400000US39,30738,2451,18407,1996,1369,557,2707,813,1366,467,1731,722,2496,944,913,472,547,326,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
3039,749,0,244,0400000US40,27014,1877,18131,1498,954,460,202,151,1009,632,1624,824,1238,579,352,303,465,266,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
1968,635,0,269,0400000US41,32509,2794,17119,2094,1940,607,1393,739,2861,891,2178,1000,2365,895,817,374,1868,863,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
722,410,0,240,0400000US42,76013,3415,12558,1778,40841,3206,7138,1527,6118,1450,3270,950,2417,912,1349,628,1600,646,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
62,101,95,156,0400000US44,21961,2245,4154,977,609,405,4265,920,8038,1378,1876,866,1287,765,571,358,1004,522,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
5125,1078,0,283,0400000US45,14232,1681,5577,1054,278,277,424,391,1118,682,1052,543,431,365,148,131,79,92,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
null,null,null,null,0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
2054,892,0,279,0400000US47,19726,1936,9536,1495,668,456,1325,588,1098,556,1694,753,2652,883,598,436,101,132,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
74527,4652,1558,816,0400000US48,849032,11337,523765,10271,23051,2373,22207,2272,34172,3356,46183,4539,61397,4707,26199,2923,35973,3088,null,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
1277,656,0,255,0400000US49,30159,2446,15895,2054,985,474,1151,656,3061,1025,1755,801,3778,1311,1788,706,469,351,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
null,null,null,null,0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
1950,794,0,279,0400000US51,53224,3420,21665,2350,12494,2333,1150,629,1543,572,3393,995,6980,1888,1426,735,2623,881,null,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
10460,1692,344,405,0400000US53,75081,4071,32407,2484,2317,777,2841,887,5879,1302,5472,1475,8765,1744,4490,1184,2106,794,null,null,null,null,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
null,null,null,null,0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
1280,554,0,211,0400000US55,40756,2540,14599,1728,1998,594,10736,1693,3549,1094,3885,1292,1476,709,1932,849,1301,636,null,null,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
null,null,null,null,0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
51,86,0,275,0400000US72,148301,4602,105144,4118,17215,1797,5215,1039,3798,852,5269,1120,5138,1134,2094,655,4377,922,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
