GEO_ID,B06004E_001E,B06004E_001M,B06004E_002E,B06004E_002M,B06004E_003E,B06004E_003M,B06004E_004E,B06004E_004M,B06004E_005E,B06004E_005M,NAME,B06004E_001EA,B06004E_001MA,B06004E_002MA,B06004E_002EA,B06004E_003MA,B06004E_003EA,B06004E_004EA,B06004E_004MA,B06004E_005MA,B06004E_005EA,state
0400000US40,3084,1437,656,419,1581,655,785,864,62,44,Oklahoma,null,null,null,null,null,null,null,null,null,null,40
0400000US41,8250,1488,2118,1001,2104,730,1199,847,2829,1347,Oregon,null,null,null,null,null,null,null,null,null,null,41
0400000US42,3332,1129,811,467,1809,885,110,177,602,453,Pennsylvania,null,null,null,null,null,null,null,null,null,null,42
0400000US44,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,44
0400000US45,3284,1535,534,505,730,463,691,665,1329,1229,South Carolina,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,46
0400000US47,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,47
0400000US48,14047,2865,1872,834,8172,2274,2144,918,1859,775,Texas,null,null,null,null,null,null,null,null,null,null,48
0400000US49,18958,1550,5399,1879,4285,1851,2937,1228,6337,980,Utah,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,50
0400000US51,6291,1753,692,549,3100,1446,1735,680,764,485,Virginia,null,null,null,null,null,null,null,null,null,null,51
0400000US53,27186,1818,6690,1406,7286,1724,6856,1837,6354,1836,Washington,null,null,null,null,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1622,681,600,294,710,520,104,125,208,242,Wisconsin,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,56
0400000US72,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,72
