B19101F_007E,B19101F_007M,B19101F_008E,B19101F_008M,B19101F_009E,B19101F_009M,B19101F_010E,B19101F_010M,B19101F_011E,B19101F_011M,B19101F_012E,B19101F_012M,B19101F_013E,B19101F_013M,B19101F_014E,B19101F_014M,B19101F_015E,B19101F_015M,B19101F_016E,B19101F_016M,B19101F_017E,B19101F_017M,GEO_ID,B19101F_001E,B19101F_001M,B19101F_002E,B19101F_002M,B19101F_003E,B19101F_003M,B19101F_004E,B19101F_004M,B19101F_005E,B19101F_005M,B19101F_006E,B19101F_006M,B19101F_007EA,B19101F_007MA,B19101F_008MA,B19101F_008EA,B19101F_009EA,B19101F_009MA,B19101F_010EA,B19101F_010MA,B19101F_011MA,B19101F_011EA,B19101F_012EA,B19101F_012MA,B19101F_013EA,B19101F_013MA,B19101F_014EA,B19101F_014MA,B19101F_015EA,B19101F_015MA,B19101F_016MA,B19101F_016EA,B19101F_017EA,B19101F_017MA,NAME,B19101F_001MA,B19101F_001EA,B19101F_002EA,B19101F_002MA,B19101F_003EA,B19101F_003MA,B19101F_004EA,B19101F_004MA,B19101F_005MA,B19101F_005EA,B19101F_006MA,B19101F_006EA,state
260,183,923,538,238,222,176,141,814,446,458,269,942,562,237,204,275,278,55,101,42,70,0400000US19,5582,951,484,417,0,155,305,189,88,111,285,161,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
1084,478,868,432,945,516,936,448,1065,438,875,424,1556,478,1071,521,407,238,416,302,62,82,0400000US20,13585,1453,769,403,1270,533,558,325,543,362,1160,553,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
715,570,225,245,722,592,314,278,360,277,530,314,415,373,140,164,55,87,0,185,31,60,0400000US21,6323,1263,738,415,77,94,598,357,1159,537,244,240,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
631,385,90,111,312,209,519,290,727,417,1194,463,622,404,428,261,102,181,159,127,254,318,0400000US22,7499,1356,831,516,131,157,471,304,456,317,572,325,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
3440,1028,2318,934,2753,940,1824,832,3194,987,6016,1600,4735,1089,2545,825,2014,669,1343,650,575,331,0400000US24,37950,2832,809,427,1026,536,1020,480,1191,521,3147,937,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
3604,960,3781,1122,3163,1141,2350,873,4625,1068,6016,1418,4472,1157,3034,801,921,471,1206,541,618,346,0400000US25,61284,3883,8558,1600,5126,1308,5294,1231,4934,1448,3582,838,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
3267,1013,1646,594,1925,809,1681,815,2784,892,3313,770,2360,618,1140,513,105,109,401,225,272,183,0400000US26,26241,2292,2304,882,1234,592,1043,472,1207,543,1559,664,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
1313,573,847,390,978,517,263,211,1700,534,1569,698,1532,569,1004,650,638,419,220,238,42,55,0400000US27,16402,1796,2009,957,700,418,908,497,784,327,1895,689,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
747,391,625,417,662,545,649,382,993,495,1030,513,1392,537,279,223,231,178,215,212,289,215,0400000US29,12216,1411,1219,579,700,453,815,571,1486,700,884,543,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
392,304,436,276,710,295,488,279,405,236,517,285,929,425,359,224,205,202,153,159,94,151,0400000US31,6460,938,350,229,83,102,283,320,429,255,627,366,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
5112,1326,4026,1005,3520,1030,2744,1001,4921,960,6993,1350,7664,1693,2599,906,1021,435,1008,545,573,490,0400000US32,56038,3257,4591,1083,2633,892,2200,814,2791,891,3642,1061,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
6723,1302,8513,1453,9020,1771,7433,1711,11387,1901,11359,1732,13488,2104,10000,1729,5148,1335,3965,977,2523,941,0400000US34,134402,5500,11427,1944,6495,1328,9800,1371,9041,1647,8080,1585,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
3417,920,1234,504,3163,911,2486,1161,3381,844,5134,1404,5344,1124,2089,666,717,388,1261,597,356,353,0400000US35,49270,3704,6427,1565,2904,866,3699,1102,4674,1192,2984,919,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
21895,2441,23518,3082,22231,2172,17354,2457,29692,3008,32624,2641,34214,3136,18444,2321,10800,1688,10176,1910,4408,1215,0400000US36,383651,9307,40997,2897,28017,2562,34795,3655,28860,2777,25626,2351,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
5863,1448,5762,1289,4096,1117,2829,1086,3652,978,3405,1059,4622,1269,1200,470,387,348,994,592,262,252,0400000US37,65643,4023,6654,1379,5190,1258,4386,1414,7306,1616,9035,1991,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
1379,522,1182,440,493,263,795,466,1284,485,2263,840,1532,778,1266,610,616,347,331,299,372,217,0400000US39,19675,2063,2099,623,1038,473,2093,983,1624,691,1308,523,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
1440,525,1432,423,1124,372,1445,466,1837,470,2323,635,2308,726,546,351,351,232,40,69,141,266,0400000US40,19811,1632,1324,384,603,297,989,372,2582,848,1326,523,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
1967,1052,1785,601,1927,778,1714,726,2174,937,2729,1039,2865,978,762,467,331,259,335,288,0,197,0400000US41,28003,2888,2153,931,1142,551,4061,1381,1481,768,2577,949,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
3031,1031,2831,987,2788,858,2193,898,3593,1109,3124,894,3717,978,2145,820,901,450,288,208,738,396,0400000US42,47725,4247,7645,1545,4722,1500,2852,690,3362,948,3795,1148,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
1070,573,1403,672,293,229,535,369,1244,613,752,393,1192,619,432,344,109,106,209,204,225,247,0400000US44,14065,1455,1343,533,1545,766,1414,682,919,520,1380,622,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
878,622,1577,1022,358,289,723,437,486,350,841,410,656,450,882,639,211,246,185,211,211,186,0400000US45,14223,2521,1902,973,923,554,1979,1029,886,616,1525,776,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
876,481,1163,532,1009,545,741,384,1480,715,1278,596,1368,596,238,165,39,79,129,135,137,215,0400000US47,18922,2181,2367,849,2255,778,2020,820,2407,782,1415,636,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
23947,2455,17296,2150,19964,2756,16741,2461,28661,3028,32818,3239,32125,2968,17832,2176,8647,1756,6843,1533,4706,1269,0400000US48,322012,8783,24084,2335,18617,2530,21467,2146,28266,2773,19998,2997,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
1697,771,2110,947,1104,608,1834,996,3098,825,2753,884,3004,877,1283,634,823,430,604,488,198,246,0400000US49,28724,2197,1312,770,2076,906,2078,838,2373,880,2377,864,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
1687,767,3363,1306,1450,784,2251,1052,3004,1134,3775,1164,4998,1293,3233,1053,1137,489,1466,862,523,254,0400000US51,35618,2934,2042,897,1695,879,1976,878,1829,786,1189,640,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
3876,1123,2578,937,3699,1078,2859,752,4521,1196,6293,1575,5793,1341,1312,517,2604,1100,1016,549,1024,709,0400000US53,50331,3640,3680,1035,2389,945,2890,960,2682,806,3115,896,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
2091,678,1985,695,914,381,1779,640,1910,685,2477,813,1170,489,265,240,151,146,140,174,137,227,0400000US55,21245,1844,1554,672,1050,497,1526,646,2412,933,1684,711,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
7184,1432,5409,1130,4325,1270,3295,987,6113,1194,5206,1066,3420,944,1724,618,745,465,503,332,440,385,0400000US72,117913,5294,33918,2602,13026,1680,13833,1929,9698,1512,9074,1667,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
