GEO_ID,C15010B_001E,C15010B_001M,C15010B_002E,C15010B_002M,C15010B_003E,C15010B_003M,C15010B_004E,C15010B_004M,C15010B_005E,C15010B_005M,C15010B_006E,C15010B_006M,NAME,C15010B_001MA,C15010B_001EA,C15010B_002EA,C15010B_002MA,C15010B_003EA,C15010B_003MA,C15010B_004EA,C15010B_004MA,C15010B_005MA,C15010B_005EA,C15010B_006MA,C15010B_006EA,state
0400000US13,407994,13187,119795,7544,42806,4691,105164,7379,53196,4092,87033,6055,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,4688,1105,1589,741,280,189,758,371,310,337,1751,870,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,238966,7268,68064,4768,19390,2232,54898,3575,37066,3392,59548,3880,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,59451,4038,15773,2119,7823,1483,13945,1962,7092,1274,14818,2050,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,10138,2140,2482,943,601,397,3029,889,722,387,3304,1161,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,19944,2456,5498,1307,2497,1086,4953,1174,2556,722,4440,1060,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,35334,3140,7516,1362,2658,727,7931,1415,5102,1268,12127,2053,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,127190,6098,34786,3778,14759,2114,23665,2318,23149,2381,30831,3190,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,314820,8957,106883,5928,31190,3385,77670,4954,34502,2885,64575,4337,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,68890,4153,24907,2693,7643,1650,13434,1979,5599,1050,17307,2126,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,143103,5594,40570,3794,13788,2005,35960,3090,18996,1970,33789,2533,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,31480,2653,13116,1942,3835,1066,5757,1341,1618,778,7154,1275,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,102162,6350,23790,2982,10930,1923,18985,2248,25778,2821,22679,2561,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,74167,4754,19624,2585,6904,1351,20160,2648,9970,1411,17509,2352,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,11801,1478,3322,740,1101,451,4144,960,1254,568,1980,665,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,21877,2466,5057,1005,3002,1008,5202,1077,2902,847,5714,1336,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,3046,801,635,298,373,304,970,566,60,100,1008,484,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,178609,6239,57312,3935,16267,2005,44921,3599,20387,2219,39722,3389,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,7015,1570,2770,899,928,688,1587,672,475,336,1255,661,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,460150,11040,140605,6723,57106,4226,96446,5124,47880,3477,118113,5164,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,266389,8273,78834,5127,26621,2758,63753,4507,38806,2913,58375,3846,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,852,553,373,312,8,19,268,378,74,73,129,111,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,137295,5877,39111,3662,14586,1825,34284,2846,16527,2215,32787,3008,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,30636,2561,7757,1127,3408,953,7230,1180,5184,855,7057,1237,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,11105,1964,4977,1195,212,185,1839,907,1470,620,2607,786,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,143085,6466,43062,3365,14673,2228,31897,3007,17811,2390,35642,3149,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,8043,1228,3415,906,503,403,1214,526,338,263,2573,873,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,122566,5868,35780,3459,9147,1852,30916,3008,22035,2306,24688,2870,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,1580,685,437,312,133,165,456,438,150,175,404,322,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,123330,5501,35651,3323,10775,1941,31267,3043,20885,2158,24752,2493,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,433133,12475,128274,6639,48523,4539,113936,6176,53964,4262,88436,6227,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,3955,1069,1948,841,435,457,803,555,289,201,480,291,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,1173,472,243,213,14,27,62,105,186,168,668,435,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,223605,8050,74035,4624,17345,2246,57611,3916,24932,1984,49682,3899,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,34810,3190,13736,2181,3954,952,6838,1287,2348,756,7934,1216,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,7874,1685,1825,778,415,314,2280,891,1001,411,2353,853,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,26255,2468,6062,1104,2231,732,6266,1131,4238,841,7458,1261,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,45153,3392,10658,1682,4540,1177,13622,1760,9339,1374,6994,1395,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
