B23002F_033E,B23002F_033M,B23002F_034E,B23002F_034M,B23002F_035E,B23002F_035M,B23002F_036E,B23002F_036M,B23002F_037E,B23002F_037M,B23002F_038E,B23002F_038M,B23002F_039E,B23002F_039M,B23002F_040E,B23002F_040M,B23002F_041E,B23002F_041M,B23002F_042E,B23002F_042M,B23002F_043E,B23002F_043M,B23002F_044E,B23002F_044M,B23002F_045E,B23002F_045M,B23002F_046E,B23002F_046M,B23002F_047E,B23002F_047M,B23002F_048E,B23002F_048M,B23002F_049E,B23002F_049M,B23002F_050E,B23002F_050M,B23002F_051E,B23002F_051M,B23002F_052E,B23002F_052M,B23002F_053E,B23002F_053M,B23002F_054E,B23002F_054M,B23002F_055E,B23002F_055M,B23002F_056E,B23002F_056M,B23002F_057E,B23002F_057M,B23002F_058E,B23002F_058M,B23002F_059E,B23002F_059M,B23002F_060E,B23002F_060M,B23002F_061E,B23002F_061M,B23002F_062E,B23002F_062M,B23002F_063E,B23002F_063M,B23002F_064E,B23002F_064M,B23002F_065E,B23002F_065M,B23002F_066E,B23002F_066M,B23002F_067E,B23002F_067M,B23002F_068E,B23002F_068M,B23002F_069E,B23002F_069M,B23002F_070E,B23002F_070M,B23002F_071E,B23002F_071M,B23002F_072E,B23002F_072M,B23002F_073E,B23002F_073M,B23002F_074E,B23002F_074M,B23002F_075E,B23002F_075M,B23002F_076E,B23002F_076M,B23002F_077E,B23002F_077M,B23002F_078E,B23002F_078M,B23002F_079E,B23002F_079M,GEO_ID,B23002F_001E,B23002F_001M,B23002F_002E,B23002F_002M,B23002F_003E,B23002F_003M,B23002F_004E,B23002F_004M,B23002F_005E,B23002F_005M,B23002F_006E,B23002F_006M,B23002F_007E,B23002F_007M,B23002F_008E,B23002F_008M,B23002F_009E,B23002F_009M,B23002F_010E,B23002F_010M,B23002F_011E,B23002F_011M,B23002F_012E,B23002F_012M,B23002F_013E,B23002F_013M,B23002F_014E,B23002F_014M,B23002F_015E,B23002F_015M,B23002F_016E,B23002F_016M,B23002F_017E,B23002F_017M,B23002F_018E,B23002F_018M,B23002F_019E,B23002F_019M,B23002F_020E,B23002F_020M,B23002F_021E,B23002F_021M,B23002F_022E,B23002F_022M,B23002F_023E,B23002F_023M,B23002F_024E,B23002F_024M,B23002F_025E,B23002F_025M,B23002F_026E,B23002F_026M,B23002F_027E,B23002F_027M,B23002F_028E,B23002F_028M,B23002F_029E,B23002F_029M,B23002F_030E,B23002F_030M,B23002F_031E,B23002F_031M,B23002F_032E,B23002F_032M,B23002F_033MA,B23002F_033EA,B23002F_034MA,B23002F_034EA,B23002F_035MA,B23002F_035EA,B23002F_036MA,B23002F_036EA,B23002F_037EA,B23002F_037MA,B23002F_038MA,B23002F_038EA,B23002F_039MA,B23002F_039EA,B23002F_040MA,B23002F_040EA,B23002F_041MA,B23002F_041EA,B23002F_042EA,B23002F_042MA,B23002F_043EA,B23002F_043MA,B23002F_044MA,B23002F_044EA,B23002F_045MA,B23002F_045EA,B23002F_046MA,B23002F_046EA,B23002F_047EA,B23002F_047MA,B23002F_048EA,B23002F_048MA,B23002F_049MA,B23002F_049EA,B23002F_050MA,B23002F_050EA,B23002F_051EA,B23002F_051MA,B23002F_052EA,B23002F_052MA,B23002F_053EA,B23002F_053MA,B23002F_054EA,B23002F_054MA,B23002F_055MA,B23002F_055EA,B23002F_056EA,B23002F_056MA,B23002F_057EA,B23002F_057MA,B23002F_058EA,B23002F_058MA,B23002F_059EA,B23002F_059MA,B23002F_060MA,B23002F_060EA,B23002F_061EA,B23002F_061MA,B23002F_062EA,B23002F_062MA,B23002F_063EA,B23002F_063MA,B23002F_064EA,B23002F_064MA,B23002F_065EA,B23002F_065MA,B23002F_066EA,B23002F_066MA,B23002F_067EA,B23002F_067MA,B23002F_068EA,B23002F_068MA,B23002F_069EA,B23002F_069MA,B23002F_070EA,B23002F_070MA,B23002F_071MA,B23002F_071EA,B23002F_072EA,B23002F_072MA,B23002F_073EA,B23002F_073MA,B23002F_074EA,B23002F_074MA,B23002F_075EA,B23002F_075MA,B23002F_076MA,B23002F_076EA,B23002F_077EA,B23002F_077MA,B23002F_078EA,B23002F_078MA,B23002F_079EA,B23002F_079MA,NAME,B23002F_001EA,B23002F_001MA,B23002F_002EA,B23002F_002MA,B23002F_003EA,B23002F_003MA,B23002F_004EA,B23002F_004MA,B23002F_005MA,B23002F_005EA,B23002F_006EA,B23002F_006MA,B23002F_007EA,B23002F_007MA,B23002F_008EA,B23002F_008MA,B23002F_009EA,B23002F_009MA,B23002F_010EA,B23002F_010MA,B23002F_011EA,B23002F_011MA,B23002F_012EA,B23002F_012MA,B23002F_013EA,B23002F_013MA,B23002F_014EA,B23002F_014MA,B23002F_015EA,B23002F_015MA,B23002F_016MA,B23002F_016EA,B23002F_017EA,B23002F_017MA,B23002F_018EA,B23002F_018MA,B23002F_019EA,B23002F_019MA,B23002F_020EA,B23002F_020MA,B23002F_021MA,B23002F_021EA,B23002F_022EA,B23002F_022MA,B23002F_023EA,B23002F_023MA,B23002F_024EA,B23002F_024MA,B23002F_025EA,B23002F_025MA,B23002F_026MA,B23002F_026EA,B23002F_027MA,B23002F_027EA,B23002F_028EA,B23002F_028MA,B23002F_029EA,B23002F_029MA,B23002F_030EA,B23002F_030MA,B23002F_031EA,B23002F_031MA,B23002F_032EA,B23002F_032MA,state
363,306,0,211,508,395,762,501,130,221,130,221,0,211,632,441,86418,5283,8364,1561,3289,1150,0,211,3289,1150,2540,998,749,517,5075,1325,12944,2206,9439,1968,0,211,9439,1968,8773,1987,666,419,3505,1356,57866,3803,34801,2911,70,125,34731,2924,30636,2791,4095,1099,23065,3155,4816,1348,3060,1139,0,211,3060,1139,2886,1109,174,274,1756,820,894,467,210,201,188,196,22,43,684,448,1534,630,66,84,66,84,0,211,1468,623,0400000US13,184156,10570,97738,6375,9593,1646,2892,1041,100,121,2792,1036,2142,878,650,485,6701,1485,13304,2478,10047,2369,343,254,9704,2311,8954,2215,750,511,3257,1189,68390,4441,63576,4637,870,573,62706,4509,60732,4561,1974,1051,4814,1184,4818,1112,3535,1033,0,211,3535,1033,3535,1033,0,211,1283,648,871,477,363,306,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
1838,617,142,171,3855,806,8115,1184,1142,578,1096,567,46,84,6973,1068,257957,8709,23759,2129,9622,1640,0,182,9622,1640,6977,1657,2645,660,14137,2006,32987,2455,26485,2443,0,182,26485,2443,23144,2574,3341,1021,6502,1420,159181,6246,108629,5314,0,182,108629,5314,100204,5524,8425,1237,50552,3882,24870,1923,11703,1544,0,182,11703,1544,10527,1540,1176,449,13167,1537,6989,1206,1484,553,1484,553,0,182,5505,1196,10171,1610,348,256,348,256,0,182,9823,1536,0400000US17,542196,15552,284239,8899,28334,2396,11416,1680,215,342,11201,1675,8339,1424,2862,809,16918,1747,34095,2869,28130,2496,151,258,27979,2506,23444,2215,4535,1152,5965,1489,181481,6209,169972,6177,261,329,169711,6149,160372,5996,9339,1892,11509,2078,26379,2003,20530,2187,0,182,20530,2187,19460,2198,1070,511,5849,1122,5835,990,1980,600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
163,142,0,187,616,487,1090,389,27,56,27,56,0,187,1063,388,47203,3560,5465,1121,2636,771,0,187,2636,771,2301,725,335,246,2829,831,6682,1451,4427,1141,0,187,4427,1141,3709,1016,718,441,2255,897,29106,2229,19329,2108,0,187,19329,2108,18471,2106,858,527,9777,1511,3233,937,1776,806,0,187,1776,806,1695,791,81,108,1457,704,970,452,303,289,216,248,87,144,667,348,1747,591,0,187,0,187,0,187,1747,591,0400000US18,99339,7052,52136,4271,4502,1025,2220,775,0,187,2220,775,1535,555,685,553,2282,721,7129,1685,5986,1606,0,187,5986,1606,5146,1589,840,478,1143,571,35467,3082,31998,2942,0,187,31998,2942,29962,2937,2036,847,3469,894,3169,836,1775,680,0,187,1775,680,1775,680,0,187,1394,641,779,490,163,142,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
379,200,0,168,620,383,759,397,325,274,325,274,0,168,434,274,20297,2055,2067,734,1047,564,0,168,1047,564,666,399,381,306,1020,507,2054,622,1166,662,0,168,1166,662,1112,633,54,72,888,511,12433,1495,8617,1307,0,168,8617,1307,7769,1155,848,563,3816,952,1730,598,1129,481,0,168,1129,481,1063,467,66,120,601,334,515,296,33,58,33,58,0,168,482,295,1498,608,191,233,191,233,0,168,1307,587,0400000US20,43457,3792,23160,2437,1914,721,1216,570,0,168,1216,570,892,509,324,216,698,411,2865,886,2457,833,23,45,2434,825,2342,820,92,112,408,278,14187,1632,12812,1534,114,229,12698,1532,12348,1566,350,221,1375,564,2436,681,2188,686,0,168,2188,686,1956,584,232,301,248,203,999,433,379,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0,201,0,201,234,186,603,345,171,216,171,216,0,201,432,264,12447,1797,730,414,236,254,0,201,236,254,236,254,0,201,494,271,1898,655,935,342,90,187,845,344,845,344,0,201,963,595,7405,1369,4729,1092,0,201,4729,1092,4425,1077,304,264,2676,874,1520,634,1019,494,0,201,1019,494,920,464,99,169,501,387,464,404,116,142,116,142,0,201,348,383,430,343,103,181,103,181,0,201,327,251,0400000US22,32143,3754,19696,2525,1913,775,674,401,0,201,674,401,613,396,61,87,1239,666,3101,969,2574,867,212,196,2362,864,2211,845,151,225,527,322,11873,1749,10638,1640,183,152,10455,1640,10159,1648,296,263,1235,467,1972,612,1503,517,0,201,1503,517,1430,516,73,122,469,311,234,186,0,201,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
775,463,85,143,1245,810,1758,572,623,468,379,290,244,373,1135,413,67813,4508,5137,1156,1635,710,0,193,1635,710,1143,612,492,444,3502,883,7109,1078,5509,1104,86,120,5423,1106,4522,1148,901,538,1600,660,45400,3550,36278,2931,48,82,36230,2912,32412,2812,3818,875,9122,1819,5716,1022,4025,871,0,193,4025,871,3886,881,139,163,1691,638,2357,900,890,562,890,562,0,193,1467,691,2094,843,381,325,381,325,0,193,1713,787,0400000US24,148479,9170,80666,5583,5383,1114,2166,789,0,193,2166,789,1396,553,770,570,3217,892,9191,1242,8198,1247,0,193,8198,1247,7667,1215,531,472,993,477,56476,4150,54366,4110,229,237,54137,4118,52396,4066,1741,778,2110,763,5753,1047,4552,959,0,193,4552,959,4552,959,0,193,1201,635,2105,894,860,491,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
258,220,27,46,1177,538,3216,790,152,149,152,149,0,198,3064,775,107074,4773,9683,1294,4511,818,0,198,4511,818,3856,674,655,523,5172,1105,13635,1616,9987,1517,0,198,9987,1517,9229,1476,758,366,3648,1010,63903,3729,46844,3449,0,198,46844,3449,39749,2996,7095,1794,17059,2644,10987,1440,4432,901,0,198,4432,901,3827,939,605,351,6555,1245,3268,808,1314,483,1208,492,106,183,1954,704,5598,1137,221,181,136,108,85,140,5377,1127,0400000US25,206675,9600,99601,6145,11197,1700,5080,1306,0,198,5080,1306,3413,1048,1667,807,6117,1355,14865,2052,10625,1705,0,198,10625,1705,9082,1603,1543,636,4240,1052,60420,4120,46855,4285,0,198,46855,4285,42763,4053,4092,1334,13565,1819,8441,1227,4207,816,0,198,4207,816,3787,818,420,344,4234,944,1462,618,285,215,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
363,248,65,106,576,244,1311,468,55,63,55,63,0,165,1256,452,41589,3206,4669,1120,2125,703,107,181,2018,681,1745,661,273,190,2544,789,5984,1201,3833,1104,0,165,3833,1104,3537,1072,296,237,2151,872,25967,2545,17876,2151,50,90,17826,2140,16044,2024,1782,645,8091,1588,2678,622,882,355,0,165,882,355,809,337,73,99,1796,493,1118,402,104,110,104,110,0,165,1014,384,1173,420,54,64,54,64,0,165,1119,412,0400000US26,85830,5880,44241,3436,5115,1049,2326,961,0,165,2326,961,1794,755,532,348,2789,813,6349,1036,5824,1034,0,165,5824,1034,5115,957,709,438,525,295,26326,2450,23677,2201,10,18,23667,2200,21807,2211,1860,578,2649,893,4136,969,2446,790,0,165,2446,790,2414,795,32,52,1690,520,1004,313,428,247,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
267,235,0,141,228,189,392,222,130,203,130,203,0,141,262,161,26101,2762,2513,859,1448,688,0,141,1448,688,1109,613,339,302,1065,503,2503,878,2120,846,0,141,2120,846,1734,724,386,379,383,274,16970,2025,12568,1862,0,141,12568,1862,11637,1877,931,588,4402,1144,2596,794,1694,670,0,141,1694,670,1475,606,219,247,902,492,444,320,90,133,79,129,11,27,354,292,1075,641,0,141,0,141,0,141,1075,641,0400000US27,57538,4958,31437,3191,4099,1071,2199,838,0,141,2199,838,1782,704,417,399,1900,725,3584,953,3118,876,0,141,3118,876,2987,872,131,149,466,349,20970,2610,19271,2464,0,141,19271,2464,18688,2524,583,453,1699,606,1897,522,1455,495,0,141,1455,495,1394,489,61,105,442,321,495,309,267,235,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
110,147,0,181,567,330,236,212,9,25,9,25,0,181,227,208,21276,2150,2539,786,1053,497,9,21,1044,494,735,434,309,243,1486,688,3087,808,2369,680,163,289,2206,682,1806,516,400,507,718,420,12977,1678,8723,1532,0,181,8723,1532,7989,1521,734,327,4254,1012,1564,644,1105,533,0,181,1105,533,1105,533,0,181,459,291,186,279,0,181,0,181,0,181,186,279,923,357,197,268,197,268,0,181,726,338,0400000US29,47539,4355,26263,2942,2818,852,1440,674,176,220,1264,634,1203,633,61,89,1378,496,3525,1193,2550,966,187,244,2363,892,2035,822,328,373,975,560,16579,2162,15125,2090,827,628,14298,1994,13603,1890,695,454,1454,562,2428,719,1537,600,0,181,1537,600,1500,598,37,51,891,530,677,363,110,147,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
