B17010I_014E,B17010I_014M,B17010I_015E,B17010I_015M,B17010I_016E,B17010I_016M,B17010I_017E,B17010I_017M,B17010I_018E,B17010I_018M,B17010I_019E,B17010I_019M,B17010I_020E,B17010I_020M,B17010I_021E,B17010I_021M,B17010I_022E,B17010I_022M,B17010I_023E,B17010I_023M,B17010I_024E,B17010I_024M,B17010I_025E,B17010I_025M,B17010I_026E,B17010I_026M,B17010I_027E,B17010I_027M,B17010I_028E,B17010I_028M,B17010I_029E,B17010I_029M,B17010I_030E,B17010I_030M,B17010I_031E,B17010I_031M,B17010I_032E,B17010I_032M,B17010I_033E,B17010I_033M,B17010I_034E,B17010I_034M,B17010I_035E,B17010I_035M,B17010I_036E,B17010I_036M,B17010I_037E,B17010I_037M,B17010I_038E,B17010I_038M,B17010I_039E,B17010I_039M,B17010I_040E,B17010I_040M,B17010I_041E,B17010I_041M,GEO_ID,B17010I_001E,B17010I_001M,B17010I_002E,B17010I_002M,B17010I_003E,B17010I_003M,B17010I_004E,B17010I_004M,B17010I_005E,B17010I_005M,B17010I_006E,B17010I_006M,B17010I_007E,B17010I_007M,B17010I_008E,B17010I_008M,B17010I_009E,B17010I_009M,B17010I_010E,B17010I_010M,B17010I_011E,B17010I_011M,B17010I_012E,B17010I_012M,B17010I_013E,B17010I_013M,B17010I_014MA,B17010I_014EA,B17010I_015MA,B17010I_015EA,B17010I_016MA,B17010I_016EA,B17010I_017MA,B17010I_017EA,B17010I_018EA,B17010I_018MA,B17010I_019EA,B17010I_019MA,B17010I_020MA,B17010I_020EA,B17010I_021MA,B17010I_021EA,B17010I_022MA,B17010I_022EA,B17010I_023EA,B17010I_023MA,B17010I_024EA,B17010I_024MA,B17010I_025MA,B17010I_025EA,B17010I_026MA,B17010I_026EA,B17010I_027MA,B17010I_027EA,B17010I_028EA,B17010I_028MA,B17010I_029EA,B17010I_029MA,B17010I_030EA,B17010I_030MA,B17010I_031EA,B17010I_031MA,B17010I_032MA,B17010I_032EA,B17010I_033EA,B17010I_033MA,B17010I_034EA,B17010I_034MA,B17010I_035EA,B17010I_035MA,B17010I_036EA,B17010I_036MA,B17010I_037MA,B17010I_037EA,B17010I_038MA,B17010I_038EA,B17010I_039EA,B17010I_039MA,B17010I_040EA,B17010I_040MA,B17010I_041EA,B17010I_041MA,NAME,B17010I_001MA,B17010I_001EA,B17010I_002MA,B17010I_002EA,B17010I_003MA,B17010I_003EA,B17010I_004MA,B17010I_004EA,B17010I_005MA,B17010I_005EA,B17010I_006MA,B17010I_006EA,B17010I_007EA,B17010I_007MA,B17010I_008EA,B17010I_008MA,B17010I_009MA,B17010I_009EA,B17010I_010MA,B17010I_010EA,B17010I_011MA,B17010I_011EA,B17010I_012EA,B17010I_012MA,B17010I_013EA,B17010I_013MA,state
1651,751,105,125,16601,2468,15724,2477,1543,626,6319,1515,7862,1802,877,565,132354,4733,93940,4758,62693,4533,9331,1875,16687,2601,36675,3254,31247,3083,38414,4034,18363,2731,12422,2413,2670,1282,2464,949,7288,1422,5941,1359,20051,2718,13786,2374,2078,943,2163,1011,9545,2016,6265,1394,0400000US13,180941,4963,48587,4283,26255,3262,24014,3183,1875,747,10234,1801,11905,2263,2241,791,22332,2801,5731,1411,5626,1405,1199,632,2776,1016,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
199,217,41,68,1418,518,1258,505,236,282,54,71,968,479,160,176,20813,1747,14361,1738,7713,1248,2176,712,1843,620,3694,1004,6648,971,6452,1314,1617,774,1269,728,97,102,483,476,689,454,348,283,4835,1105,3324,988,795,488,265,284,2264,848,1511,564,0400000US15,23817,1806,3004,811,1219,518,739,435,42,50,216,152,481,401,480,345,1785,533,367,249,326,248,100,117,27,47,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
310,299,0,190,3112,985,2918,983,256,227,1193,823,1469,794,194,232,31219,2392,23358,2361,15410,1977,1999,911,5100,1298,8311,1665,7948,1506,7861,1659,4518,1413,2221,914,464,352,523,528,1234,611,2297,1037,3343,993,2804,966,334,461,221,231,2249,841,539,327,0400000US16,38672,2200,7453,1307,3525,855,3333,859,405,324,1748,767,1180,494,192,181,3928,1061,816,426,816,426,311,296,195,194,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
3115,1096,1510,761,34116,3105,31099,3080,4371,939,9358,1710,17370,2072,3017,821,352690,7216,247192,6178,157760,6152,20840,2551,38871,3401,98049,4802,89432,4071,105498,4960,44749,3629,25955,2856,5760,1226,5411,1204,14784,1952,18794,2224,60749,4022,42253,3540,6185,1290,7114,1554,28954,2971,18496,2010,0400000US17,431754,6938,79064,4547,35207,3077,30123,2659,3187,985,12649,1751,14287,1916,5084,1241,43857,3548,9741,1885,8231,1709,2101,803,3015,994,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
900,444,339,301,9819,1747,9072,1749,1483,649,2239,789,5350,1383,747,433,61744,3593,43601,3353,26693,2649,4017,949,5439,1149,17237,1981,16908,2419,18143,2262,8275,1579,4929,1147,879,456,1468,700,2582,808,3346,1021,9868,1486,6472,1358,696,346,830,459,4946,1179,3396,825,0400000US18,83325,2920,21581,2544,9696,1984,9059,1956,930,563,3849,1137,4280,1314,637,320,11885,1891,2066,644,1727,565,351,327,476,304,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
309,371,286,293,2808,693,2561,688,472,350,1545,548,544,295,247,165,26976,1781,18981,1729,13186,1611,1616,767,4165,1166,7405,1181,5795,1026,7995,1243,3258,831,1864,677,324,266,505,304,1035,482,1394,568,4737,1190,3769,1091,626,353,1011,575,2132,788,968,478,0400000US19,33047,1881,6071,1133,2378,775,2264,765,222,183,770,357,1272,620,114,143,3693,888,885,529,599,429,104,117,186,206,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
639,389,281,214,8002,1677,7480,1634,1161,610,2513,782,3806,1207,522,372,49192,2562,34854,2215,24044,2107,3816,768,6203,1233,14025,1851,10810,1517,14338,1973,6746,1380,4683,1086,1121,512,1510,719,2052,683,2063,838,7592,1298,5887,1101,908,499,1321,548,3658,911,1705,572,0400000US20,64852,2616,15660,1897,5728,1217,4684,1172,687,510,1939,696,2058,710,1044,533,9932,1688,1930,844,1649,823,245,252,765,604,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
427,373,0,185,2544,862,2370,853,307,242,542,371,1521,684,174,218,17503,1902,12316,1681,7271,1302,1420,590,1444,605,4407,1031,5045,1179,5187,1132,1989,635,1163,506,484,335,346,308,333,213,826,394,3198,853,1963,745,105,142,900,563,958,486,1235,506,0400000US21,24075,1882,6572,1283,2799,972,2498,923,216,332,1655,692,627,452,301,221,3773,1096,1229,676,1229,676,29,50,773,504,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
106,126,212,266,4549,1137,4291,1157,926,638,1556,784,1809,727,258,210,36965,2683,25924,2431,14313,1878,3587,1106,3331,1089,7395,1316,11611,1520,11041,1534,6092,1298,2724,827,722,450,501,474,1501,516,3368,1095,4949,1091,2803,816,506,350,746,441,1551,580,2146,667,0400000US22,44850,2772,7885,1400,2687,880,2181,803,358,301,1290,660,533,330,506,322,5198,1180,649,468,437,381,58,97,273,340,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
903,496,749,509,6071,1418,5419,1314,531,483,1684,773,3204,1049,652,448,95005,3480,58557,3486,39184,2967,6293,1375,10518,1870,22373,2371,19373,2186,36448,2629,16308,2102,11439,1897,2604,889,3688,950,5147,1256,4869,1217,20140,2293,13258,2023,1517,741,3070,842,8671,1524,6882,1416,0400000US24,107345,3231,12340,1785,4185,1102,3355,1043,549,471,1410,580,1396,660,830,447,8155,1514,2084,752,1335,562,217,167,215,229,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
1350,732,1221,686,27450,2531,24396,2373,2876,804,9067,1854,12453,1899,3054,803,109851,4373,58084,3727,34838,2573,8226,1538,6891,1585,19721,1950,23246,2144,51767,3113,14580,1688,8841,1620,2474,1065,1775,815,4592,1210,5739,1164,37187,2845,24571,2682,3398,1037,3573,959,17600,2022,12616,1610,0400000US25,151456,4377,41605,2941,10087,1550,6166,1315,439,280,2451,919,3276,917,3921,945,31518,2549,4068,1183,2847,976,596,393,901,570,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
701,461,227,223,10232,1661,9740,1637,2440,959,2450,817,4850,1110,492,252,71418,3117,47136,2444,28543,2033,4987,1025,6974,1475,16582,1695,18593,1805,24282,2169,9853,1289,6991,1145,2412,873,1433,538,3146,747,2862,791,14429,1727,8734,1413,1148,415,1663,738,5923,1114,5695,940,0400000US26,91157,2895,19739,2302,7080,1375,5762,1333,427,273,1955,800,3380,917,1318,553,12659,1875,2427,880,2200,861,648,340,851,646,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
235,179,158,190,5543,1362,4918,1184,632,431,2167,784,2119,973,625,605,37717,2392,23692,2360,15665,1780,1741,576,4057,787,9867,1464,8027,1270,14025,1781,6271,1303,3957,1137,924,444,1161,598,1872,798,2314,766,7754,1384,5205,979,569,286,1188,541,3448,925,2549,891,0400000US27,48296,2367,10579,1648,4088,863,3904,842,90,103,2169,726,1645,677,184,168,6491,1390,948,395,790,346,340,286,215,179,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
69,75,177,194,1347,484,1155,446,175,156,216,205,764,364,192,244,10887,1455,7526,1310,4554,990,673,358,1244,518,2637,748,2972,960,3361,1053,2033,922,1546,740,624,418,470,434,452,379,487,513,1328,478,815,363,115,106,167,189,533,357,513,310,0400000US28,13647,1329,2760,708,1036,432,1015,432,274,283,198,186,543,315,21,34,1724,573,377,267,200,158,0,206,131,143,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
190,208,159,283,3867,992,3816,989,1114,612,1061,602,1641,572,51,58,31533,2622,20935,2243,11672,1616,1843,731,2424,819,7405,1323,9263,1407,10598,1977,3958,1031,3037,989,445,344,547,325,2045,776,921,412,6640,1627,4487,1370,640,421,439,293,3408,1253,2153,829,0400000US29,40371,2491,8838,1447,3931,983,3039,818,393,376,1798,622,848,423,892,505,4907,1187,1040,605,881,530,64,106,627,516,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
693,375,0,153,4463,1108,4463,1108,1377,671,1545,711,1541,579,0,153,29772,1678,21172,1349,15587,1297,2156,727,4037,848,9394,1182,5585,891,8600,1257,2743,730,1841,611,171,131,441,371,1229,471,902,395,5857,1056,4631,997,699,356,1018,422,2914,809,1226,486,0400000US31,38507,1656,8735,1448,3321,915,3001,880,305,280,1503,650,1193,619,320,208,5414,1231,951,456,951,456,51,56,207,225,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
